Time mark : 50008
5.00580E+4 3.39739E+2 5.00580E+4 1.28200E-4
5.00780E+4 3.39588E+2 5.00780E+4 1.28400E-4
5.00970E+4 3.39535E+2 5.00970E+4 1.28400E-4
5.01160E+4 3.39513E+2 5.01160E+4 1.28800E-4
5.01350E+4 3.39535E+2 5.01350E+4 1.29400E-4
5.01540E+4 3.39556E+2 5.01540E+4 1.29600E-4
5.01730E+4 3.39610E+2 5.01730E+4 1.30400E-4
5.01920E+4 3.39664E+2 5.01920E+4 1.30900E-4
5.02110E+4 3.39706E+2 5.02110E+4 1.31300E-4
5.02300E+4 3.39771E+2 5.02300E+4 1.32100E-4
5.02490E+4 3.39803E+2 5.02490E+4 1.32500E-4
5.02680E+4 3.39857E+2 5.02680E+4 1.32600E-4
5.02870E+4 3.39900E+2 5.02870E+4 1.33300E-4
5.03060E+4 3.39932E+2 5.03060E+4 1.33600E-4
5.03250E+4 3.39964E+2 5.03250E+4 1.34200E-4
5.03440E+4 3.39985E+2 5.03440E+4 1.34900E-4
5.03630E+4 3.40007E+2 5.03630E+4 1.35300E-4
5.03820E+4 3.40028E+2 5.03820E+4 1.35900E-4
5.04010E+4 3.40028E+2 5.04010E+4 1.36500E-4
5.04200E+4 3.40039E+2 5.04200E+4 1.36600E-4
5.04390E+4 3.40039E+2 5.04390E+4 1.37100E-4
5.04580E+4 3.40039E+2 5.04580E+4 1.37600E-4
5.04770E+4 3.40039E+2 5.04770E+4 1.38000E-4
5.04960E+4 3.40039E+2 5.04960E+4 1.38600E-4
5.05150E+4 3.40039E+2 5.05150E+4 1.39100E-4
5.05340E+4 3.40039E+2 5.05340E+4 1.39600E-4
5.05530E+4 3.40028E+2 5.05530E+4 1.40100E-4
5.05720E+4 3.40028E+2 5.05720E+4 1.40400E-4
5.05910E+4 3.40017E+2 5.05910E+4 1.40600E-4
5.06100E+4 3.40017E+2 5.06100E+4 1.41200E-4
5.06290E+4 3.40007E+2 5.06290E+4 1.41500E-4
5.06480E+4 3.40007E+2 5.06480E+4 1.42300E-4
5.06670E+4 3.40007E+2 5.06670E+4 1.42600E-4
5.06860E+4 3.40007E+2 5.06860E+4 1.43200E-4
5.07050E+4 3.40007E+2 5.07050E+4 1.43400E-4
5.07240E+4 3.40007E+2 5.07240E+4 1.43800E-4
5.07430E+4 3.40007E+2 5.07430E+4 1.44100E-4
5.07620E+4 3.40007E+2 5.07620E+4 1.44600E-4
5.07810E+4 3.40007E+2 5.07810E+4 1.45000E-4
5.08000E+4 3.40007E+2 5.08000E+4 1.45400E-4
5.08190E+4 3.40007E+2 5.08190E+4 1.45900E-4
5.08380E+4 3.40007E+2 5.08380E+4 1.46300E-4
5.08570E+4 3.40007E+2 5.08570E+4 1.46200E-4
5.08760E+4 3.40007E+2 5.08760E+4 1.46700E-4
5.08950E+4 3.40007E+2 5.08950E+4 1.47100E-4
5.09140E+4 3.40007E+2 5.09140E+4 1.47500E-4
5.09330E+4 3.40007E+2 5.09330E+4 1.48000E-4
5.09520E+4 3.39996E+2 5.09520E+4 1.48400E-4
5.09710E+4 3.39996E+2 5.09710E+4 1.48800E-4
5.09900E+4 3.40007E+2 5.09900E+4 1.48900E-4
5.10090E+4 3.40007E+2 5.10090E+4 1.49200E-4
5.10280E+4 3.40007E+2 5.10280E+4 1.49500E-4
5.10470E+4 3.40007E+2 5.10470E+4 1.49800E-4
5.10660E+4 3.39996E+2 5.10660E+4 1.50200E-4
5.10850E+4 3.40007E+2 5.10850E+4 1.50700E-4
5.11040E+4 3.40007E+2 5.11040E+4 1.51000E-4
5.11230E+4 3.40007E+2 5.11230E+4 1.51000E-4
5.11420E+4 3.40007E+2 5.11420E+4 1.51300E-4
5.11610E+4 3.40007E+2 5.11610E+4 1.51600E-4
