Time mark : 45846
4.58670E+4 3.38666E+2 4.58670E+4 1.29700E-4
4.58860E+4 3.38505E+2 4.58870E+4 1.29100E-4
4.59050E+4 3.38495E+2 4.59060E+4 1.28900E-4
4.59240E+4 3.38591E+2 4.59250E+4 1.28600E-4
4.59430E+4 3.38773E+2 4.59440E+4 1.28500E-4
4.59620E+4 3.38977E+2 4.59630E+4 1.28500E-4
4.59810E+4 3.39170E+2 4.59820E+4 1.28600E-4
4.60000E+4 3.39320E+2 4.60010E+4 1.28900E-4
4.60190E+4 3.39503E+2 4.60200E+4 1.29100E-4
4.60390E+4 3.39664E+2 4.60390E+4 1.29200E-4
4.60580E+4 3.39803E+2 4.60580E+4 1.29500E-4
4.60770E+4 3.39910E+2 4.60770E+4 1.29900E-4
4.60960E+4 3.39985E+2 4.60960E+4 1.30200E-4
4.61150E+4 3.40060E+2 4.61150E+4 1.30500E-4
4.61340E+4 3.40125E+2 4.61340E+4 1.30800E-4
4.61530E+4 3.40135E+2 4.61530E+4 1.31100E-4
4.61720E+4 3.40157E+2 4.61720E+4 1.31400E-4
4.61910E+4 3.40168E+2 4.61910E+4 1.31700E-4
4.62100E+4 3.40178E+2 4.62100E+4 1.32000E-4
4.62290E+4 3.40178E+2 4.62290E+4 1.32500E-4
4.62480E+4 3.40157E+2 4.62480E+4 1.32700E-4
4.62670E+4 3.40146E+2 4.62670E+4 1.33100E-4
4.62860E+4 3.40135E+2 4.62860E+4 1.33500E-4
4.63050E+4 3.40135E+2 4.63050E+4 1.34000E-4
4.63240E+4 3.40125E+2 4.63240E+4 1.34300E-4
4.63430E+4 3.40125E+2 4.63430E+4 1.34800E-4
4.63620E+4 3.40103E+2 4.63620E+4 1.35200E-4
4.63810E+4 3.40093E+2 4.63810E+4 1.35500E-4
4.64000E+4 3.40071E+2 4.64000E+4 1.36200E-4
4.64190E+4 3.40050E+2 4.64190E+4 1.36500E-4
4.64380E+4 3.40039E+2 4.64380E+4 1.36900E-4
4.64570E+4 3.40028E+2 4.64570E+4 1.37400E-4
4.64760E+4 3.40017E+2 4.64760E+4 1.37800E-4
4.64950E+4 3.40017E+2 4.64950E+4 1.38300E-4
4.65140E+4 3.40007E+2 4.65140E+4 1.38700E-4
4.65330E+4 3.40007E+2 4.65330E+4 1.39200E-4
4.65520E+4 3.40007E+2 4.65520E+4 1.39700E-4
4.65710E+4 3.40007E+2 4.65710E+4 1.40100E-4
4.65900E+4 3.40007E+2 4.65900E+4 1.40600E-4
4.66090E+4 3.40007E+2 4.66090E+4 1.41000E-4
4.66280E+4 3.40007E+2 4.66280E+4 1.41400E-4
4.66470E+4 3.40007E+2 4.66470E+4 1.41900E-4
4.66660E+4 3.40007E+2 4.66660E+4 1.42500E-4
4.66850E+4 3.40007E+2 4.66850E+4 1.42900E-4
4.67040E+4 3.40007E+2 4.67040E+4 1.43200E-4
4.67230E+4 3.40007E+2 4.67230E+4 1.43700E-4
4.67420E+4 3.40007E+2 4.67420E+4 1.43600E-4
4.67610E+4 3.40007E+2 4.67610E+4 1.44000E-4
4.67800E+4 3.40007E+2 4.67800E+4 1.44300E-4
4.67990E+4 3.40007E+2 4.67990E+4 1.44700E-4
4.68180E+4 3.40017E+2 4.68180E+4 1.45400E-4
4.68370E+4 3.40017E+2 4.68370E+4 1.45800E-4
4.68560E+4 3.40017E+2 4.68560E+4 1.46300E-4
4.68750E+4 3.40017E+2 4.68750E+4 1.46500E-4
4.68940E+4 3.40007E+2 4.68940E+4 1.47100E-4
4.69130E+4 3.40017E+2 4.69130E+4 1.47100E-4
4.69320E+4 3.40017E+2 4.69320E+4 1.47300E-4
4.69510E+4 3.40017E+2 4.69510E+4 1.47600E-4
4.69700E+4 3.40017E+2 4.69700E+4 1.48000E-4
4.69890E+4 3.40017E+2 4.69890E+4 1.48400E-4
4.70080E+4 3.40017E+2 4.70080E+4 1.49000E-4
4.70270E+4 3.40007E+2 4.70270E+4 1.49200E-4
4.70460E+4 3.40017E+2 4.70460E+4 1.49800E-4
4.70650E+4 3.40017E+2 4.70650E+4 1.49800E-4
4.70840E+4 3.40017E+2 4.70840E+4 1.49900E-4
4.71030E+4 3.40017E+2 4.71030E+4 1.50000E-4
4.71100E+4 3.40017E+2 4.71110E+4 1.50700E-4
4.71290E+4 3.40017E+2 4.71300E+4 1.51000E-4
4.71480E+4 3.40017E+2 4.71490E+4 1.51400E-4
4.71670E+4 3.40017E+2 4.71680E+4 1.51700E-4
4.71860E+4 3.40017E+2 4.71870E+4 1.51900E-4
4.72050E+4 3.40017E+2 4.72060E+4 1.52200E-4
4.72240E+4 3.40017E+2 4.72250E+4 1.52300E-4
