Time mark : 58873
5.89150E+4 3.39181E+2 5.89160E+4 1.42500E-4
5.89350E+4 3.39063E+2 5.89350E+4 1.42500E-4
5.89540E+4 3.39042E+2 5.89540E+4 1.42600E-4
5.89730E+4 3.39074E+2 5.89730E+4 1.42900E-4
5.89920E+4 3.39149E+2 5.89920E+4 1.43200E-4
5.90110E+4 3.39245E+2 5.90110E+4 1.43500E-4
5.90300E+4 3.39353E+2 5.90300E+4 1.43500E-4
5.90490E+4 3.39471E+2 5.90490E+4 1.43700E-4
5.90680E+4 3.39556E+2 5.90680E+4 1.44200E-4
5.90870E+4 3.39664E+2 5.90870E+4 1.44000E-4
5.91060E+4 3.39739E+2 5.91060E+4 1.44100E-4
5.91250E+4 3.39824E+2 5.91250E+4 1.44600E-4
5.91440E+4 3.39900E+2 5.91440E+4 1.44800E-4
5.91630E+4 3.39942E+2 5.91630E+4 1.44800E-4
5.91820E+4 3.39996E+2 5.91820E+4 1.45300E-4
5.92010E+4 3.40039E+2 5.92010E+4 1.45600E-4
5.92200E+4 3.40071E+2 5.92200E+4 1.45700E-4
5.92390E+4 3.40093E+2 5.92390E+4 1.45800E-4
5.92580E+4 3.40114E+2 5.92580E+4 1.46200E-4
5.92770E+4 3.40125E+2 5.92780E+4 1.46500E-4
5.92960E+4 3.40125E+2 5.92960E+4 1.46600E-4
5.93150E+4 3.40114E+2 5.93150E+4 1.46800E-4
5.93340E+4 3.40103E+2 5.93340E+4 1.46900E-4
5.93530E+4 3.40093E+2 5.93540E+4 1.46700E-4
5.93720E+4 3.40082E+2 5.93720E+4 1.47100E-4
5.93910E+4 3.40071E+2 5.93910E+4 1.47200E-4
5.94100E+4 3.40060E+2 5.94100E+4 1.47400E-4
5.94290E+4 3.40050E+2 5.94290E+4 1.47700E-4
5.94480E+4 3.40039E+2 5.94480E+4 1.47900E-4
5.94670E+4 3.40039E+2 5.94680E+4 1.48000E-4
5.94860E+4 3.40028E+2 5.94860E+4 1.48500E-4
5.95050E+4 3.40028E+2 5.95050E+4 1.48600E-4
5.95240E+4 3.40017E+2 5.95240E+4 1.48600E-4
5.95430E+4 3.40017E+2 5.95440E+4 1.48700E-4
5.95620E+4 3.40007E+2 5.95620E+4 1.48700E-4
5.95810E+4 3.40007E+2 5.95820E+4 1.48600E-4
5.96000E+4 3.40007E+2 5.96000E+4 1.49100E-4
5.96190E+4 3.40007E+2 5.96190E+4 1.49200E-4
5.96380E+4 3.40007E+2 5.96380E+4 1.49200E-4
5.96570E+4 3.40007E+2 5.96580E+4 1.49300E-4
5.96760E+4 3.39996E+2 5.96760E+4 1.49600E-4
5.96950E+4 3.40007E+2 5.96950E+4 1.50000E-4
5.97140E+4 3.40007E+2 5.97140E+4 1.50200E-4
5.97330E+4 3.40007E+2 5.97330E+4 1.49900E-4
5.97520E+4 3.40007E+2 5.97520E+4 1.49800E-4
5.97710E+4 3.40007E+2 5.97710E+4 1.50000E-4
5.97900E+4 3.40007E+2 5.97900E+4 1.50100E-4
5.98090E+4 3.40007E+2 5.98090E+4 1.50300E-4
5.98280E+4 3.40007E+2 5.98280E+4 1.50500E-4
5.98470E+4 3.40007E+2 5.98480E+4 1.50800E-4
5.98660E+4 3.40007E+2 5.98660E+4 1.50900E-4
5.98850E+4 3.40007E+2 5.98850E+4 1.50900E-4
5.99040E+4 3.40007E+2 5.99040E+4 1.50700E-4
5.99230E+4 3.40007E+2 5.99230E+4 1.50800E-4
5.99420E+4 3.40007E+2 5.99420E+4 1.50900E-4
5.99610E+4 3.40007E+2 5.99610E+4 1.51000E-4
5.99800E+4 3.40007E+2 5.99800E+4 1.51200E-4
5.99990E+4 3.40007E+2 5.99990E+4 1.51400E-4
6.00180E+4 3.40007E+2 6.00180E+4 1.51300E-4
6.00370E+4 3.40017E+2 6.00380E+4 1.51500E-4
6.00560E+4 3.40017E+2 6.00570E+4 1.51700E-4
6.00750E+4 3.40007E+2 6.00750E+4 1.51600E-4
6.00940E+4 3.40017E+2 6.00940E+4 1.51400E-4
6.01130E+4 3.40007E+2 6.01130E+4 1.51500E-4
6.01320E+4 3.40007E+2 6.01320E+4 1.51700E-4
6.01510E+4 3.40007E+2 6.01510E+4 1.51600E-4
6.01700E+4 3.40007E+2 6.01700E+4 1.51800E-4
6.01890E+4 3.40007E+2 6.01890E+4 1.52000E-4
6.02080E+4 3.40007E+2 6.02080E+4 1.52200E-4
