fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 26536 299.78 38.676 1.000000000E+00 7.639298811E-01 6.179588919E-11 2.402744238E+04 5.437117555E+00 3.414732364E-05 1.530225073E-04 2.260849438E-01 1.459495627E-04 4.012820129E-01 1.324110205E-05 1.334375153E-01 9.944323190E-05 1.553062625E-01 
00L2 26666 300.14 38.629 1.000000000E+00 7.609177139E-01 6.522628938E-11 4.177848003E+17 5.319459307E+00 3.352010480E-05 1.502196138E-04 2.257972332E-01 1.456858538E-04 4.010348445E-01 1.319222677E-05 1.329281769E-01 9.947785994E-05 2.383619608E-01 
00L3 26764 300.23 38.618 1.000000000E+00 7.602740419E-01 6.608120059E-11 2.713777717E+03 4.143231914E+00 1.075197177E-05 1.658490978E-04 2.257422997E-01 1.460256345E-04 4.010641748E-01 1.322074465E-05 1.316507178E-01 1.007168217E-04 1.204094542E-01 
00L4 26868 300.28 38.611 1.000000000E+00 7.708178386E-01 6.793322425E-11 1.377455957E+15 5.722085293E+00 4.061761649E-05 1.523772553E-04 2.256908791E-01 1.456212732E-04 4.015293383E-01 1.319641957E-05 1.328455596E-01 9.957631414E-05 1.446066642E-01 
00L5 26966 300.21 38.62 1.000000000E+00 7.475035525E-01 6.483390025E-11 2.506097631E+03 3.918105536E+00 8.570598882E-06 1.659700558E-04 2.257555115E-01 1.455362043E-04 4.007275463E-01 1.316614407E-05 1.327224021E-01 9.944854944E-05 1.210070638E-01 
00L6 27064 300.2 38.622 1.000000000E+00 7.530738887E-01 6.463509765E-11 2.520427302E+03 3.897116070E+00 8.404014597E-06 1.653998836E-04 2.257021038E-01 1.457269583E-04 4.002961029E-01 1.316609152E-05 1.322124578E-01 9.953698360E-05 1.316586260E-01 
00L7 27158 300.15 38.628 1.000000000E+00 7.716111189E-01 6.574702865E-11 3.256722504E+15 5.751015015E+00 4.102744768E-05 1.522063697E-04 2.252607628E-01 1.451447281E-04 4.028799246E-01 1.317232518E-05 1.334994871E-01 9.888650077E-05 1.567506461E-01 
00L8 27258 300.12 38.632 1.000000000E+00 7.480531466E-01 6.226777288E-11 2.320094698E+03 3.699290288E+00 6.650638510E-06 1.666557828E-04 2.256731140E-01 1.454771091E-04 4.011333281E-01 1.316931636E-05 1.326824513E-01 9.950945303E-05 1.383595603E-01 
00L9 27358 300.09 38.636 1.000000000E+00 7.869794997E-01 6.500756225E-11 3.685070313E+16 5.798940300E+00 4.194915570E-05 1.535668182E-04 2.257146179E-01 1.453100772E-04 4.012303806E-01 1.315979819E-05 1.332123853E-01 9.902102770E-05 1.490461142E-01 
0L10 27456 300.03 38.643 1.000000000E+00 7.862239240E-01 6.416724774E-11 5.710226100E+04 5.621901192E+00 3.805143557E-05 1.521652997E-04 2.255291878E-01 1.450023055E-04 4.011193257E-01 1.311750535E-05 1.331251251E-01 9.875935808E-05 1.504223386E-01 
0L11 27558 300.05 38.641 1.000000000E+00 7.465535734E-01 6.147713847E-11 9.213617359E+19 5.113413513E+00 2.992291612E-05 1.471893504E-04 2.258450378E-01 1.451256919E-04 4.017537387E-01 1.316784734E-05 1.332577240E-01 9.875555313E-05 2.889820060E-01 
0L12 27718 300.1 38.634 1.000000000E+00 1.019940250E+00 6.882310960E-11 1.529016479E+03 2.352192469E+00 6.165919000E-07 1.371909800E-04 1.962185730E-01 1.075005000E-04 3.255174731E-01 6.866333647E-06 1.161984958E-01 5.897833598E-05 3.486956506E-01 
0L13 27854 299.83 38.669 1.000000000E+00 1.035655628E+00 6.548756450E-11 1.472066044E+03 2.299310891E+00 4.746020973E-07 1.386586372E-04 1.963251770E-01 1.075726124E-04 4.028299330E-01 8.507450821E-06 1.163447296E-01 7.321319688E-05 4.526447642E-01 
0L14 27954 299.82 38.671 1.000000000E+00 1.088700632E+00 7.340564426E-11 2.370427222E+03 3.738743297E+00 6.968000960E-06 1.283564752E-04 1.962640110E-01 1.073729584E-04 4.052862587E-01 8.540778687E-06 1.166133569E-01 7.290287364E-05 1.009625232E-01 
