fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
00D1 26550 299.82 38.671 1.000000000E+00 6.892858233E-01 5.697975351E-11 1.000000000E+20 4.219439099E+00 1.725476743E-05 1.544041429E-01 
00D2 26688 300.16 38.627 1.000000000E+00 6.870688495E-01 6.019367355E-11 1.000000000E+20 4.198823131E+00 1.708220776E-05 1.521303126E-01 
00D3 26782 300.23 38.618 1.000000000E+00 6.826106554E-01 6.063560895E-11 1.000000000E+20 4.230844207E+00 1.750752062E-05 1.528342643E-01 
00D4 26902 300.26 38.614 1.000000000E+00 6.831202748E-01 6.114752142E-11 1.000000000E+20 4.248949349E+00 1.778429252E-05 1.530324163E-01 
00D5 26984 300.24 38.616 1.000000000E+00 6.779155999E-01 6.018788692E-11 1.000000000E+20 4.242662431E+00 1.763973082E-05 1.530354756E-01 
00D6 27082 300.18 38.624 1.000000000E+00 6.743350323E-01 5.924058394E-11 1.000000000E+20 4.232895876E+00 1.748313536E-05 1.532011065E-01 
00D7 27174 300.15 38.628 1.000000000E+00 6.867224686E-01 5.898420406E-11 1.000000000E+20 4.187279830E+00 1.695233351E-05 1.523809377E-01 
00D8 27274 300.11 38.633 1.000000000E+00 6.780383548E-01 5.827125961E-11 1.000000000E+20 4.214249249E+00 1.724156630E-05 1.531588566E-01 
00D9 27376 300.08 38.637 1.000000000E+00 6.829737648E-01 5.800597570E-11 1.000000000E+20 4.214265289E+00 1.721395247E-05 1.527963210E-01 
0D10 27476 300.06 38.64 1.000000000E+00 6.910890316E-01 5.791157977E-11 1.000000000E+20 4.256348707E+00 1.771931314E-05 1.539459494E-01 
0D11 27576 300.03 38.643 1.000000000E+00 6.805870894E-01 5.691171791E-11 1.000000000E+20 4.236176797E+00 1.750244831E-05 1.547050302E-01 
0D12 27740 299.97 38.651 1.000000000E+00 1.042978489E+00 7.136984422E-11 1.000000000E+20 4.119047487E+00 1.601730517E-05 1.431267914E-01 
0D13 27874 299.82 38.671 1.000000000E+00 1.032574168E+00 6.817376182E-11 1.000000000E+20 4.080370464E+00 1.551202181E-05 1.425428503E-01 
0D14 27972 299.82 38.671 1.000000000E+00 1.060609474E+00 7.017785770E-11 1.000000000E+20 4.112310755E+00 1.586384790E-05 1.442470681E-01 
0D15 28070 299.89 38.662 1.000000000E+00 1.032389312E+00 6.865863802E-11 1.000000000E+20 4.097293061E+00 1.572197824E-05 1.445224116E-01 
0D16 28174 299.92 38.658 1.000000000E+00 1.036708140E+00 6.866395907E-11 1.000000000E+20 4.090625512E+00 1.566288374E-05 1.490527013E-01 
0D17 28266 299.93 38.656 1.000000000E+00 1.041298413E+00 6.862857758E-11 1.000000000E+20 4.095295625E+00 1.572221833E-05 1.750594513E-01 
0D18 28386 299.97 38.651 1.000000000E+00 1.040018543E+00 6.881287180E-11 1.000000000E+20 4.089139535E+00 1.565323914E-05 1.471045690E-01 
0D19 28484 299.99 38.649 1.000000000E+00 1.044631697E+00 6.908681669E-11 1.000000000E+20 4.098409902E+00 1.567850412E-05 1.456470778E-01 
0D20 28574 299.99 38.649 1.000000000E+00 1.032807121E+00 6.830196794E-11 1.000000000E+20 4.094162351E+00 1.563561798E-05 1.409649686E-01 
0D21 28664 299.99 38.649 1.000000000E+00 1.044443528E+00 6.719005874E-11 1.000000000E+20 4.098870384E+00 1.568777017E-05 1.472976673E-01 
0D22 28762 299.98 38.65 1.000000000E+00 1.026884089E+00 6.673351166E-11 1.000000000E+20 4.100403397E+00 1.567149287E-05 1.410200998E-01 
0D23 28866 299.99 38.649 1.000000000E+00 1.047573563E+00 6.571506491E-11 1.000000000E+20 4.109658625E+00 1.579384159E-05 1.438808387E-01 
0D24 28962 300 38.647 1.000000000E+00 1.066677104E+00 6.606134771E-11 1.000000000E+20 4.115128136E+00 1.578440364E-05 1.435254183E-01 
0D25 29064 300 38.647 1.000000000E+00 1.052419375E+00 6.445574536E-11 1.000000000E+20 4.100379106E+00 1.562452631E-05 1.425438433E-01 
0D26 29162 300 38.647 1.000000000E+00 1.063622541E+00 6.421355187E-11 1.000000000E+20 4.094990164E+00 1.554464421E-05 1.461069774E-01 
0D27 29270 300.01 38.646 1.000000000E+00 1.046498780E+00 6.286293273E-11 1.000000000E+20 4.104080352E+00 1.561629269E-05 1.418933033E-01 
0D28 29352 300 38.647 1.000000000E+00 1.047540397E+00 6.231096985E-11 1.000000000E+20 4.108020992E+00 1.564507161E-05 1.422943547E-01 
0D29 29458 299.99 38.649 1.000000000E+00 1.026334873E+00 6.133771610E-11 1.000000000E+20 4.110617234E+00 1.563512103E-05 1.471330179E-01 
0D30 29554 300 38.647 1.000000000E+00 1.060553113E+00 6.141692896E-11 1.000000000E+20 4.118120687E+00 1.568653244E-05 1.419898567E-01 
0D31 29650 299.98 38.65 1.000000000E+00 1.054477724E+00 6.075013588E-11 1.000000000E+20 4.119126802E+00 1.568429594E-05 1.480620016E-01 
0D32 29760 299.98 38.65 1.000000000E+00 1.059407157E+00 6.065034844E-11 1.000000000E+20 4.120036093E+00 1.567836980E-05 1.415808400E-01 
0D33 29856 300 38.647 1.000000000E+00 1.060694557E+00 6.024583494E-11 1.000000000E+20 4.120748266E+00 1.567766631E-05 1.423961217E-01 
0D34 29950 299.98 38.65 1.000000000E+00 1.061085266E+00 5.982633813E-11 1.000000000E+20 4.124282596E+00 1.570325142E-05 1.421819964E-01 
0D35 30052 299.99 38.649 1.000000000E+00 1.032404582E+00 6.386898931E-11 1.000000000E+20 4.107129715E+00 1.570487379E-05 1.424089411E-01 
0D36 30144 300 38.647 1.000000000E+00 1.046500821E+00 6.325672866E-11 1.000000000E+20 4.105927564E+00 1.566355012E-05 1.469114108E-01 
0D37 30250 299.99 38.649 1.000000000E+00 1.053257000E+00 6.334941494E-11 1.000000000E+20 4.113237991E+00 1.571218150E-05 1.482766228E-01 
0D38 30344 299.99 38.649 1.000000000E+00 1.045080993E+00 6.288470333E-11 1.000000000E+20 4.110254109E+00 1.569463288E-05 1.469317995E-01 
0D39 30446 300 38.647 1.000000000E+00 1.049750298E+00 6.319207570E-11 1.000000000E+20 4.109583355E+00 1.568501797E-05 1.426235734E-01 
0D40 30544 299.99 38.649 1.000000000E+00 1.041275018E+00 6.258464339E-11 1.000000000E+20 4.111624560E+00 1.569615757E-05 1.424421611E-01 
0D41 30640 300 38.647 1.000000000E+00 1.050680037E+00 6.274612162E-11 1.000000000E+20 4.127617980E+00 1.589574795E-05 1.475477544E-01 
0D42 30744 300 38.647 1.000000000E+00 1.042123203E+00 6.238494321E-11 1.000000000E+20 4.111036447E+00 1.569352216E-05 1.421025557E-01 
0D43 30838 299.99 38.649 1.000000000E+00 1.049329535E+00 6.257297076E-11 1.000000000E+20 4.132273462E+00 1.594714799E-05 1.482592839E-01 
0D44 30952 300 38.647 1.000000000E+00 1.047791628E+00 6.243370303E-11 1.000000000E+20 4.114895986E+00 1.571620036E-05 1.418447514E-01 
0D45 31038 299.99 38.649 1.000000000E+00 1.046031903E+00 6.237371160E-11 1.000000000E+20 4.115189218E+00 1.572362140E-05 1.436716932E-01 
0D46 31138 300 38.647 1.000000000E+00 1.042270634E+00 6.206391138E-11 1.000000000E+20 4.115258548E+00 1.572482084E-05 1.420860602E-01 
0D47 31238 300 38.647 1.000000000E+00 1.038250309E+00 6.193494935E-11 1.000000000E+20 4.110074788E+00 1.566355048E-05 1.430361762E-01 
0D48 31332 300 38.647 1.000000000E+00 1.040556917E+00 6.189671900E-11 1.000000000E+20 4.113895083E+00 1.571030031E-05 1.485046564E-01 
0D49 31438 300.01 38.646 1.000000000E+00 1.040368007E+00 6.167995263E-11 1.000000000E+20 4.113280653E+00 1.570750499E-05 1.478214513E-01 
0D50 31530 299.99 38.649 1.000000000E+00 1.040768731E+00 6.147419386E-11 1.000000000E+20 4.111911705E+00 1.568437797E-05 1.351312391E-01 
0D51 31630 300.01 38.646 1.000000000E+00 1.049689114E+00 6.191384099E-11 1.000000000E+20 4.113555536E+00 1.568482145E-05 1.427057382E-01 
