fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0T01 8:16:26 292.9 39.58 1.000E+000 1.041E+000 5.426E-006 6.613E+002 2.678E+000 2.018E-008 4.882E-004 
0T02 8:41:26 296.1 39.16 1.000E+000 1.028E+000 5.647E-006 6.778E+002 2.656E+000 2.317E-008 6.101E-004 
0T03 9:04:08 299.7 38.69 1.000E+000 1.087E+000 5.622E-006 6.950E+002 2.623E+000 2.713E-008 5.558E-004 
0T04 9:17:42 301.9 38.4 1.000E+000 1.010E+000 6.005E-006 7.053E+002 2.600E+000 2.985E-008 6.310E-004 
0T05 9:33:22 305.3 37.98 1.000E+000 9.613E-001 5.240E-006 7.220E+002 2.582E+000 3.364E-008 5.538E-004 
0T06 9:48:26 309.3 37.49 1.000E+000 1.052E+000 5.208E-006 7.396E+002 2.554E+000 3.885E-008 4.828E-004 
0T07 10:02:14 312.7 37.08 1.000E+000 9.616E-001 5.592E-006 7.534E+002 2.525E+000 4.415E-008 4.158E-004 
0T08 10:18:06 314.6 36.85 1.000E+000 1.015E+000 5.135E-006 7.651E+002 2.539E+000 4.490E-008 4.881E-004 
0T09 10:32:08 318.8 36.37 1.000E+000 1.013E+000 5.470E-006 7.762E+002 2.486E+000 5.396E-008 4.043E-004 
0T10 10:46:34 322.5 35.95 1.000E+000 1.023E+000 5.439E-006 7.914E+002 2.488E+000 5.821E-008 4.175E-004 
0T11 11:01:18 325.2 35.65 1.000E+000 1.000E+000 5.623E-006 7.955E+002 2.455E+000 6.465E-008 4.912E-004 
0T12 11:17:32 328.6 35.28 1.000E+000 9.579E-001 5.883E-006 8.015E+002 2.430E+000 7.225E-008 4.367E-004 
0T13 11:34:44 331.5 34.97 1.000E+000 9.650E-001 5.935E-006 8.011E+002 2.403E+000 8.005E-008 3.868E-004 
0T14 11:50:30 335.1 34.6 1.000E+000 9.744E-001 6.088E-006 8.157E+002 2.414E+000 8.417E-008 4.986E-004 
0T15 12:05:02 337.5 34.35 1.000E+000 1.022E+000 5.896E-006 8.192E+002 2.418E+000 8.823E-008 5.339E-004 
0T16 12:26:34 340.2 34.08 1.000E+000 1.001E+000 6.515E-006 8.064E+002 2.370E+000 9.924E-008 4.499E-004 
