N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+15 300 2.100E-4 1.190497143E+00 1.193698982E+00
1.468000E+10 1.000E+15 300 2.100E-4 1.190849507E+00 1.193767347E+00
2.154000E+10 1.000E+15 300 2.100E-4 1.191130909E+00 1.193867574E+00
3.162000E+10 1.000E+15 300 2.100E-4 1.191420141E+00 1.194014306E+00
4.642000E+10 1.000E+15 300 2.100E-4 1.192427900E+00 1.194229278E+00
6.813000E+10 1.000E+15 300 2.100E-4 1.193295019E+00 1.194543674E+00
1.000000E+11 1.000E+15 300 2.100E-4 1.194136168E+00 1.195002348E+00
1.468000E+11 1.000E+15 300 2.100E-4 1.195068323E+00 1.195670943E+00
2.154000E+11 1.000E+15 300 2.100E-4 1.196219789E+00 1.196641487E+00
3.162000E+11 1.000E+15 300 2.100E-4 1.197745443E+00 1.198043226E+00
4.642000E+11 1.000E+15 300 2.100E-4 1.198817895E+00 1.198844495E+00
6.813000E+11 1.000E+15 300 2.100E-4 1.199101930E+00 1.199119869E+00
1.000000E+12 1.000E+15 300 2.100E-4 1.199452764E+00 1.199464815E+00
1.468000E+12 1.000E+15 300 2.100E-4 1.199882742E+00 1.199890813E+00
2.154000E+12 1.000E+15 300 2.100E-4 1.202916932E+00 1.202969282E+00
3.162000E+12 1.000E+15 300 2.100E-4 1.206172415E+00 1.206176251E+00
4.642000E+12 1.000E+15 300 2.100E-4 1.210727939E+00 1.210777038E+00
6.813000E+12 1.000E+15 300 2.100E-4 1.218889160E+00 1.218891036E+00
1.000000E+13 1.000E+15 300 2.100E-4 1.219311813E+00 1.219313088E+00
