fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
00T1 8:31 299.9 38.66 1.336E+000 5.649E-006 1.542E-010 2.896 1.052 6.793E+002 
00T2 8:50 302.1 38.38 1.343E+000 3.480E-006 2.246E-011 2.545 0.9364 6.877E+002 
00T3 9:12 305 38.01 1.352E+000 5.150E-006 1.262E-010 2.677 0.9946 6.986E+002 
00T4 9:31 307.5 37.7 1.360E+000 5.010E-006 1.071E-010 2.585 0.9649 7.078E+002 
00T5 9:50 309.8 37.42 1.367E+000 4.502E-006 5.106E-011 2.449 0.9114 7.162E+002 
00T6 10:12 312.6 37.09 1.375E+000 5.402E-006 1.115E-010 2.462 0.9256 7.262E+002 
00T7 10:35 315.2 36.78 1.383E+000 7.101E-006 4.081E-010 2.545 0.9704 7.354E+002 
00T8 10:57 317.4 36.53 1.390E+000 8.115E-006 7.273E-010 2.557 0.984 7.430E+002 
00T9 11:18 320 36.23 1.398E+000 9.890E-006 1.846E-009 2.603 1.017 7.518E+002 
0T10 11:44 322.4 35.96 1.406E+000 1.018E-005 1.764E-009 2.531 0.9941 7.599E+002 
0T11 12:8 325.4 35.63 1.415E+000 9.068E-006 7.526E-010 2.341 0.9225 7.698E+002 
0T12 12:31 328.1 35.34 1.423E+000 1.301E-005 4.343E-009 2.5 1.001 7.785E+002 
0T13 12:50 330.6 35.07 1.431E+000 1.270E-005 2.190E-009 2.375 0.9388 7.865E+002 
