fname time Tem kT_1 Io Et Ud Iph dev 
01RV 1rv.dat 300 38.65 2.131E-003 1.575E-003 5.000E-001 0.000E+000 1.502E-002 
02RV 2rv.dat 300 38.65 2.206E-003 1.579E-003 5.000E-001 0.000E+000 1.870E-002 
03RV 3rv.dat 300 38.65 1.647E-003 1.540E-003 5.000E-001 0.000E+000 4.735E-002 
04RV 4rv.dat 300 38.65 2.040E-003 1.572E-003 5.000E-001 0.000E+000 1.504E-002 
05RV 5rv.dat 300 38.65 1.588E-003 1.538E-003 5.000E-001 0.000E+000 1.254E-002 
06RV 6rv.dat 300 38.65 1.427E-003 1.520E-003 5.000E-001 0.000E+000 1.292E-002 
07RV 7rv.dat 300 38.65 1.620E-003 1.542E-003 5.000E-001 0.000E+000 1.514E-002 
08RV 8rv.dat 300 38.65 1.378E-003 1.516E-003 5.000E-001 0.000E+000 1.465E-002 
09RV 9rv.dat 300 38.65 1.608E-003 1.538E-003 5.000E-001 0.000E+000 2.167E-002 
10RV 10rv.dat 300 38.65 1.649E-003 1.540E-003 5.000E-001 0.000E+000 1.412E-002 
11RV 11rv.dat 300 38.65 2.227E-003 1.587E-003 5.000E-001 0.000E+000 1.338E-002 
12RV 12rv.dat 300 38.65 1.947E-003 1.569E-003 5.000E-001 0.000E+000 1.324E-002 
13RV 13rv.dat 300 38.65 1.590E-003 1.529E-003 5.000E-001 0.000E+000 1.850E-002 
14RV 14rv.dat 300 38.65 1.552E-003 1.539E-003 5.000E-001 0.000E+000 1.322E-002 
15RV 15rv.dat 300 38.65 1.745E-003 1.556E-003 5.000E-001 0.000E+000 1.399E-002 
16RV 16rv.dat 300 38.65 1.335E-003 1.514E-003 5.000E-001 0.000E+000 1.279E-002 
17RV 17rv.dat 300 38.65 1.611E-003 1.538E-003 5.000E-001 0.000E+000 1.609E-002 
18RV 18rv.dat 300 38.65 1.671E-003 1.544E-003 5.000E-001 0.000E+000 1.662E-002 
19RV 19rv.dat 300 38.65 1.199E-003 1.507E-003 5.000E-001 0.000E+000 1.530E-002 
20RV 20rv.dat 300 38.65 1.545E-003 1.536E-003 5.000E-001 0.000E+000 1.959E-002 
21RV 21rv.dat 300 38.65 1.991E-003 1.574E-003 5.000E-001 0.000E+000 1.404E-002 
22RV 22rv.dat 300 38.65 1.485E-003 1.534E-003 5.000E-001 0.000E+000 1.375E-002 
23RV 23rv.dat 300 38.65 1.624E-003 1.557E-003 5.000E-001 0.000E+000 1.276E-002 
24RV 24rv.dat 300 38.65 1.697E-003 1.559E-003 5.000E-001 0.000E+000 1.203E-002 
25RV 25rv.dat 300 38.65 1.389E-003 1.523E-003 5.000E-001 0.000E+000 1.776E-002 
26RV 26rv.dat 300 38.65 1.402E-003 1.526E-003 5.000E-001 0.000E+000 1.671E-002 
27RV 27rv.dat 300 38.65 1.537E-003 1.539E-003 5.000E-001 0.000E+000 1.819E-002 
