T Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.500000000E+01 1.186828537E+00 1.190059351E+00 -3.230814000E-03 1.186693175E+00 1.189697005E+00 -3.003830000E-03 1.353620000E-04 3.623460000E-04
290 1.524993176E+01 1.206859814E+00 1.193711133E+00 1.314868100E-02 1.206585556E+00 1.193197125E+00 1.338843100E-02 2.742580000E-04 5.140080000E-04
290 1.549996187E+01 1.219358986E+00 1.197067864E+00 2.229112200E-02 1.218837515E+00 1.196362414E+00 2.247510100E-02 5.214710000E-04 7.054500000E-04
290 1.574996808E+01 1.230342116E+00 1.204002457E+00 2.633965900E-02 1.229345734E+00 1.203077975E+00 2.626775900E-02 9.963820000E-04 9.244820000E-04
290 1.600000000E+01 1.241431671E+00 1.209339423E+00 3.209224800E-02 1.239501376E+00 1.208212260E+00 3.128911600E-02 1.930295000E-03 1.127163000E-03
290 1.624993176E+01 1.255374142E+00 1.210917377E+00 4.445676500E-02 1.251609209E+00 1.209547179E+00 4.206203000E-02 3.764933000E-03 1.370198000E-03
290 1.649996187E+01 1.270477120E+00 1.212577708E+00 5.789941200E-02 1.263198977E+00 1.210853035E+00 5.234594200E-02 7.278143000E-03 1.724673000E-03
290 1.674996808E+01 1.287964651E+00 1.220578569E+00 6.738608200E-02 1.274401710E+00 1.218354777E+00 5.604693300E-02 1.356294100E-02 2.223792000E-03
290 1.700000000E+01 1.309153609E+00 1.236725223E+00 7.242838600E-02 1.285386849E+00 1.233790311E+00 5.159653800E-02 2.376676000E-02 2.934912000E-03
295 1.500000000E+01 1.168332222E+00 1.190055512E+00 -2.172329000E-02 1.168220757E+00 1.189717526E+00 -2.149676900E-02 1.114650000E-04 3.379860000E-04
295 1.524993176E+01 1.203142424E+00 1.194939480E+00 8.202944000E-03 1.202881154E+00 1.194456626E+00 8.424528000E-03 2.612700000E-04 4.828540000E-04
295 1.549996187E+01 1.219618581E+00 1.199092540E+00 2.052604100E-02 1.219123381E+00 1.198411811E+00 2.071157000E-02 4.952000000E-04 6.807290000E-04
