fname time Tem kT_1 Io Et Ud Iph dev 
01RV 01rv.dat 297.7 38.95 4.366E-003 1.788E-003 6.780E-001 0.000E+000 1.089E-002 
02RV 02rv.dat 297.8 38.93 8.298E-003 1.915E-003 9.575E-001 0.000E+000 6.103E-003 
03RV 03rv.dat 300 38.65 6.946E-003 1.880E-003 9.682E-001 0.000E+000 8.157E-003 
04RV 04rv.dat 300 38.65 2.548E-003 1.673E-003 4.897E-001 0.000E+000 6.969E-003 
05RV 05rv.dat 300 38.65 1.217E-002 1.974E-003 1.090E+000 0.000E+000 1.453E-002 
06RV 06rv.dat 302.6 38.32 1.387E-002 2.010E-003 1.268E+000 0.000E+000 9.518E-003 
07RV 07rv.dat 302.5 38.33 1.920E-002 2.071E-003 1.407E+000 0.000E+000 8.202E-003 
08RV 08rv.dat 302.5 38.33 4.404E+009 6.373E-003 8.000E+000 0.000E+000 9.620E-002 
09RV 09rv.dat 305.1 38 6.353E-003 1.837E-003 9.378E-001 0.000E+000 1.394E-002 
10RV 10rv.dat 305 38.01 2.836E-002 2.145E-003 1.607E+000 0.000E+000 8.398E-003 
11RV 11rv.dat 305 38.01 2.601E-003 1.665E-003 5.910E-001 0.000E+000 1.376E-002 
12RV 12rv.dat 307.6 37.69 2.991E-003 1.692E-003 6.863E-001 0.000E+000 7.449E-003 
13RV 13rv.dat 307.5 37.7 2.811E-003 1.673E-003 6.475E-001 0.000E+000 7.431E-003 
14RV 14rv.dat 307.6 37.69 3.124E+008 6.042E-003 8.000E+000 0.000E+000 8.248E-002 
15RV 15rv.dat 307.5 37.7 2.647E-002 2.128E-003 1.619E+000 0.000E+000 7.599E-003 
16RV 16rv.dat 310.1 37.39 1.005E+008 5.899E-003 8.000E+000 0.000E+000 7.098E-002 
17RV 17rv.dat 310 37.4 6.410E-003 1.834E-003 1.058E+000 0.000E+000 1.252E-002 
18RV 18rv.dat 310 37.4 7.542E-003 1.850E-003 1.052E+000 0.000E+000 9.746E-003 
19RV 19rv.dat 312.5 37.1 4.279E-003 1.747E-003 8.980E-001 0.000E+000 8.468E-003 
20RV 20rv.dat 312.5 37.1 4.812E+001 3.504E-003 4.352E+000 0.000E+000 3.585E-002 
21RV 21rv.dat 312.5 37.1 1.390E-002 1.973E-003 1.340E+000 0.000E+000 1.379E-002 
22RV 22rv.dat 315.1 36.8 2.615E-002 2.086E-003 1.586E+000 0.000E+000 1.405E-002 
23RV 23rv.dat 315 36.81 1.020E-002 1.897E-003 1.205E+000 0.000E+000 1.454E-002 
24RV 24rv.dat 315.1 36.8 1.780E-002 2.017E-003 1.506E+000 0.000E+000 1.627E-002 
25RV 25rv.dat 317.5 36.52 6.805E-003 1.807E-003 1.072E+000 0.000E+000 8.898E-003 
26RV 26rv.dat 317.5 36.52 1.528E-002 1.980E-003 1.431E+000 0.000E+000 1.319E-002 
27RV 27rv.dat 317.5 36.52 2.015E-002 2.022E-003 1.487E+000 0.000E+000 1.085E-002 
28RV 28rv.dat 320.1 36.22 2.534E-002 2.062E-003 1.604E+000 0.000E+000 1.154E-002 
29RV 29rv.dat 320.1 36.22 1.632E-002 1.974E-003 1.429E+000 0.000E+000 1.447E-002 
30RV 30rv.dat 320 36.23 9.124E-003 1.865E-003 1.230E+000 0.000E+000 1.174E-002 
31RV 31rv.dat 322.6 35.94 2.060E-002 2.018E-003 1.572E+000 0.000E+000 1.032E-002 
32RV 32rv.dat 322.5 35.95 8.183E-003 1.834E-003 1.196E+000 0.000E+000 1.082E-002 
33RV 33rv.dat 322.5 35.95 1.531E-002 1.946E-003 1.381E+000 0.000E+000 9.846E-003 
34RV 34rv.dat 325.1 35.66 1.167E-002 1.895E-003 1.341E+000 0.000E+000 1.068E-002 
35RV 35rv.dat 325 35.67 1.394E-002 1.932E-003 1.450E+000 0.000E+000 1.206E-002 
36RV 36rv.dat 325 35.67 2.560E-002 2.025E-003 1.531E+000 0.000E+000 2.234E-002 
37RV 37rv.dat 327.5 35.4 7.944E-003 1.799E-003 1.170E+000 0.000E+000 9.130E-003 
