fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
0DL0 9:12:44 305.2 37.99 1.000E+000 8.994E-001 1.427E-010 7.197E+002 2.786E+000 6.873E-006 1.996E-004 1.224E-001 1.994E-004 6.464E-006 2.649E-001 6.340E-002 1.018E-004 4.440E-003 
0DL1 9:15:24 305.2 37.99 1.000E+000 8.899E-001 1.418E-010 7.190E+002 2.784E+000 6.855E-006 1.996E-004 1.223E-001 1.993E-004 6.458E-006 2.649E-001 6.330E-002 1.019E-004 2.440E-003 
0DL2 9:19:02 305.2 37.99 1.000E+000 9.110E-001 1.421E-010 7.201E+002 2.801E+000 7.003E-006 1.995E-004 1.222E-001 1.992E-004 6.451E-006 2.650E-001 6.330E-002 1.018E-004 4.142E-002 
0DL3 9:22:08 305.1 38 1.000E+000 8.841E-001 1.367E-010 7.162E+002 2.773E+000 6.654E-006 1.996E-004 1.223E-001 1.994E-004 6.452E-006 2.646E-001 6.330E-002 1.018E-004 3.981E-003 
0DL4 9:26:04 305.3 37.98 1.000E+000 9.020E-001 1.433E-010 7.204E+002 2.793E+000 6.939E-006 1.994E-004 1.223E-001 1.991E-004 6.451E-006 2.649E-001 6.330E-002 1.018E-004 2.713E-003 
0DL5 9:29:12 305.4 37.96 1.000E+000 9.659E-001 1.497E-010 7.192E+002 2.788E+000 6.883E-006 1.995E-004 1.223E-001 1.992E-004 6.452E-006 2.649E-001 6.330E-002 1.018E-004 3.421E-003 
0DL6 9:31:44 305.3 37.98 1.000E+000 9.367E-001 1.445E-010 7.212E+002 2.795E+000 6.989E-006 1.994E-004 1.223E-001 1.991E-004 6.453E-006 2.650E-001 6.330E-002 1.018E-004 2.626E-003 
0DL7 9:35:34 305.1 38 1.000E+000 9.248E-001 1.383E-010 7.100E+002 2.762E+000 6.497E-006 2.002E-004 1.220E-001 1.999E-004 6.449E-006 2.643E-001 6.310E-002 1.020E-004 8.441E-004 
0DL8 9:38:10 305 38.01 1.000E+000 9.226E-001 1.370E-010 7.190E+002 2.795E+000 6.853E-006 1.995E-004 1.223E-001 1.992E-004 6.453E-006 2.648E-001 6.330E-002 1.018E-004 2.699E-003 
0DL9 9:43:48 305.2 37.99 1.000E+000 8.793E-001 1.355E-010 7.164E+002 2.772E+000 6.675E-006 1.994E-004 1.221E-001 1.991E-004 6.433E-006 2.646E-001 6.320E-002 1.016E-004 8.779E-004 
0L00 8:22:02 292.3 39.67 1.000E+000 8.774E-001 1.752E-011 6.598E+002 2.899E+000 4.176E-006 1.957E-004 1.180E-001 1.954E-004 5.957E-006 2.583E-001 6.020E-002 9.880E-005 9.551E-004 
