fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
SC3132V2_4.8E+12_N 1527924937 0 555 1.853761037E+18 1.000000000E+02 2.193499355E+00 6.513983902E-01 6.321647223E+02 4.435254666E-04 
SC3132V3_4.8E+12_N 1527924937 0 555 2.377483622E+18 1.000000000E+02 2.273778176E+00 6.525138116E-01 6.566732321E+02 4.930409877E-04 
SC3132V4_4.8E+12_N 1527924937 0 555 2.170129089E+18 1.000000000E+02 2.246984995E+00 6.517423409E-01 6.396229875E+02 3.238571148E-04 
SC3132V5_4.8E+12_N 1527924937 0 555 1.450256748E+18 1.000000000E+02 2.114619039E+00 6.508244345E-01 6.199121447E+02 1.570287167E-04 
SC3152V1_1.5E+12_N 1527924965 0 555 7.432238786E+17 1.000000000E+02 1.937831967E+00 6.441560861E-01 4.938259402E+02 1.641825446E-03 
SC3152V2_1.5E+12_N 1527924965 0 555 1.150466401E+18 1.000000000E+02 2.050110217E+00 6.459082001E-01 5.242303779E+02 7.624788186E-04 
SC3152V3_1.5E+12_N 1527924965 0 555 1.087972579E+18 1.000000000E+02 2.017027125E+00 6.479308094E-01 5.616637850E+02 2.551587106E-03 
SC3152V4_1.5E+12_N 1527924965 0 555 1.056292984E+18 1.000000000E+02 2.032787973E+00 6.432361096E-01 4.785742437E+02 9.009443770E-04 
SC320V10_5.3E+11_N 1527924854 0 555 1.694205521E+17 1.000000000E+02 1.731887186E+00 6.299970721E-01 3.047074936E+02 3.280533135E-04 
SC320V6_5.3E+11_N 1527924896 0 555 2.271000144E+17 1.000000000E+02 1.763782258E+00 6.292209975E-01 2.967492992E+02 8.186877078E-04 
SC320V7_5.3E+11_N 1527924788 0 555 2.087951120E+17 1.000000000E+02 1.753047770E+00 6.288695124E-01 2.932137372E+02 5.013726067E-04 
SC320V8_5.3E+11_N 1527924918 0 555 1.907393191E+17 1.000000000E+02 1.742030418E+00 6.302949330E-01 3.078182503E+02 5.645664092E-04 
SC320V9_5.3E+11_N 1527924586 0 555 2.143260528E+17 1.000000000E+02 1.757276521E+00 6.282117316E-01 2.867099573E+02 5.364861540E-04 
SC3383V1_3.5E+11_N 1527925069 0 555 5.711678029E+16 1.000000000E+02 1.650977072E+00 6.451998921E-01 5.117199555E+02 2.691457819E-04 
SC3383V2_3.5E+11_N 1527925003 0 555 4.043715573E+17 1.000000000E+02 1.840997982E+00 6.470265915E-01 5.446095159E+02 4.698909203E-04 
SC3383V3_3.5E+11_N 1527925004 0 555 1.433623202E+17 1.000000000E+02 1.721564144E+00 6.461708001E-01 5.289458455E+02 6.364195664E-04 
SC3383V4_3.5E+11_N 1527925004 0 555 9.130409396E+16 1.000000000E+02 1.682661746E+00 6.447655154E-01 5.041959639E+02 3.669201848E-04 
SC3383V5_3.5E+11_N 1527925069 0 555 2.231158079E+16 1.000000000E+02 1.608413473E+00 6.435520574E-01 4.837582830E+02 1.900602216E-04 
SC3753V2_3.8E+12_N 1527925096 0 555 6.403232180E+17 1.000000000E+02 1.924032287E+00 6.520158628E-01 6.456168274E+02 4.845689385E-04 
SC3753V3_3.8E+12_N 1527925097 0 555 7.676189689E+17 1.000000000E+02 1.958021156E+00 6.524898982E-01 6.561379604E+02 1.857730760E-04 
SC3753V4_3.8E+12_N 1527925097 0 555 7.882874426E+17 1.000000000E+02 1.971186813E+00 6.527541373E-01 6.620769464E+02 1.019039183E-03 
SC3753V5_3.8E+12_N 1527925097 0 555 1.208357892E+18 1.000000000E+02 2.074976885E+00 6.539767191E-01 6.902629086E+02 1.132741035E-03 
SC3753V6_3.8E+12_N 1527925097 0 555 1.149073782E+18 1.000000000E+02 2.065217972E+00 6.538683194E-01 6.877160647E+02 1.552132706E-03 
SC3753V7_3.8E+12_N 1527925097 0 555 1.278624876E+18 1.000000000E+02 2.090688655E+00 6.540998237E-01 6.931666824E+02 1.213770462E-03 
