T d154 d184 d214 d244
d 150 180 210 240
290 1.284355334E+00 1.284716746E+00 1.284762165E+00 1.283637790E+00
295 1.282429010E+00 1.282696784E+00 1.282894245E+00 1.281811297E+00
300 1.281311950E+00 1.281648912E+00 1.281812990E+00 1.280822348E+00
305 1.281095903E+00 1.281224964E+00 1.281056671E+00 1.280720748E+00
310 1.281791167E+00 1.281712789E+00 1.281482717E+00 1.281212885E+00
315 1.282765562E+00 1.282656050E+00 1.282456861E+00 1.282173278E+00
320 1.283958161E+00 1.283882048E+00 1.283573562E+00 1.283411518E+00
325 1.285070010E+00 1.284934281E+00 1.284570341E+00 1.284269047E+00
330 1.285379843E+00 1.285216479E+00 1.283313136E+00 1.284316826E+00
335 1.283945785E+00 1.283605650E+00 1.281522788E+00 1.282334661E+00
340 1.279069280E+00 1.278451483E+00 1.276054825E+00 1.276519994E+00
