fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
GL060 10:01:36 308.2 37.62 1.000E+000 6.757E-001 3.613E-010 1.829E+003 3.013E+000 2.029E-005 2.757E-005 3.212E-002 2.756E-005 2.175E-007 2.457E-001 2.000E-002 1.087E-005 1.392E-003 
GL065 9:59:50 308.3 37.61 1.000E+000 6.713E-001 3.642E-010 1.828E+003 3.012E+000 2.032E-005 3.600E-005 4.099E-002 3.598E-005 3.865E-007 2.621E-001 2.125E-002 1.819E-005 1.635E-003 
GL070 9:57:58 308.3 37.61 1.000E+000 6.766E-001 3.674E-010 1.824E+003 3.008E+000 2.023E-005 4.491E-005 4.993E-002 4.489E-005 5.773E-007 2.576E-001 3.000E-002 1.924E-005 3.945E-003 
GL075 9:56:02 308.3 37.61 1.000E+000 6.663E-001 3.645E-010 1.821E+003 3.006E+000 2.022E-005 5.610E-005 6.050E-002 5.607E-005 9.132E-007 2.692E-001 3.250E-002 2.810E-005 4.450E-003 
GL080 9:53:56 308.3 37.61 1.000E+000 6.827E-001 3.695E-010 1.815E+003 3.007E+000 2.017E-005 6.828E-005 7.126E-002 6.824E-005 1.325E-006 2.724E-001 4.000E-002 3.312E-005 4.880E-003 
GL085 9:51:50 308.2 37.62 1.000E+000 6.704E-001 3.621E-010 1.813E+003 3.008E+000 2.013E-005 8.236E-005 8.290E-002 8.231E-005 1.904E-006 2.790E-001 4.500E-002 4.230E-005 3.953E-003 
GL090 9:49:52 308.2 37.62 1.000E+000 6.765E-001 3.619E-010 1.816E+003 3.009E+000 2.015E-005 9.712E-005 9.417E-002 9.707E-005 2.603E-006 2.847E-001 5.063E-002 5.141E-005 2.580E-003 
GL095 9:46:58 308.1 37.63 1.000E+000 6.803E-001 3.595E-010 1.813E+003 3.015E+000 2.023E-005 1.125E-004 1.049E-001 1.125E-004 3.411E-006 2.892E-001 6.000E-002 5.685E-005 1.347E-003 
GL100 9:44:12 308.2 37.62 1.000E+000 6.890E-001 3.641E-010 1.842E+003 3.020E+000 2.049E-005 1.302E-004 1.165E-001 1.301E-004 4.503E-006 2.972E-001 6.500E-002 6.928E-005 1.522E-003 
GL105 9:41:32 308.2 37.62 1.000E+000 6.779E-001 3.639E-010 1.835E+003 3.020E+000 2.050E-005 1.479E-004 1.267E-001 1.478E-004 5.682E-006 3.034E-001 7.016E-002 8.099E-005 3.423E-003 
GL110 9:38:38 308.2 37.62 1.000E+000 6.806E-001 3.645E-010 1.835E+003 3.015E+000 2.045E-005 1.674E-004 1.371E-001 1.673E-004 7.093E-006 3.093E-001 8.000E-002 8.866E-005 3.492E-003 
