fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 41330 319.23 36.319 1.135197917E+00 4.735222357E-01 1.242114075E-08 5.686908109E+02 1.645089856E-04 9.485906811E-02 1.427294118E-04 -4.431539661E-01 -5.999940867E-06 4.832416615E-02 7.586200293E-05 1.285968676E-01 
00L2 41444 319.45 36.294 1.153596963E+00 4.253582033E-01 1.558495293E-08 5.835411743E+02 1.581610555E-04 9.491032410E-02 1.431359606E-04 -4.394395593E-01 -5.969821749E-06 4.849060521E-02 7.582156644E-05 2.058681770E-01 
00L3 41532 319.53 36.285 1.143790588E+00 4.483790051E-01 1.422986079E-08 5.709051524E+02 1.639688000E-04 9.487511768E-02 1.429173267E-04 -4.472932439E-01 -6.064982474E-06 4.837179022E-02 7.595479276E-05 1.242632582E-01 
00L4 41620 319.59 36.278 1.150176232E+00 4.361952435E-01 1.536805208E-08 5.823323720E+02 1.583626066E-04 9.503837376E-02 1.433173267E-04 -4.388119569E-01 -5.976902178E-06 4.838016863E-02 7.605355041E-05 2.285880457E-01 
00L5 41704 319.66 36.27 1.145369824E+00 4.562807567E-01 1.476029703E-08 5.784021067E+02 1.590843864E-04 9.495285759E-02 1.432039604E-04 -4.420947094E-01 -6.011438186E-06 4.843881750E-02 7.602074189E-05 2.362066019E-01 
00L6 41794 319.7 36.266 1.144802051E+00 4.536408379E-01 1.473185593E-08 5.782685335E+02 1.589077776E-04 9.188656178E-02 1.430226601E-04 -5.539747567E-02 -7.280258969E-07 9.121371250E-02 -3.405664524E-06 1.436659993E+00 
00L7 41882 319.71 36.265 1.138909645E+00 4.688356795E-01 1.389298252E-08 5.705658239E+02 1.639137491E-04 9.478856640E-02 1.427359606E-04 -4.464650047E-01 -6.040554128E-06 4.827564702E-02 7.577340066E-05 1.224460150E-01 
00L8 41966 319.77 36.258 1.137496416E+00 4.715514966E-01 1.373701465E-08 5.699341364E+02 1.642831250E-04 9.491847019E-02 1.432039604E-04 -4.412473097E-01 -5.997742681E-06 4.848247747E-02 7.583206643E-05 1.269479139E-01 
00L9 42054 319.78 36.257 1.141869930E+00 4.633583775E-01 1.448189854E-08 5.715068739E+02 1.640649906E-04 9.511647739E-02 1.433226601E-04 -4.358145159E-01 -5.941174516E-06 4.852298307E-02 7.589002829E-05 1.329239844E-01 
0L10 42142 319.82 36.252 1.139823399E+00 4.594056572E-01 1.419419209E-08 5.712339251E+02 1.641586298E-04 9.516003456E-02 1.432306931E-04 -4.419663939E-01 -6.023930219E-06 4.841093926E-02 7.619156905E-05 1.361344684E-01 
0L11 42228 319.82 36.252 1.145333284E+00 4.436464494E-01 1.504467118E-08 5.719887933E+02 1.639789700E-04 9.502968636E-02 1.431492611E-04 -4.370592358E-01 -5.945504450E-06 4.851878009E-02 7.586177686E-05 1.252936040E-01 
0L12 42320 319.84 36.25 1.145793854E+00 4.459109826E-01 1.523497681E-08 5.794968923E+02 1.586265316E-04 9.500517521E-02 1.428965517E-04 -4.422845603E-01 -6.004416240E-06 4.834652247E-02 7.588862886E-05 2.440394713E-01 
