fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0UT1 9:16 300.2 38.62 1.000E+000 2.275E+000 1.863E-006 4.276E+002 2.379E+000 8.591E-008 9.679E-004 
0UT2 9:41 303.5 38.2 1.000E+000 2.308E+000 1.836E-006 4.354E+002 2.357E+000 9.534E-008 5.624E-004 
0UT3 10:0 306.5 37.83 1.000E+000 2.256E+000 1.972E-006 4.435E+002 2.276E+000 1.229E-007 2.363E-003 
0UT4 10:19 309.4 37.47 1.000E+000 2.219E+000 1.933E-006 4.519E+002 2.315E+000 1.146E-007 1.007E-003 
0UT5 10:40 312.4 37.11 1.000E+000 2.190E+000 1.961E-006 4.610E+002 2.315E+000 1.189E-007 1.451E-003 
0UT6 11:1 315.5 36.75 1.000E+000 2.220E+000 1.840E-006 4.705E+002 2.365E+000 1.120E-007 1.241E-003 
0UT7 11:20 318.7 36.38 1.000E+000 2.230E+000 1.846E-006 4.801E+002 2.416E+000 1.067E-007 5.752E-004 
0UT8 11:38 321.4 36.07 1.000E+000 2.164E+000 1.960E-006 4.878E+002 2.341E+000 1.270E-007 8.254E-004 
0UT9 11:55 324.3 35.75 1.000E+000 2.159E+000 1.913E-006 4.955E+002 2.389E+000 1.225E-007 5.052E-004 
UT10 12:14 327.7 35.38 1.000E+000 2.134E+000 2.064E-006 5.033E+002 2.313E+000 1.472E-007 1.434E-003 
UT11 12:41 330.7 35.06 1.000E+000 2.167E+000 2.078E-006 5.088E+002 2.310E+000 1.538E-007 1.370E-003 
