N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.188124914E+00 1.179781046E+00 1.172260991E+00 1.164909118E+00
1.016672606E+01 1.188283071E+00 1.180041636E+00 1.172657178E+00 1.165476312E+00
1.033324570E+01 1.188513376E+00 1.180419782E+00 1.173229758E+00 1.166292284E+00
1.049996187E+01 1.188847531E+00 1.180965663E+00 1.174051455E+00 1.167455488E+00
1.066670514E+01 1.189329795E+00 1.181747707E+00 1.175218649E+00 1.169092049E+00
1.083333839E+01 1.190020491E+00 1.182855869E+00 1.176852489E+00 1.171351856E+00
1.100000000E+01 1.190998796E+00 1.184401720E+00 1.179092478E+00 1.174391276E+00
1.116672606E+01 1.192362751E+00 1.186510983E+00 1.182075793E+00 1.178334139E+00
1.133324570E+01 1.194222546E+00 1.189302148E+00 1.185895542E+00 1.183208416E+00
1.149996187E+01 1.196681742E+00 1.192846187E+00 1.190539734E+00 1.188875953E+00
1.166670514E+01 1.199802461E+00 1.197111968E+00 1.195834913E+00 1.195003960E+00
1.183333839E+01 1.203559151E+00 1.201923214E+00 1.201444653E+00 1.201137126E+00
1.200000000E+01 1.207804067E+00 1.206973160E+00 1.206965976E+00 1.206868746E+00
1.216672606E+01 1.212283689E+00 1.211925148E+00 1.212091617E+00 1.212001315E+00
1.233324570E+01 1.216726532E+00 1.216552599E+00 1.216721408E+00 1.216570434E+00
1.249996187E+01 1.220958638E+00 1.220812052E+00 1.220937894E+00 1.220737634E+00
1.266670514E+01 1.224956752E+00 1.224797238E+00 1.224894244E+00 1.224670068E+00
1.283333839E+01 1.228802059E+00 1.228637499E+00 1.228722981E+00 1.228487336E+00
1.300000000E+01 1.232593569E+00 1.232430152E+00 1.232508783E+00 1.232263373E+00
