N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.778E+16 310 1.800E-4 1.252925662E+00 1.264961391E+00 1.209737394E+00 1.225181387E+00
1.468000E+10 1.778E+16 310 1.800E-4 1.256669097E+00 1.264987198E+00 1.213096103E+00 1.225266031E+00
2.154000E+10 1.778E+16 310 1.800E-4 1.259307320E+00 1.265024731E+00 1.216822186E+00 1.225388415E+00
3.162000E+10 1.778E+16 310 1.800E-4 1.261166117E+00 1.265079139E+00 1.219679568E+00 1.225564249E+00
4.642000E+10 1.778E+16 310 1.800E-4 1.262489297E+00 1.265157615E+00 1.221789194E+00 1.225814513E+00
6.813000E+10 1.778E+16 310 1.800E-4 1.263456657E+00 1.265269921E+00 1.223422406E+00 1.226165888E+00
1.000000E+11 1.778E+16 310 1.800E-4 1.264201170E+00 1.265428869E+00 1.224786390E+00 1.226649995E+00
1.468000E+11 1.778E+16 310 1.800E-4 1.264822632E+00 1.265650268E+00 1.226038327E+00 1.227299939E+00
2.154000E+11 1.778E+16 310 1.800E-4 1.265396988E+00 1.265952035E+00 1.227291846E+00 1.228143041E+00
3.162000E+11 1.778E+16 310 1.800E-4 1.265981532E+00 1.267506763E+00 1.228617071E+00 1.229189342E+00
4.642000E+11 1.778E+16 310 1.800E-4 1.270145481E+00 1.272896786E+00 1.231349642E+00 1.232261383E+00
6.813000E+11 1.778E+16 310 1.800E-4 1.277923471E+00 1.278097933E+00 1.237854796E+00 1.238609904E+00
1.000000E+12 1.778E+16 310 1.800E-4 1.278753911E+00 1.278867677E+00 1.244020715E+00 1.244211164E+00
1.468000E+12 1.778E+16 310 1.800E-4 1.279622218E+00 1.279697732E+00 1.245984113E+00 1.246049242E+00
2.154000E+12 1.778E+16 310 1.800E-4 1.286936421E+00 1.286987171E+00 1.247522583E+00 1.247574376E+00
3.162000E+12 1.778E+16 310 1.800E-4 1.287866975E+00 1.287899221E+00 1.248795996E+00 1.249234509E+00
4.642000E+12 1.778E+16 310 1.800E-4 1.288623523E+00 1.288644730E+00 1.256858235E+00 1.256878232E+00
6.813000E+12 1.778E+16 310 1.800E-4 1.300861896E+00 1.300877153E+00 1.257721631E+00 1.257734089E+00
1.000000E+13 1.778E+16 310 1.800E-4 1.306632985E+00 1.306643666E+00 1.263513388E+00 1.263830293E+00
1.000000E+10 1.000E+17 340 2.400E-4 1.202189362E+00 1.343078990E+00 1.139806345E+00 1.211788678E+00
1.468000E+10 1.000E+17 340 2.400E-4 1.232622759E+00 1.343254473E+00 1.157888270E+00 1.214669498E+00
2.154000E+10 1.000E+17 340 2.400E-4 1.258149049E+00 1.343508008E+00 1.170960383E+00 1.218326422E+00
3.162000E+10 1.000E+17 340 2.400E-4 1.285617065E+00 1.343870990E+00 1.183370532E+00 1.222886391E+00
4.642000E+10 1.000E+17 340 2.400E-4 1.302679999E+00 1.344385220E+00 1.194474946E+00 1.228856347E+00
6.813000E+10 1.000E+17 340 2.400E-4 1.315885310E+00 1.345102826E+00 1.208946004E+00 1.236419051E+00
1.000000E+11 1.000E+17 340 2.400E-4 1.326000432E+00 1.346082964E+00 1.226366723E+00 1.244615318E+00
1.468000E+11 1.000E+17 340 2.400E-4 1.333820531E+00 1.347384062E+00 1.237533823E+00 1.256457988E+00
2.154000E+11 1.000E+17 340 2.400E-4 1.340040247E+00 1.349047536E+00 1.250725321E+00 1.266094358E+00
3.162000E+11 1.000E+17 340 2.400E-4 1.345192825E+00 1.351076682E+00 1.265136306E+00 1.275143522E+00
4.642000E+11 1.000E+17 340 2.400E-4 1.349633268E+00 1.353417232E+00 1.276862175E+00 1.282804922E+00
6.813000E+11 1.000E+17 340 2.400E-4 1.353553226E+00 1.355954153E+00 1.287282944E+00 1.289662780E+00
1.000000E+12 1.000E+17 340 2.400E-4 1.357587052E+00 1.359064599E+00 1.295015992E+00 1.295954091E+00
1.468000E+12 1.000E+17 340 2.400E-4 1.360494778E+00 1.361438187E+00 1.302286476E+00 1.302782004E+00
2.154000E+12 1.000E+17 340 2.400E-4 1.362893703E+00 1.363500930E+00 1.307279766E+00 1.307614867E+00
3.162000E+12 1.000E+17 340 2.400E-4 1.364946633E+00 1.365461021E+00 1.312398073E+00 1.312021622E+00
4.642000E+12 1.000E+17 340 2.400E-4 1.366420843E+00 1.366933748E+00 1.243106113E+00 1.243394637E+00
6.813000E+12 1.000E+17 340 2.400E-4 1.367891222E+00 1.368541826E+00 1.305645034E+00 1.305769177E+00
1.000000E+13 1.000E+17 340 2.400E-4 1.379681027E+00 1.379826193E+00 1.317886241E+00 1.317963279E+00
1.000000E+10 1.000E+17 305 2.100E-4 1.269601592E+00 1.317811759E+00 1.182269242E+00 1.244879041E+00
1.468000E+10 1.000E+17 305 2.100E-4 1.279833311E+00 1.318462569E+00 1.202105813E+00 1.245915310E+00
2.154000E+10 1.000E+17 305 2.100E-4 1.287311024E+00 1.319411497E+00 1.209362774E+00 1.247287109E+00
3.162000E+10 1.000E+17 305 2.100E-4 1.292678021E+00 1.320790860E+00 1.223874604E+00 1.249034524E+00
4.642000E+10 1.000E+17 305 2.100E-4 1.296490097E+00 1.322787090E+00 1.235426041E+00 1.251156651E+00
6.813000E+10 1.000E+17 305 2.100E-4 1.299191412E+00 1.323893843E+00 1.244655240E+00 1.253544151E+00
1.000000E+11 1.000E+17 305 2.100E-4 1.301119995E+00 1.324041361E+00 1.252199480E+00 1.256277174E+00
1.468000E+11 1.000E+17 305 2.100E-4 1.302524975E+00 1.324238764E+00 1.257826379E+00 1.259688481E+00
2.154000E+11 1.000E+17 305 2.100E-4 1.315342483E+00 1.324493736E+00 1.261569080E+00 1.262568454E+00
3.162000E+11 1.000E+17 305 2.100E-4 1.317010216E+00 1.324808578E+00 1.263535428E+00 1.264171190E+00
4.642000E+11 1.000E+17 305 2.100E-4 1.324422804E+00 1.325176734E+00 1.265873402E+00 1.266247807E+00
6.813000E+11 1.000E+17 305 2.100E-4 1.325105144E+00 1.326672969E+00 1.267592987E+00 1.267819886E+00
1.000000E+12 1.000E+17 305 2.100E-4 1.331543120E+00 1.338574076E+00 1.271997865E+00 1.274190690E+00
1.468000E+12 1.000E+17 305 2.100E-4 1.338855239E+00 1.344229305E+00 1.282552588E+00 1.282881669E+00
2.154000E+12 1.000E+17 305 2.100E-4 1.344582716E+00 1.344709405E+00 1.283683115E+00 1.283936905E+00
3.162000E+12 1.000E+17 305 2.100E-4 1.344998810E+00 1.352923166E+00 1.273466534E+00 1.273564665E+00
4.642000E+12 1.000E+17 305 2.100E-4 1.358163591E+00 1.358217691E+00 1.273831512E+00 1.275153598E+00
6.813000E+12 1.000E+17 305 2.100E-4 1.358493756E+00 1.358528169E+00 1.299810783E+00 1.301032425E+00
1.000000E+13 1.000E+17 305 2.100E-4 1.368433809E+00 1.372199761E+00 1.307170601E+00 1.307123230E+00
