T	Iph_mA50.dat	T	Iph_mA100.dat	T	Iph_mA150.dat	T	Iph_mA200.dat	T	Iph_mA250.dat	
Tem	Iph	Tem	Iph	Tem	Iph	Tem	Iph	Tem	Iph
294.03	5.506585844E-05	294	1.270796561E-04	294.03	1.987602451E-04	297.98	2.617403574E-04	294.02	3.318491604E-04
295.03	5.517937037E-05	295.04	1.268917671E-04	295.01	1.974792414E-04	299.03	2.619631089E-04	295.03	3.197043718E-04
296.03	5.506304905E-05	296.04	1.262983063E-04	296.02	1.969682166E-04	300.05	2.607056940E-04	296	3.297571285E-04
297.01	5.505839509E-05	297.03	1.259592780E-04	297.03	1.967715445E-04	301.04	2.592126565E-04	297.02	3.293562870E-04
298.03	5.449098006E-05	298.02	1.250452110E-04	298.03	1.962952134E-04	302.03	2.736253645E-04	298.02	3.500000000E-04
299.03	5.453034380E-05	299.03	1.246918015E-04	299.03	1.949461007E-04	303.04	2.596957412E-04	299.03	3.251480170E-04
300.02	5.488974446E-05	300.02	1.242228594E-04	300.03	1.945655006E-04	304.02	2.592659390E-04	300.05	3.252137591E-04
301.02	5.463054201E-05	301.02	1.240571612E-04	301.02	1.937114607E-04	305.04	2.567411278E-04	301.03	3.279950080E-04
302.03	5.447578417E-05	302.02	1.230287576E-04	302.02	1.927319494E-04	306.03	2.575969966E-04	302.05	3.250143883E-04
303.02	5.454815462E-05	303.03	1.235571055E-04	303.02	1.930329775E-04	307.03	2.560128846E-04	303.03	3.187942262E-04
304.02	5.421611952E-05	304.01	1.232667246E-04	304.06	1.915987460E-04	308.01	2.554000257E-04	304.02	3.284285884E-04
305.01	5.428964736E-05	305.02	1.229947000E-04	305.01	1.918186397E-04	309.03	2.570996866E-04	305.05	3.207093924E-04
306.02	5.428157536E-05	306.02	1.229612728E-04	306.03	1.917674165E-04	310.03	2.549737730E-04	306.03	3.500000000E-04
307.02	5.426484431E-05	307.03	1.221185819E-04	307.02	1.904494285E-04	311.03	2.548934200E-04	307.02	3.177100606E-04
308.02	5.406194797E-05	308.01	1.222596968E-04	308.01	1.911604509E-04	312.02	2.551473072E-04	308.04	3.195765009E-04
309.02	5.387268802E-05	309.03	1.220247500E-04	309.02	1.913305079E-04	313.02	2.593676340E-04	309.03	3.142456944E-04
310.02	5.389816990E-05	310.02	1.218916782E-04	310.01	1.895294814E-04	314.02	2.539194206E-04	310	3.129336385E-04
311.02	5.390044600E-05	311.03	1.220391029E-04	311.03	1.912845627E-04	315.03	2.627955353E-04	311.01	3.089581589E-04
312.02	5.347127769E-05	312.02	1.216555826E-04	312.01	1.904768257E-04	316.04	2.541895496E-04	312.02	3.157690858E-04
313.02	5.370410721E-05	313.02	1.216131733E-04	313.02	1.896486830E-04	317.03	2.565250969E-04	313.01	3.093280469E-04
314.03	5.358704141E-05	314.04	1.212906444E-04	314.03	1.892804479E-04	318.02	2.534953537E-04	314.03	3.148982642E-04
315.02	5.357130077E-05	315.02	1.214334803E-04	315.02	1.899860179E-04	319.03	2.522706925E-04	315.05	2.686919429E-04
316.01	5.347418964E-05	316.04	1.208210655E-04	316.01	1.886673371E-04	320.03	2.529775758E-04	316.01	2.687626037E-04
317.02	5.306278516E-05	317.03	1.237779872E-04	317.04	1.882829113E-04	321.02	2.515646350E-04	317.02	2.669935585E-04
318.01	5.307243572E-05	318.03	1.218071151E-04	318.03	1.885127180E-04	322.01	2.524694419E-04	318.05	2.167239192E-04
319.01	5.316407922E-05	319.02	1.212970660E-04	319.04	1.886093350E-04	323.02	2.510152885E-04	319.03	2.340663557E-04
320	5.308869925E-05	320.02	1.204407238E-04	319.97	1.890230163E-04	324.03	2.503242199E-04	320.05	1.882143817E-04
321.02	5.289912232E-05	321.01	1.208926494E-04	321.03	1.875003455E-04	325.02	2.498227350E-04	321.01	2.636519234E-04
322.02	5.276977983E-05	322.03	1.196433195E-04	322.02	1.871788069E-04	326.02	2.504844804E-04	322.01	1.845175053E-04
323.02	5.277534118E-05	323.01	1.201182093E-04	323.06	1.878307587E-04	327.02	2.494582252E-04	323.02	2.690971721E-04
324.02	5.278715450E-05	324.04	1.198232376E-04	323.99	1.867265171E-04	328.01	2.461125400E-04	324.03	1.755429820E-04
325.01	5.245052866E-05	325.01	1.196583379E-04	325.01	1.871360615E-04	329.01	2.461675436E-04	325.01	1.734956132E-04
326.02	5.249662009E-05	326.03	1.192242833E-04	326.02	1.852102274E-04	330.01	2.458521590E-04	326.01	1.497549133E-04
327.03	5.382390760E-05	327.03	1.207491168E-04	327.02	1.853382267E-04	331.03	2.457650115E-04	327.01	1.295041098E-04
328.05	5.367572520E-05	328.04	1.215974885E-04	328.02	1.868278701E-04	332.03	2.412010572E-04	328.03	1.438556626E-04
329.05	5.772985119E-05	329.02	1.188022130E-04	329.03	1.853788407E-04	333.02	2.435968973E-04	329.01	1.452693670E-04
330.02	5.394735528E-05	330	1.179585806E-04	330.02	1.863366462E-04	334.03	1.770710708E-04	330.02	2.887078024E-04
331.01	5.546858697E-05	331.01	1.205256700E-04	331.03	1.846200516E-04	335.02	1.778690512E-04	331.02	1.411905883E-04
332.06	5.519771282E-05	332.04	1.216453347E-04	332.04	1.835163105E-04	336.02	1.743008033E-04	332.01	1.260459469E-04
333.04	5.487905055E-05	333.02	1.206960807E-04	333.01	1.838408509E-04	337.03	1.593601943E-04	333.04	1.077155512E-04
334.03	5.486053179E-05	334.05	1.193769592E-04	334	1.836559017E-04	338.03	1.542787699E-04	334.01	1.038623506E-04
335.04	5.376407287E-05	335	1.185079424E-04	335.03	1.816673208E-04	339.03	1.553080272E-04	335	6.654667721E-05
336	5.303806044E-05	336.03	1.205802170E-04	336.05	1.823822738E-04	340.02	1.452608104E-04	336.02	9.096635749E-05
338	5.258724504E-05	337.04	1.178322573E-04	336.99	1.723737111E-04	337.01	5.184200275E-05
339.05	5.206407707E-05	338.03	1.198082768E-04	293.06	5.000000000E-05	338	8.875968811E-05
340.03	5.000000000E-05	339.02	1.250209362E-04	339.01	5.525570720E-05
291.98	5.000047659E-05	340.04	1.246918302E-04	340.02	5.363321728E-05
290.92	5.000000000E-05	289.34	5.001521621E-05

