T	I01_mA50.dat	T	I01_mA100.dat	T	I01_mA150.dat	T	I01_mA200.dat	T	I01_mA250.dat	
Tem	I01	Tem	I01	Tem	I01	Tem	I01	Tem	I01
294.03	2.803184509E-11	294	1.038843831E-11	294.03	1.967135579E-11	297.98	2.053432777E-09	294.02	4.413109926E-08
295.03	2.442461895E-11	295.04	8.702848101E-12	295.01	5.894222199E-11	299.03	1.479535246E-09	295.03	4.111118842E-06
296.03	4.372108318E-11	296.04	9.846704070E-12	296.02	6.491311415E-11	300.05	2.927491088E-09	296	1.076645471E-07
297.01	4.774074692E-11	297.03	1.811734181E-11	297.03	9.649735124E-11	301.04	5.837065109E-09	297.02	1.022453020E-07
298.03	3.352039254E-10	298.02	3.780345581E-11	298.03	1.097211536E-10	302.03	4.184047197E-12	298.02	1.000000000E-17
299.03	1.157394464E-10	299.03	5.563699355E-11	299.03	2.183847556E-10	303.04	4.915950556E-09	299.03	3.762663865E-07
300.02	4.552576927E-11	300.02	1.070873402E-10	300.03	3.631041776E-10	304.02	1.074135610E-08	300.05	5.221981270E-07
301.02	6.924399882E-11	301.02	1.044461148E-10	301.02	5.918241517E-10	305.04	2.073952996E-08	301.03	1.457802369E-07
302.03	1.248426369E-10	302.02	2.649615960E-10	302.02	1.178378510E-09	306.03	1.168822394E-08	302.05	2.842864465E-07
303.02	9.807545041E-11	303.03	1.268747120E-10	303.02	6.230618551E-10	307.03	2.672411862E-08	303.03	4.098556928E-06
304.02	1.783719629E-10	304.01	2.552983606E-10	304.06	2.786413220E-09	308.01	4.184759096E-08	304.02	4.187763465E-08
305.01	1.162421333E-10	305.02	2.898024236E-10	305.01	1.456897142E-09	309.03	1.639898871E-08	305.05	1.012178328E-06
306.02	1.178030184E-10	306.02	3.087886632E-10	306.03	2.166670687E-09	310.03	4.480655348E-08	306.03	1.000000000E-17
307.02	1.217936217E-10	307.03	8.794015531E-10	307.02	6.595952724E-09	311.03	5.221922935E-08	307.02	3.283539141E-06
308.02	1.276261943E-10	308.01	6.555786567E-10	308.01	2.425418997E-09	312.02	5.783590637E-08	308.04	1.801926746E-06
309.02	3.439610348E-10	309.03	1.061795581E-09	309.02	1.847713738E-09	313.02	5.342249453E-09	309.03	7.288644954E-06
310.02	2.321852581E-10	310.02	1.287924722E-09	310.01	1.032443631E-08	314.02	8.586139599E-08	310	8.427369690E-06
311.02	1.609964505E-10	311.03	7.483104866E-10	311.03	2.901457461E-09	315.03	1.978123512E-09	311.01	1.229228530E-05
312.02	3.999198799E-10	312.02	1.588466835E-09	312.01	4.282786707E-09	316.04	9.613540371E-08	312.02	5.499319446E-06
313.02	2.050615679E-10	313.02	1.229177270E-09	313.02	9.664259814E-09	317.03	1.833774450E-08	313.01	1.200390316E-05
314.03	2.436741093E-10	314.04	1.821807345E-09	314.03	1.250899928E-08	318.02	1.036643049E-07	314.03	6.573775429E-06
315.02	2.230240888E-10	315.02	1.729640501E-09	315.02	6.979247738E-09	319.03	2.085301439E-07	315.05	5.499592091E-05
316.01	2.480614464E-10	316.04	2.608025411E-09	316.01	1.372941512E-08	320.03	1.460068670E-07	316.01	5.412205908E-05
317.02	6.324099477E-10	317.03	1.454406147E-10	317.04	1.868538142E-08	321.02	3.050809033E-07	317.02	5.655872996E-05
318.01	3.584797682E-10	318.03	1.092818317E-09	318.03	1.900440092E-08	322.01	2.617066442E-07	318.05	1.067181952E-04
