T	I02_mA50.dat	T	I02_mA100.dat	T	I02_mA150.dat	T	I02_mA200.dat	T	I02_mA250.dat	
Tem	I02	Tem	I02	Tem	I02	Tem	I02	Tem	I02
294.03	5.953952687E-05	294	6.676943491E-05	294.03	7.031285883E-05	297.98	8.157684656E-05	294.02	7.524997886E-05
295.03	6.061673031E-05	295.04	6.844904088E-05	295.01	7.271573513E-05	299.03	8.507259965E-05	295.03	7.411487324E-05
296.03	6.363464392E-05	296.04	7.064519095E-05	296.02	7.529630959E-05	300.05	9.184556864E-05	296	8.052547554E-05
297.01	6.600022207E-05	297.03	7.751627995E-05	297.03	8.272344379E-05	301.04	9.667466615E-05	297.02	8.495351259E-05
298.03	6.013583307E-05	298.02	7.628292349E-05	298.03	8.432069964E-05	302.03	9.595206110E-05	298.02	1.562397503E-04
299.03	7.305174161E-05	299.03	8.136135005E-05	299.03	8.715859415E-05	303.04	1.081066688E-04	299.03	9.292222639E-05
300.02	7.749664742E-05	300.02	8.894178356E-05	300.03	9.172723084E-05	304.02	1.145435084E-04	300.05	9.707206687E-05
301.02	8.060563974E-05	301.02	9.132062233E-05	301.02	9.734581634E-05	305.04	1.233685364E-04	301.03	1.038257812E-04
302.03	8.675259623E-05	302.02	9.519292714E-05	302.02	1.044009615E-04	306.03	1.293014297E-04	302.05	1.083210976E-04
303.02	9.362408524E-05	303.03	1.039456465E-04	303.02	1.111372762E-04	307.03	1.365150537E-04	303.03	1.022729188E-04
304.02	9.797022425E-05	304.01	1.076791282E-04	304.06	1.175573531E-04	308.01	1.438509046E-04	304.02	1.236182544E-04
305.01	1.056767767E-04	305.02	1.184331538E-04	305.01	1.213742925E-04	309.03	1.547020108E-04	305.05	1.025591882E-04
306.02	1.094535762E-04	306.02	1.214383371E-04	306.03	1.302014705E-04	310.03	1.616171750E-04	306.03	9.665749001E-06
307.02	1.195297778E-04	307.03	1.249573576E-04	307.02	1.380590160E-04	311.03	1.734542390E-04	307.02	1.448072324E-04
308.02	1.264557240E-04	308.01	1.366452816E-04	308.01	1.521483376E-04	312.02	1.881346218E-04	308.04	1.534728428E-04
309.02	1.319448978E-04	309.03	1.484371509E-04	309.02	1.586982086E-04	313.02	2.128443493E-04	309.03	1.582591780E-04
310.02	1.330791305E-04	310.02	1.569581901E-04	310.01	1.640762526E-04	314.02	2.081740617E-04	310	1.742929214E-04
311.02	1.495912999E-04	311.03	1.614778042E-04	311.03	1.836291319E-04	315.03	3.149983017E-04	311.01	1.775357581E-04
312.02	1.531055111E-04	312.02	1.737976576E-04	312.01	1.920454561E-04	316.04	2.373100967E-04	312.02	1.936369712E-04
313.02	1.656167736E-04	313.02	1.861274095E-04	313.02	2.056690165E-04	317.03	2.649206004E-04	313.01	1.986607349E-04
314.03	1.717601581E-04	314.04	1.919745920E-04	314.03	2.147454171E-04	318.02	2.608146921E-04	314.03	2.116745264E-04
