T	n1_mA50.dat	T	n1_mA100.dat	T	n1_mA150.dat	T	n1_mA200.dat	T	n1_mA250.dat	
Tem	n1	Tem	n1	Tem	n1	Tem	n1	Tem	n1
294.03	2.308884415E+00	294	2.234395915E+00	294.03	2.332923290E+00	297.98	2.971702676E+00	294.02	3.826784784E+00
295.03	2.284189372E+00	295.04	2.188746233E+00	295.01	2.446326734E+00	299.03	2.890497122E+00	295.03	5.150923809E+00
296.03	2.335433065E+00	296.04	2.170169529E+00	296.02	2.435645766E+00	300.05	3.004376271E+00	296	4.026052397E+00
297.01	2.326371531E+00	297.03	2.234462882E+00	297.03	2.480848067E+00	301.04	3.123297863E+00	297.02	3.984748316E+00
298.03	2.555767827E+00	298.02	2.295791990E+00	298.03	2.472131006E+00	302.03	2.049058042E+00	298.02	7.000000000E+00
299.03	2.408583646E+00	299.03	2.325494024E+00	299.03	2.547542436E+00	303.04	3.056943568E+00	299.03	4.329930983E+00
300.02	2.271126141E+00	300.02	2.397178895E+00	300.03	2.609969201E+00	304.02	3.238041690E+00	300.05	4.447451318E+00
301.02	2.306449214E+00	301.02	2.382636327E+00	301.02	2.671370622E+00	305.04	3.342519793E+00	301.03	4.037795070E+00
302.03	2.372119187E+00	302.02	2.489925505E+00	302.02	2.773681392E+00	306.03	3.199097536E+00	302.05	4.223178122E+00
303.02	2.325507224E+00	303.03	2.376895708E+00	303.02	2.652511966E+00	307.03	3.363424937E+00	303.03	5.178600290E+00
304.02	2.389859403E+00	304.01	2.462305061E+00	304.06	2.905345798E+00	308.01	3.457469499E+00	304.02	3.660381176E+00
305.01	2.319202273E+00	305.02	2.470460298E+00	305.01	2.755552643E+00	309.03	3.229942211E+00	305.05	4.493576387E+00
306.02	2.305052454E+00	306.02	2.459245076E+00	306.03	2.826135326E+00	310.03	3.436888315E+00	306.03	7.000000000E+00
307.02	2.291641002E+00	307.03	2.585385213E+00	307.02	3.026420971E+00	311.03	3.470136565E+00	307.02	4.937309346E+00
308.02	2.287837439E+00	308.01	2.534373471E+00	308.01	2.819008705E+00	312.02	3.500493369E+00	308.04	4.733843273E+00
309.02	2.404419013E+00	309.03	2.600699550E+00	309.02	2.750242961E+00	313.02	2.991416693E+00	309.03	5.247285697E+00
310.02	2.325127364E+00	310.02	2.621994530E+00	310.01	3.061880409E+00	314.02	3.557866858E+00	310	5.256543305E+00
311.02	2.268109102E+00	311.03	2.511273124E+00	311.03	2.814048464E+00	315.03	2.913573573E+00	311.01	5.333423556E+00
312.02	2.360931795E+00	312.02	2.626698969E+00	312.01	2.864843623E+00	316.04	3.565077101E+00	312.02	5.057214508E+00
313.02	2.272735701E+00	313.02	2.574450426E+00	313.02	3.016261627E+00	317.03	3.201259153E+00	313.01	5.286316760E+00
