T	Rsh2_mA50.dat	T	Rsh2_mA100.dat	T	Rsh2_mA150.dat	T	Rsh2_mA200.dat	T	Rsh2_mA250.dat	
Tem	Rsh2	Tem	Rsh2	Tem	Rsh2	Tem	Rsh2	Tem	Rsh2
294.03	3.521679441E+03	294	3.592418772E+03	294.03	3.625590504E+03	297.98	2.713768989E+03	294.02	3.444909006E+03
295.03	3.308232368E+03	295.04	3.366413194E+03	295.01	3.386067614E+03	299.03	2.575914508E+03	295.03	3.069232600E+03
296.03	3.112301952E+03	296.04	3.202121285E+03	296.02	3.185610504E+03	300.05	2.459203721E+03	296	3.008915685E+03
297.01	2.941589040E+03	297.03	3.050138436E+03	297.03	3.052042906E+03	301.04	2.338560016E+03	297.02	2.832352321E+03
298.03	2.557615110E+03	298.02	2.820009271E+03	298.03	2.865691968E+03	302.03	2.303199183E+03	298.02	2.705950701E+02
299.03	2.627798649E+03	299.03	2.689493380E+03	299.03	2.697471302E+03	303.04	2.154076334E+03	299.03	2.529229918E+03
300.02	2.536446431E+03	300.02	2.573674290E+03	300.03	2.554486775E+03	304.02	2.038765969E+03	300.05	2.390490247E+03
301.02	2.410163828E+03	301.02	2.443517624E+03	301.02	2.436169046E+03	305.04	1.974184996E+03	301.03	2.255911201E+03
302.03	2.292954637E+03	302.02	2.319723701E+03	302.02	2.332744108E+03	306.03	1.911256219E+03	302.05	2.174274961E+03
303.02	2.228867020E+03	303.03	2.274952071E+03	303.02	2.281921765E+03	307.03	1.827743624E+03	303.03	1.943940089E+03
304.02	2.097559481E+03	304.01	2.153102644E+03	304.06	2.151288708E+03	308.01	1.743897430E+03	304.02	2.063149728E+03
305.01	2.051143358E+03	305.02	2.101046276E+03	305.01	2.077317191E+03	309.03	1.712361312E+03	305.05	1.738462773E+03
306.02	1.950202774E+03	306.02	1.996020705E+03	306.03	1.988630423E+03	310.03	1.625396453E+03	306.03	1.000000000E+02
307.02	1.894415269E+03	307.03	1.873787734E+03	307.02	1.888341610E+03	311.03	1.579132518E+03	307.02	1.762263656E+03
308.02	1.828909633E+03	308.01	1.834107906E+03	308.01	1.891783119E+03	312.02	1.537081589E+03	308.04	1.710355887E+03
309.02	1.716114111E+03	309.03	1.776806398E+03	309.02	1.813130475E+03	313.02	1.577941772E+03	309.03	1.594535231E+03
310.02	1.636698614E+03	310.02	1.710249905E+03	310.01	1.695531337E+03	314.02	1.428332779E+03	310	1.580535349E+03
311.02	1.638105995E+03	311.03	1.649029496E+03	311.03	1.708071529E+03	315.03	1.747810755E+03	311.01	1.488933905E+03
312.02	1.534843758E+03	312.02	1.583255705E+03	312.01	1.637028953E+03	316.04	1.353839315E+03	312.02	1.471821219E+03
313.02	1.510900208E+03	313.02	1.539391811E+03	313.02	1.568732569E+03	317.03	1.369734712E+03	313.01	1.386460857E+03
314.03	1.451343089E+03	314.04	1.467828253E+03	314.03	1.511108392E+03	318.02	1.264035070E+03	314.03	1.357520481E+03
315.02	1.410237995E+03	315.02	1.451381331E+03	315.02	1.528291753E+03	319.03	1.202118807E+03	315.05	1.265904911E+03
316.01	1.366873298E+03	316.04	1.371645551E+03	316.01	1.425096576E+03	320.03	1.199677840E+03	316.01	1.225414045E+03
317.02	1.298398091E+03	317.03	1.487107108E+03	317.04	1.328347020E+03	321.02	1.126749542E+03	317.02	1.195808352E+03
318.01	1.277618607E+03	318.03	1.361108939E+03	318.03	1.335460279E+03	322.01	1.110635958E+03	318.05	1.142919982E+03
319.01	1.283910771E+03	319.02	1.287322663E+03	319.04	1.271464723E+03	323.02	1.076553357E+03	319.03	1.126625711E+03
320	1.239196534E+03	320.02	1.225641654E+03	319.97	1.298696850E+03	324.03	9.996534924E+02	320.05	1.083509532E+03
321.02	1.199074393E+03	321.01	1.201640846E+03	321.03	1.187999970E+03	325.02	9.605311843E+02	321.01	8.302348225E+02
322.02	1.198969589E+03	322.03	1.118358385E+03	322.02	1.154015619E+03	326.02	9.704210614E+02	322.01	9.818055910E+02
323.02	1.170412149E+03	323.01	1.101203346E+03	323.06	1.172637180E+03	327.02	9.447783185E+02	323.02	1.004750719E+03
324.02	1.171929936E+03	324.04	1.081475781E+03	323.99	1.093334308E+03	328.01	8.605062275E+02	324.03	9.510569549E+02
325.01	1.065350281E+03	325.01	1.070603594E+03	325.01	1.073716098E+03	329.01	8.399124362E+02	325.01	9.079947981E+02
326.02	1.081399028E+03	326.03	1.030286752E+03	326.02	9.625631570E+02	330.01	8.344108012E+02	326.01	8.970832665E+02
327.03	1.351655594E+03	327.03	1.095363464E+03	327.02	9.414627182E+02	331.03	7.779355790E+02	327.01	8.142700109E+02
328.05	1.395669590E+03	328.04	1.178696661E+03	328.02	1.010368889E+03	332.03	7.570582532E+02	328.03	8.492269865E+02
329.05	2.712550281E+03	329.02	9.892948312E+02	329.03	9.351792496E+02	333.02	7.635924843E+02	329.01	8.085022654E+02
330.02	1.432327945E+03	330	8.537310737E+02	330.02	9.742742801E+02	334.03	7.107610133E+02	330.02	8.233352882E+02
331.01	1.824041180E+03	331.01	1.056609044E+03	331.03	8.787859432E+02	335.02	6.935444590E+02	331.02	7.607375889E+02
332.06	1.762250687E+03	332.04	1.186730578E+03	332.04	8.481492463E+02	336.02	6.871578821E+02	332.01	7.520177837E+02
333.04	1.536076839E+03	333.02	1.100476742E+03	333.01	8.416177402E+02	337.03	6.796261041E+02	333.04	6.889896635E+02
334.03	1.667582852E+03	334.05	1.069839329E+03	334	8.538798342E+02	338.03	6.871213371E+02	334.01	7.167429592E+02
335.04	1.313426600E+03	335	1.002333858E+03	335.03	7.502734310E+02	339.03	6.599564605E+02	335	6.976153017E+02
336	1.186626713E+03	336.03	1.134014932E+03	336.05	7.980784824E+02	340.02	6.781645345E+02	336.02	6.966075228E+02
338	1.061180526E+03	337.04	9.940047007E+02	336.99	7.101750602E+02	337.01	6.385725365E+02
339.05	1.027545292E+03	338.03	1.322378458E+03	293.06	1.000000000E+05	338	6.470659776E+02
340.03	4.493951687E+02	339.02	1.808273955E+03	339.01	6.382681365E+02
291.98	3.256263118E+03	340.04	1.692122139E+03	340.02	6.074603437E+02
290.92	1.000000000E+05	289.34	1.581440646E+04

