T	n2_mA50.dat	T	n2_mA100.dat	T	n2_mA150.dat	T	n2_mA200.dat	T	n2_mA250.dat	
Tem	n2	Tem	n2	Tem	n2	Tem	n2	Tem	n2
294.03	3.812750968E+00	294	4.542853997E+00	294.03	4.802226547E+00	297.98	4.408532182E+00	294.02	4.215395669E+00
295.03	3.671972892E+00	295.04	4.507471628E+00	295.01	4.653100339E+00	299.03	4.455729183E+00	295.03	3.547656864E+00
296.03	3.525451963E+00	296.04	4.656766148E+00	296.02	4.650592351E+00	300.05	4.466703548E+00	296	4.078128571E+00
297.01	3.438858429E+00	297.03	4.721175484E+00	297.03	4.793807328E+00	301.04	4.401077372E+00	297.02	4.130996088E+00
298.03	2.552151794E+00	298.02	4.285944466E+00	298.03	4.742838134E+00	302.03	5.475110521E+00	298.02	2.500000000E+00
299.03	3.124552187E+00	299.03	4.347386366E+00	299.03	4.639029727E+00	303.04	4.588351640E+00	299.03	3.989885646E+00
300.02	3.322364545E+00	300.02	4.387009940E+00	300.03	4.561230558E+00	304.02	4.383386312E+00	300.05	3.926443611E+00
301.02	3.305634174E+00	301.02	4.269982265E+00	301.02	4.580371205E+00	305.04	4.419253897E+00	301.03	4.159137551E+00
302.03	3.198771046E+00	302.02	4.062060059E+00	302.02	4.513164279E+00	306.03	4.579077405E+00	302.05	4.054424383E+00
303.02	3.386766991E+00	303.03	4.466263905E+00	303.02	4.797228748E+00	307.03	4.484037516E+00	303.03	3.283792116E+00
304.02	3.190567143E+00	304.01	4.229974641E+00	304.06	4.455977282E+00	308.01	4.418534619E+00	304.02	4.496908558E+00
305.01	3.454162318E+00	305.02	4.437666008E+00	305.01	4.650904086E+00	309.03	4.799891201E+00	305.05	3.724886998E+00
306.02	3.424144969E+00	306.02	4.345627443E+00	306.03	4.620492573E+00	310.03	4.581844357E+00	306.03	1.500000000E+01
307.02	3.560557423E+00	307.03	4.097026961E+00	307.02	4.420678551E+00	311.03	4.697565169E+00	307.02	3.955601536E+00
308.02	3.756645044E+00	308.01	4.367023088E+00	308.01	4.977097341E+00	312.02	4.756717678E+00	308.04	4.079028808E+00
309.02	3.370975602E+00	309.03	4.390954836E+00	309.02	5.098397447E+00	313.02	5.737150255E+00	309.03	3.703244439E+00
310.02	3.393093955E+00	310.02	4.455944051E+00	310.01	4.588046307E+00	314.02	4.782339955E+00	310	3.893290622E+00
311.02	3.968355654E+00	311.03	4.671476724E+00	311.03	5.336371906E+00	315.03	7.932297916E+00	311.01	3.779239095E+00
312.02	3.716231118E+00	312.02	4.446111258E+00	312.01	5.252116417E+00	316.04	5.081770371E+00	312.02	4.104890429E+00
313.02	4.083130175E+00	313.02	4.751976793E+00	313.02	5.106905085E+00	317.03	5.865918501E+00	313.01	3.900368336E+00
314.03	4.069840588E+00	314.04	4.697243366E+00	314.03	5.167504014E+00	318.02	5.276014543E+00	314.03	4.053782903E+00
315.02	4.259259668E+00	315.02	4.959834572E+00	315.02	5.792736401E+00	319.03	5.027434829E+00	315.05	3.680892149E+00
316.01	4.481355885E+00	316.04	4.756968726E+00	316.01	5.425456390E+00	320.03	5.441901884E+00	316.01	3.755793492E+00
317.02	4.222449753E+00	317.03	6.628905864E+00	317.04	5.274815393E+00	321.02	5.080039085E+00	317.02	3.816022274E+00
318.01	4.655570187E+00	318.03	5.764871061E+00	318.03	5.597802901E+00	322.01	5.387920644E+00	318.05	3.867598618E+00
319.01	5.333082918E+00	319.02	5.720830801E+00	319.04	5.539228384E+00	323.02	5.187405797E+00	319.03	3.984960080E+00
320	5.508297271E+00	320.02	5.382806985E+00	319.97	6.143353037E+00	324.03	4.842006745E+00	320.05	3.927017137E+00
321.02	5.683171158E+00	321.01	5.860239426E+00	321.03	5.576640101E+00	325.02	4.863278863E+00	321.01	2.500403820E+00
322.02	6.202066938E+00	322.03	5.266902098E+00	322.02	5.608809567E+00	326.02	5.285828377E+00	322.01	3.743072717E+00
323.02	6.526158627E+00	323.01	5.576628170E+00	323.06	6.288444460E+00	327.02	5.206140458E+00	323.02	4.333610457E+00
324.02	7.098522083E+00	324.04	5.575469691E+00	323.99	5.890948836E+00	328.01	4.667555883E+00	324.03	4.051973097E+00
325.01	6.226892538E+00	325.01	6.008066918E+00	325.01	6.010961335E+00	329.01	4.720002939E+00	325.01	3.978110599E+00
326.02	7.037393367E+00	326.03	6.093325863E+00	326.02	5.056665558E+00	330.01	4.939215253E+00	326.01	4.149879049E+00
327.03	1.074502114E+01	327.03	7.486658440E+00	327.02	5.384682496E+00	331.03	4.452335243E+00	327.01	3.628770849E+00
328.05	1.130038799E+01	328.04	8.772752422E+00	328.02	6.741398588E+00	332.03	4.477596998E+00	328.03	4.162248596E+00
329.05	1.500000000E+01	329.02	6.893140970E+00	329.03	6.013093985E+00	333.02	5.110757402E+00	329.01	4.065841992E+00
330.02	1.249791993E+01	330	5.233838484E+00	330.02	6.869290849E+00	334.03	4.539089896E+00	330.02	4.604578317E+00
331.01	1.500000000E+01	331.01	8.784292293E+00	331.03	5.974412218E+00	335.02	4.540416621E+00	331.02	4.058262309E+00
332.06	1.500000000E+01	332.04	1.022439307E+01	332.04	5.867775509E+00	336.02	4.652675350E+00	332.01	4.209190770E+00
333.04	1.500000000E+01	333.02	9.750317416E+00	333.01	6.099713368E+00	337.03	4.852835650E+00	333.04	3.716451785E+00
334.03	1.500000000E+01	334.05	9.662222352E+00	334	6.647183465E+00	338.03	5.269049122E+00	334.01	4.198069770E+00
335.04	1.500000000E+01	335	9.379672314E+00	335.03	5.471398544E+00	339.03	5.131109004E+00	335	4.206289310E+00
336	1.500000000E+01	336.03	1.088897037E+01	336.05	6.324519309E+00	340.02	5.603447297E+00	336.02	4.470064154E+00
338	1.500000000E+01	337.04	9.927656582E+00	336.99	5.345697521E+00	337.01	3.973694485E+00
339.05	1.500000000E+01	338.03	1.212379084E+01	293.06	6.300295324E+00	338	4.226977761E+00
340.03	3.555072326E+00	339.02	1.479720599E+01	339.01	4.160936288E+00
291.98	5.699002395E+00	340.04	1.500000000E+01	340.02	4.076336235E+00
290.92	6.693244904E+00	289.34	8.704142793E+00

