T	Rsh1_mA50.dat	T	Rsh1_mA100.dat	T	Rsh1_mA150.dat	T	Rsh1_mA200.dat	T	Rsh1_mA250.dat	
Tem	Rsh1	Tem	Rsh1	Tem	Rsh1	Tem	Rsh1	Tem	Rsh1
294.03	4.074905902E+04	294	1.407014457E+04	294.03	8.605976982E+03	297.98	7.237626848E+03	294.02	6.585131278E+03
295.03	3.950138366E+04	295.04	1.374731426E+04	295.01	8.966253883E+03	299.03	6.971035560E+03	295.03	1.739031281E+04
296.03	4.067492648E+04	296.04	1.447477957E+04	296.02	8.940148744E+03	300.05	7.350940253E+03	296	7.090181334E+03
297.01	4.065807539E+04	297.03	1.482406669E+04	297.03	9.124441702E+03	301.04	7.763627890E+03	297.02	7.011859601E+03
298.03	4.489318120E+04	298.02	1.495559128E+04	298.03	9.076425256E+03	302.03	4.944078121E+03	298.02	1.474112158E+03
299.03	4.420683600E+04	299.03	1.536687162E+04	299.03	9.361017785E+03	303.04	7.496885536E+03	299.03	8.575324061E+03
300.02	4.056830989E+04	300.02	1.602514157E+04	300.03	9.474486096E+03	304.02	7.549763390E+03	300.05	8.653687115E+03
301.02	4.206836694E+04	301.02	1.578884006E+04	301.02	9.743545107E+03	305.04	8.609068824E+03	301.03	6.735222456E+03
302.03	4.433931195E+04	302.02	1.684178146E+04	302.02	1.016549924E+04	306.03	7.991641771E+03	302.05	7.507776915E+03
303.02	4.367178698E+04	303.03	1.620658714E+04	303.02	9.867416313E+03	307.03	8.814866373E+03	303.03	1.236243903E+04
304.02	4.604468074E+04	304.01	1.654955361E+04	304.06	1.065916346E+04	308.01	9.177117234E+03	304.02	5.552219071E+03
305.01	4.470014746E+04	305.02	1.702598875E+04	305.01	1.035353202E+04	309.03	8.158003569E+03	305.05	8.998356599E+03
306.02	4.448689250E+04	306.02	1.682007992E+04	306.03	1.036936217E+04	310.03	9.286504947E+03	306.03	1.295167217E+03
307.02	4.550073532E+04	307.03	1.850890059E+04	307.02	1.134132191E+04	311.03	9.403443344E+03	307.02	1.314849434E+04
308.02	4.596141362E+04	308.01	1.820161810E+04	308.01	1.088198639E+04	312.02	9.388231918E+03	308.04	1.082261838E+04
309.02	4.952327065E+04	309.03	1.894646003E+04	309.02	1.057603094E+04	313.02	7.221871893E+03	309.03	1.546733857E+04
310.02	4.765058407E+04	310.02	1.926671190E+04	310.01	1.221688023E+04	314.02	9.989558949E+03	310	1.705550791E+04
311.02	4.780007373E+04	311.03	1.836016965E+04	311.03	1.099333864E+04	315.03	7.974573095E+03	311.01	1.932490107E+04
312.02	5.278299065E+04	312.02	1.963162612E+04	312.01	1.146562883E+04	316.04	1.016801061E+04	312.02	1.454100903E+04
313.02	4.870996654E+04	313.02	1.925255355E+04	313.02	1.244689536E+04	317.03	8.103548998E+03	313.01	1.888717022E+04
314.03	5.012083614E+04	314.04	2.004940691E+04	314.03	1.279483851E+04	318.02	1.037015163E+04	314.03	1.481629164E+04
315.02	4.969504322E+04	315.02	2.001112552E+04	315.02	1.251008707E+04	319.03	1.154067708E+04	315.05	3.646477961E+04
316.01	5.052144819E+04	316.04	2.090708424E+04	316.01	1.328980465E+04	320.03	1.102458559E+04	316.01	3.724339400E+04
317.02	5.794107997E+04	317.03	1.579971440E+04	317.04	1.337126312E+04	321.02	1.249353405E+04	317.02	3.716269788E+04
318.01	5.380764326E+04	318.03	1.919294492E+04	318.03	1.380188790E+04	322.01	1.205114398E+04	318.05	5.553172461E+04
319.01	5.345145051E+04	319.02	1.975331459E+04	319.04	1.345338125E+04	323.02	1.469813644E+04	319.03	4.990054899E+04
