T d154 d184 d214 d244
d 150 180 210 240
290 6.831936500E-02 6.809887300E-02 6.699324800E-02 6.762776400E-02
295 6.678902500E-02 6.655122900E-02 6.545594000E-02 6.545689200E-02
300 6.497742300E-02 6.474581400E-02 6.368172400E-02 6.410961700E-02
305 6.358944600E-02 6.329659400E-02 6.221076500E-02 6.263457900E-02
310 6.184862300E-02 6.160336600E-02 6.043536500E-02 6.093072000E-02
315 6.035386100E-02 6.016254000E-02 5.897087600E-02 5.947747500E-02
320 5.964842700E-02 5.951278800E-02 5.827325400E-02 5.876325100E-02
325 5.901574400E-02 5.898165300E-02 5.782274700E-02 5.835774500E-02
330 5.894926500E-02 5.841767000E-02 5.784085900E-02 5.818164400E-02
335 5.991130400E-02 5.933418900E-02 5.875702000E-02 5.926829000E-02
340 6.104214000E-02 6.042436400E-02 5.997609800E-02 6.051392600E-02
