N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.064442374E+00 1.064060655E+00 1.063628968E+00 1.063155262E+00
1.600000000E+01 1.174074944E+00 1.157215902E+00 1.140627196E+00 1.128497130E+00
1.700000000E+01 1.293888760E+00 1.287579456E+00 1.281799174E+00 1.277428488E+00
1.549996187E+01 1.012648963E+00 1.011946861E+00 1.011418034E+00 1.010984958E+00
1.649996187E+01 1.274205751E+00 1.268639928E+00 1.262704010E+00 1.257118146E+00
1.674996808E+01 1.288551133E+00 1.281862207E+00 1.277049397E+00 1.272170711E+00
1.624993176E+01 1.245943812E+00 1.236994289E+00 1.228571569E+00 1.219161121E+00
1.574996808E+01 1.008744314E+00 1.007926365E+00 1.007353148E+00 1.006894090E+00
1.524993176E+01 1.026374431E+00 1.025798289E+00 1.025297766E+00 1.024844442E+00
