fname T X01 X02 X03 X04 X05 A1 A2 A3 A4 A5 Sig1 Sig2 Sig3 Sig4 Sig5 Area1 Area2 Area3 Area4 Area5 Eps_ar1 Eps_ar2 Eps_ar3 Eps_ar4 Eps_ar5 ArTotal rmsre
d84b0VT292Nt 292.37 2.8308044E-1 2.9321803E-1 3.1512010E-1 3.3892708E-1 4.0203200E-1 1.2305623E+13 2.7327359E+13 1.0916395E+14 5.8278624E+13 7.4760644E+12 5.9923839E-3 1.0700609E-2 2.0197913E-2 2.5916365E-2 1.2151418E-2 1.1767185E+13 2.6550201E+13 1.0718082E+14 5.7759695E+13 5.3122170E+12 5.6418362E-2 1.2729628E-1 5.1388388E-1 2.7693178E-1 2.5469693E-2 2.0857012E+14 1.4533438E-2
d84b0VT217Nt 217.24 2.1146209E-1 2.2545786E-1 2.4361537E-1 2.8798020E-1 2.9835094E-1 4.3351623E+12 1.4422831E+13 4.1266924E+12 2.3808988E+14 1.4205970E+14 5.4841806E-3 1.0253032E-2 7.6629011E-3 2.8196875E-2 1.3885944E-2 4.0938721E+12 1.4230709E+13 4.1266922E+12 2.2157672E+14 1.4044894E+14 1.0647900E-2 3.7013166E-2 1.0733264E-2 5.7630692E-1 3.6529875E-1 3.8447693E+14 1.5901983E-2
d84b0VT217Nt 217.24 2.1349127E-1 2.3222147E-1 2.8797978E-1 2.9191144E-1 2.9946599E-1 5.2923300E+12 2.5262611E+13 2.3099661E+14 2.2785726E+12 1.3463613E+14 6.6965979E-3 1.5127524E-2 2.5572734E-2 4.8246318E-3 1.4065397E-2 5.0064174E+12 2.4615508E+13 2.0640781E+14 2.2785726E+12 1.2478093E+14 1.3788394E-2 6.7794651E-2 5.6847681E-1 6.2755168E-3 3.4366463E-1 3.6308924E+14 3.9492674E-2
d84b0VT213Nt 212.99 2.0841992E-1 2.2637372E-1 2.5852660E-1 2.9163206E-1 3.1450439E-1 4.0769922E+12 2.9246834E+13 6.1646174E+13 2.9038117E+14 4.9027482E+12 5.6681959E-3 1.4135306E-2 1.5349975E-2 1.5907022E-2 4.1861170E-3 3.8966792E+12 2.8504162E+13 6.1642734E+13 2.8556892E+14 4.8818964E+12 1.0134554E-2 7.4134145E-2 1.6032154E-1 7.4271283E-1 1.2696925E-2 3.8449439E+14 3.1048336E-2
d84b0VT217Nt 217.24 2.1505589E-1 2.4503154E-1 2.6747821E-1 2.9643365E-1 3.0810305E-1 8.0811068E+12 5.2998964E+13 2.1229432E+13 2.5297894E+14 7.1631301E+13 8.2273733E-3 1.8606336E-2 1.0488230E-2 1.5890126E-2 3.0400195E-2 7.5393443E+12 5.2389536E+13 2.1229432E+13 2.4979855E+14 5.6156563E+13 1.9475801E-2 1.3533381E-1 5.4840339E-2 6.4528517E-1 1.4506488E-1 3.8711343E+14 5.0961020E-2
d84b0VT217Nt 217.24 2.1242025E-1 2.2452884E-1 2.6991442E-1 2.8289668E-1 2.9772060E-1 2.8506973E+12 6.9462883E+12 1.8352538E+12 2.0690167E+14 1.8810265E+14 4.7812272E-3 9.8379362E-3 4.8461943E-3 3.4066921E-2 1.4871767E-2 2.7898600E+12 6.8535447E+12 1.8352538E+12 1.8952527E+14 1.8611709E+14 7.2066868E-3 1.7703882E-2 4.7407754E-3 4.8957629E-1 4.8077237E-1 3.8712102E+14 4.0238535E-2
d84b0VT2453Nt 245.14 2.3694901E-1 2.4898063E-1 2.6934426E-1 3.0250973E-1 4.7497098E-1 6.9547786E+12 3.3867316E+13 2.5583117E+13 2.6979371E+14 1.3792887E+16 5.1922444E-3 1.0285297E-2 1.0704847E-2 2.1706811E-2 3.2358068E-2 6.5547797E+12 3.3031301E+13 2.5581195E+13 2.6840168E+14 2.2517451E+12 1.9518688E-2 9.8359932E-2 7.6175157E-2 7.9924102E-1 6.7052002E-3 3.3582070E+14 1.2325206E-2
d84b0VT2452Nt 245.22 2.3595110E-1 2.4419287E-1 2.6367926E-1 3.0240767E-1 3.4043905E-1 4.4268130E+12 2.1999876E+13 4.0005322E+13 2.6812884E+14 3.2514996E+12 4.2676108E-3 8.4951150E-3 1.2370235E-2 2.1223511E-2 6.3935304E-3 4.2150131E+12 2.1221788E+13 3.9908153E+13 2.6628867E+14 3.2146115E+12 1.2587831E-2 6.3377332E-2 1.1918281E-1 7.9525183E-1 9.6002043E-3 3.3484824E+14 1.0165805E-1
d84b0VT2452Nt 245.22 2.4051945E-1 2.6412761E-1 3.0305033E-1 3.2924207E-1 3.4371882E-1 1.5993077E+13 7.4499664E+13 2.2989084E+14 1.1920201E+13 5.4367305E+12 7.6225964E-3 1.6419917E-2 1.8572825E-2 9.6076100E-3 6.0580491E-3 1.4989561E+13 7.3321369E+13 2.2929142E+14 1.1876552E+13 5.2670918E+12 4.4778910E-2 2.1903584E-1 6.8497136E-1 3.5479297E-2 1.5734592E-2 3.3474600E+14 5.2341422E-2
d84b0VT245Nt 245.14 2.3685012E-1 2.4749671E-1 2.6742163E-1 3.0324688E-1 3.5331664E-1 8.1399035E+12 2.3725262E+13 4.6308432E+13 2.5566569E+14 8.6628445E+12 5.1854975E-3 9.5850506E-3 1.3929366E-2 2.0609667E-2 9.1193803E-3 7.6555639E+12 2.3124021E+13 4.6180660E+13 2.5474939E+14 6.3411416E+12 2.2646195E-2 6.8403987E-2 1.3660865E-1 7.5358321E-1 1.8757956E-2 3.3805078E+14 2.1238311E-2
