Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.137089567E+00 1.165245637E+00 -2.815607000E-02 1.130167162E+00 1.154179164E+00 -2.401200200E-02
1.468000E+10 1.137285503E+00 1.165285711E+00 -2.800020800E-02 1.132476082E+00 1.157570754E+00 -2.509467200E-02
2.154000E+10 1.137570899E+00 1.165342857E+00 -2.777195800E-02 1.134242473E+00 1.159998820E+00 -2.575634700E-02
3.162000E+10 1.137983599E+00 1.165427263E+00 -2.744366400E-02 1.135684138E+00 1.161741285E+00 -2.605714700E-02
4.642000E+10 1.138577313E+00 1.165549598E+00 -2.697228500E-02 1.136988598E+00 1.163013781E+00 -2.602518300E-02
6.813000E+10 1.139424376E+00 1.165727602E+00 -2.630322600E-02 1.138324552E+00 1.163985222E+00 -2.566067000E-02
1.000000E+11 1.141215788E+00 1.165983205E+00 -2.476741700E-02 1.140291227E+00 1.164786017E+00 -2.449479000E-02
1.468000E+11 1.143472452E+00 1.166349177E+00 -2.287672500E-02 1.143001927E+00 1.165525803E+00 -2.252387600E-02
2.154000E+11 1.145023354E+00 1.166864231E+00 -2.184087700E-02 1.144694899E+00 1.166296697E+00 -2.160179800E-02
3.162000E+11 1.145941959E+00 1.167578151E+00 -2.163619200E-02 1.145743249E+00 1.167185646E+00 -2.144239700E-02
4.642000E+11 1.146816329E+00 1.168545119E+00 -2.172879000E-02 1.146679460E+00 1.168272494E+00 -2.159303400E-02
6.813000E+11 1.153927184E+00 1.169812767E+00 -1.588558300E-02 1.153775122E+00 1.169622263E+00 -1.584714100E-02
1.000000E+12 1.162300576E+00 1.171409213E+00 -9.108637000E-03 1.162132464E+00 1.171275225E+00 -9.142761000E-03
1.468000E+12 1.168009733E+00 1.173320270E+00 -5.310537000E-03 1.167943812E+00 1.173225421E+00 -5.281609000E-03
2.154000E+12 1.171103226E+00 1.175390116E+00 -4.286890000E-03 1.171037774E+00 1.175323151E+00 -4.285377000E-03
3.162000E+12 1.178141107E+00 1.177433958E+00 7.071490000E-04 1.178084220E+00 1.177385903E+00 6.983170000E-04
4.642000E+12 1.182317919E+00 1.179403203E+00 2.914716000E-03 1.182291532E+00 1.179368642E+00 2.922890000E-03
6.813000E+12 1.184128305E+00 1.181228515E+00 2.899790000E-03 1.184109629E+00 1.181203679E+00 2.905950000E-03
1.000000E+13 1.189810593E+00 1.183411033E+00 6.399560000E-03 1.189738146E+00 1.183393043E+00 6.345103000E-03
