f G/w
1.0000000E+6 3.7229949E-5
8.9779585E+5 3.9369019E-5
8.0603739E+5 4.1592142E-5
7.2365703E+5 4.3921338E-5
6.4969628E+5 4.6388816E-5
5.8329463E+5 4.9038437E-5
5.2367949E+5 5.1850215E-5
4.7015728E+5 5.4863232E-5
4.2210526E+5 5.8132117E-5
3.7896435E+5 6.1614016E-5
3.4023262E+5 6.5347688E-5
3.0545943E+5 6.9408413E-5
2.7424021E+5 7.3846661E-5
2.4621173E+5 7.8634655E-5
2.2104787E+5 8.3886491E-5
1.9845586E+5 8.9625633E-5
1.7817285E+5 9.5939260E-5
1.5996284E+5 1.0293946E-4
1.4361398E+5 1.1065733E-4
1.2893603E+5 1.1906828E-4
1.1575824E+5 1.2845605E-4
1.0392726E+5 1.3888535E-4
9.3305466E+4 1.5045203E-4
8.3769261E+4 1.6324371E-4
7.5207695E+4 1.7748193E-4
6.7521156E+4 1.9333977E-4
6.0620214E+4 2.1105765E-4
5.4424577E+4 2.3085176E-4
4.8862159E+4 2.5298416E-4
4.3868244E+4 2.7757752E-4
3.9384728E+4 3.0523531E-4
3.5359445E+4 3.3595303E-4
3.1745563E+4 3.7039404E-4
2.8501035E+4 4.0828182E-4
2.5588111E+4 4.5101998E-4
2.2972900E+4 4.9838699E-4
2.0624974E+4 5.5196419E-4
1.8517016E+4 6.1129816E-4
1.6624501E+4 6.7746674E-4
1.4925408E+4 7.5141117E-4
1.3399969E+4 8.3342748E-4
1.2030437E+4 9.2612553E-4
1.0800876E+4 1.0280183E-3
9.6969820E+3 1.1404730E-3
8.7059100E+3 1.2672565E-3
7.8161300E+3 1.4083295E-3
7.0172890E+3 1.5650234E-3
6.3000930E+3 1.7405736E-3
5.6561970E+3 1.9352297E-3
5.0781110E+3 2.1510207E-3
4.5591070E+3 2.3946805E-3
4.0931470E+3 2.6634263E-3
3.6748100E+3 2.9652424E-3
3.2992300E+3 3.2974631E-3
2.9620350E+3 3.6687951E-3
2.6593020E+3 4.0850117E-3
2.3875110E+3 4.5447554E-3
2.1434970E+3 5.0563352E-3
1.9244230E+3 5.6287445E-3
1.7277390E+3 6.2662601E-3
1.5511570E+3 6.9721483E-3
1.3926220E+3 7.7599857E-3
1.2502900E+3 8.6362476E-3
1.1225050E+3 9.6129630E-3
1.0077810E+3 1.0700758E-2
9.0478100E+2 1.1918812E-2
8.1230900E+2 1.3272496E-2
7.2928800E+2 1.4766830E-2
6.5475100E+2 1.6440435E-2
5.8783300E+2 1.8329678E-2
5.2775400E+2 2.0406660E-2
4.7381500E+2 2.2727735E-2
4.2539000E+2 2.5331697E-2
3.8191300E+2 2.8174897E-2
3.4288000E+2 3.1359391E-2
3.0783600E+2 3.4915207E-2
2.7637400E+2 3.8858421E-2
2.4812700E+2 4.3246179E-2
2.2276800E+2 4.8108658E-2
2.0000000E+2 5.3658559E-2
