N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 8.592000000E-03 1.015308600E-02 1.077743500E-02 1.086338700E-02
1.600000000E+01 3.177913000E-02 3.176442300E-02 3.168011200E-02 3.097937800E-02
1.700000000E+01 7.011674000E-02 7.001739800E-02 6.897748300E-02 6.961948800E-02
1.549996187E+01 2.331289600E-02 2.263127300E-02 2.349201700E-02 2.362770700E-02
1.649996187E+01 5.586290900E-02 5.563428000E-02 5.596955500E-02 5.593914600E-02
1.674996808E+01 6.532117500E-02 6.401890500E-02 6.474452700E-02 6.504835000E-02
1.624993176E+01 4.271406700E-02 4.294110700E-02 4.295584600E-02 4.290722600E-02
1.574996808E+01 2.620416300E-02 2.631252400E-02 2.559938300E-02 2.602331300E-02
1.524993176E+01 1.702640700E-02 1.721267000E-02 1.781027400E-02 1.796641000E-02
