T d154 d184 d214 d244
d 150 180 210 240
290 5.873731000E-03 4.879045000E-03 4.197972000E-03 3.722302000E-03
295 5.490644000E-03 4.644221000E-03 4.069140000E-03 3.669541000E-03
300 5.423173000E-03 4.687039000E-03 4.253042000E-03 3.854233000E-03
305 5.535908000E-03 4.907469000E-03 4.629040000E-03 4.200225000E-03
310 5.850451000E-03 5.310808000E-03 4.962281000E-03 4.941509000E-03
315 6.309362000E-03 5.861353000E-03 5.560905000E-03 6.093673000E-03
320 7.052582000E-03 6.662462000E-03 6.392285000E-03 6.197737000E-03
325 7.985668000E-03 7.616435000E-03 7.348980000E-03 7.143628000E-03
330 8.972320000E-03 8.587202000E-03 8.285952000E-03 8.025665000E-03
335 9.944532000E-03 9.433401000E-03 9.047746000E-03 8.687842000E-03
340 1.065078600E-02 9.624482000E-03 9.029547000E-03 8.486017000E-03
