N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+15 325 2.100E-4 1.005254113E+00 1.005895691E+00
1.468000E+10 1.000E+15 325 2.100E-4 1.005434764E+00 1.005890484E+00
2.154000E+10 1.000E+15 325 2.100E-4 1.005563199E+00 1.005882906E+00
3.162000E+10 1.000E+15 325 2.100E-4 1.005649659E+00 1.005871924E+00
4.642000E+10 1.000E+15 325 2.100E-4 1.005702587E+00 1.005856101E+00
6.813000E+10 1.000E+15 325 2.100E-4 1.005727972E+00 1.005833504E+00
1.000000E+11 1.000E+15 325 2.100E-4 1.005729347E+00 1.005801648E+00
1.468000E+11 1.000E+15 325 2.100E-4 1.005708180E+00 1.005757594E+00
2.154000E+11 1.000E+15 325 2.100E-4 1.005664683E+00 1.005698399E+00
3.162000E+11 1.000E+15 325 2.100E-4 1.005599268E+00 1.005622257E+00
4.642000E+11 1.000E+15 325 2.100E-4 1.005515092E+00 1.005530781E+00
6.813000E+11 1.000E+15 325 2.100E-4 1.005421980E+00 1.005432727E+00
1.000000E+12 1.000E+15 325 2.100E-4 1.005341210E+00 1.005348638E+00
1.468000E+12 1.000E+15 325 2.100E-4 1.005309207E+00 1.005314434E+00
2.154000E+12 1.000E+15 325 2.100E-4 1.005376106E+00 1.005379898E+00
3.162000E+12 1.000E+15 325 2.100E-4 1.005596810E+00 1.005599687E+00
4.642000E+12 1.000E+15 325 2.100E-4 1.006017480E+00 1.006019783E+00
6.813000E+12 1.000E+15 325 2.100E-4 1.006666491E+00 1.006668439E+00
1.000000E+13 1.000E+15 325 2.100E-4 1.007556962E+00 1.007558684E+00
