N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.187216898E+00 1.169915682E+00 1.132613216E+00 1.060799537E+00 1.012864301E+00 1.013816384E+00 1.016637480E+00 1.021947436E+00 1.030494713E+00 1.042974223E+00 1.059771900E+00
1.600000000E+01 1.233472528E+00 1.235864506E+00 1.238073702E+00 1.239209351E+00 1.239726352E+00 1.238429666E+00 1.234013423E+00 1.224762997E+00 1.206279320E+00 1.176728612E+00 1.129001675E+00
1.700000000E+01 1.254976024E+00 1.257309094E+00 1.258613077E+00 1.258773038E+00 1.257464154E+00 1.254317601E+00 1.249150543E+00 1.241927826E+00 1.232434598E+00 1.221023455E+00 1.208055686E+00
1.549996187E+01 1.217048961E+00 1.217542690E+00 1.216324675E+00 1.211136955E+00 1.198575429E+00 1.172319942E+00 1.123482592E+00 1.041937429E+00 1.008156884E+00 1.008767728E+00 1.010294628E+00
1.649996187E+01 1.245236249E+00 1.248123023E+00 1.250841986E+00 1.252842028E+00 1.254063031E+00 1.254146698E+00 1.252797432E+00 1.249652678E+00 1.244501175E+00 1.236707208E+00 1.225878013E+00
1.674996808E+01 1.250104620E+00 1.252941909E+00 1.255256072E+00 1.256756018E+00 1.257078409E+00 1.255990528E+00 1.253265217E+00 1.248615121E+00 1.242104010E+00 1.233435560E+00 1.222686617E+00
1.624993176E+01 1.239873429E+00 1.242496412E+00 1.245000279E+00 1.247158940E+00 1.248641176E+00 1.248746551E+00 1.247315321E+00 1.243452143E+00 1.236390584E+00 1.224633021E+00 1.205913365E+00
1.574996808E+01 1.225148327E+00 1.227041227E+00 1.228309853E+00 1.228328185E+00 1.225828556E+00 1.218701412E+00 1.203622291E+00 1.174890355E+00 1.124871784E+00 1.046010712E+00 1.006222006E+00
1.524993176E+01 1.206179953E+00 1.202515929E+00 1.192814975E+00 1.170721992E+00 1.126311776E+00 1.046959683E+00 1.010350822E+00 1.011183305E+00 1.013366343E+00 1.017321881E+00 1.023568336E+00
