name MSE R2 MAPE MedAPE p01 p10
ExFRf94A 18.08 0.94642 30.12 23.43 0 12.5
ExFGb94A 14.29 0.93732 25.79 12.51 0 12.5
ExFSv94A 724.70 -3.15430 84.31 55.43 0 0
ExFXg94A 6.48 0.94628 13.22 7.213 0 75
ExF94A 422.30 0.27233 80.54 87.54 0 0
ExFRf94Ap 286.10 0.56911 58.22 59.49 0 12.5
ExFGb94Ap 269.60 0.58879 56.93 61.14 0 12.5
ExFSv94Ap 303.20 0.90820 57.16 56.33 0 0
ExFXg94Ap 324.10 0.39229 61.76 51.33 0 12.5
ExF94Ap 105.00 0.46021 67.28 45.42 0 0
Ex2FRf94IEV 25.58 0.92737 37.65 28.62 25 25
Ex2FGb94IEV 23.60 0.88661 38.12 35.66 0 25
Ex2FSv94IEV 326.70 0.67856 157.9 55.15 0 0
Ex2FXg94IEV 7.38 0.90798 15.72 7.388 0 50
Ex2F94IEV 194.60 -3.12620 253.1 14.78 0 12.5
Ex2FRf94IEVp 146.10 0.85835 51.33 43.33 0 0
Ex2FGb94IEVp 169.40 0.91089 51.93 56.04 0 0
Ex2FSv94IEVp 252.00 0.96643 52.57 65.17 0 37.5
Ex2FXg94IEVp 169.20 0.93560 51.88 58.24 0 12.5
Ex2F94IEVp 153.90 0.83098 54.91 54.44 0 0
Ex2FRf94IE 13.92 0.81166 22.7 19.14 0 25
Ex2FGb94IE 14.21 0.87299 25.43 18.75 0 25
Ex2FSv94IE 114.10 0.80634 72.63 44.29 0 0
Ex2FXg94IE 6.37 0.91105 15.88 11.27 0 37.5
Ex2F94IE 16.01 0.96622 25 14.14 0 0
Ex2FRf94IEp 35.30 0.86661 34.31 24.13 0 12.5
Ex2FGb94IEp 34.82 0.91686 34.55 15.97 0 25
Ex2FSv94IEp 49.34 0.85521 35.27 29.41 0 12.5
Ex2FXg94IEp 29.87 0.90283 34.46 20.92 0 12.5
Ex2F94IEp 27.88 0.96368 28.96 20.68 0 25
Ex2FRf94I 4.69 0.98056 14.74 13.72 0 37.5
Ex2FGb94I 4.48 0.97783 13.88 12.31 0 25
Ex2FSv94I 21.73 0.90549 29.53 26 0 12.5
Ex2FXg94I 3.43 0.99078 12.56 10.45 0 37.5
Ex2F94I 2.56 0.98735 9.964 6.779 12.5 62.5
Ex2FRf94Ip 6.63 0.93008 18.02 19.73 12.5 25
Ex2FGb94Ip 5.40 0.92098 17.58 14.48 0 25
Ex2FSv94Ip 18.87 0.93617 27.32 21.65 0 12.5
Ex2FXg94Ip 5.23 0.94632 17.26 14.34 0 12.5
Ex2F94Ip 4.74 0.98709 12.74 7.498 0 50
