N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 -1.523063360E-01 -1.431453760E-01 -1.339945270E-01 -1.250716330E-01
1.016672606E+01 -1.524040320E-01 -1.433082080E-01 -1.342428620E-01 -1.254270770E-01
1.033324570E+01 -1.525833940E-01 -1.435455620E-01 -1.346040750E-01 -1.259427840E-01
1.049996187E+01 -1.527869270E-01 -1.438904270E-01 -1.351272220E-01 -1.266870070E-01
1.066670514E+01 -1.530827210E-01 -1.443891750E-01 -1.358802410E-01 -1.277526990E-01
1.083333839E+01 -1.535093260E-01 -1.451055560E-01 -1.369545790E-01 -1.292616170E-01
1.100000000E+01 -1.541212630E-01 -1.461244060E-01 -1.384676830E-01 -1.313639160E-01
1.116672606E+01 -1.550095530E-01 -1.475529130E-01 -1.405598100E-01 -1.342263570E-01
1.133324570E+01 -1.562327230E-01 -1.495153940E-01 -1.433778710E-01 -1.380000370E-01
1.149996187E+01 -1.579319900E-01 -1.521347080E-01 -1.470375500E-01 -1.427586070E-01
1.166670514E+01 -1.601622170E-01 -1.554930020E-01 -1.515581940E-01 -1.484107430E-01
1.183333839E+01 -1.630288930E-01 -1.595685570E-01 -1.567814180E-01 -1.546216440E-01
1.200000000E+01 -1.664659090E-01 -1.641652210E-01 -1.623173110E-01 -1.608151030E-01
1.216672606E+01 -1.609205790E-01 -1.478508240E-01 -1.375776690E-01 -1.307350230E-01
1.233324570E+01 -1.284879970E-01 -1.173296470E-01 -1.105037950E-01 -1.070724920E-01
1.249996187E+01 -1.011097750E-01 -9.377338900E-02 -9.042883800E-02 -8.950711500E-02
1.266670514E+01 -8.035436700E-02 -7.662212600E-02 -7.560906300E-02 -7.602838600E-02
1.283333839E+01 -6.547671900E-02 -6.405646300E-02 -6.421437400E-02 -6.520502700E-02
1.300000000E+01 -5.475355000E-02 -5.446804300E-02 -5.510685400E-02 -5.631557000E-02
