fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
0L10 27730 296.08 39.159 1.127895182E+00 5.903826367E+00 1.823753750E-10 4.043451840E+05 1.557500599E-04 3.942251099E-01 1.556623332E-04 7.447466603E-01 4.570212386E-05 3.210268677E-01 1.423611473E-04 3.139594778E-02 
0L11 27882 296.07 39.16 1.078424641E+00 6.137017361E+00 8.745455180E-11 7.639570358E+04 1.563002869E-04 3.942537918E-01 1.551871068E-04 7.447711274E-01 4.556741031E-05 3.213758511E-01 1.417850606E-04 5.798191328E-02 
0L12 28034 296.04 39.164 1.076607592E+00 6.099730432E+00 8.382422209E-11 5.037301491E+04 1.568702986E-04 3.943806114E-01 1.550973331E-04 7.457983421E-01 4.561853139E-05 3.211201591E-01 1.420604752E-04 5.920375514E-02 
0L13 28980 300.05 38.641 1.116328554E+00 5.471527470E+00 2.824067101E-10 2.663226994E+05 1.569230454E-04 3.820995552E-01 1.567829363E-04 7.381939509E-01 4.422275633E-05 3.095719608E-01 1.428594294E-04 2.547812901E-02 
0L14 29714 300.01 38.646 1.061897508E+00 6.155317756E+00 1.230677021E-10 4.397565260E+04 1.589556182E-04 3.826143188E-01 1.568546297E-04 7.387693881E-01 4.433711725E-05 3.100236147E-01 1.430033155E-04 1.220162659E-01 
0L15 29862 300.05 38.641 1.062173622E+00 6.278917571E+00 1.250698219E-10 4.742024956E+04 1.584921584E-04 3.824168083E-01 1.565239242E-04 7.403897356E-01 4.431778941E-05 3.102419018E-01 1.428499577E-04 1.236969968E-01 
0L16 30010 300.06 38.64 1.087040245E+00 6.127929274E+00 1.797437968E-10 6.407741911E+04 1.579540454E-04 3.825226418E-01 1.565239207E-04 7.396979421E-01 4.428863291E-05 3.098726784E-01 1.429162319E-04 7.238379368E-02 
0L17 30976 304.06 38.131 9.376107422E-01 7.807554079E+00 2.638059042E-11 1.310616682E+04 1.660160101E-04 3.725107330E-01 1.587806550E-04 7.323788794E-01 4.331837844E-05 3.003830807E-01 1.442092222E-04 1.721333734E-01 
0L18 31138 304.02 38.136 1.117993942E+00 4.990403463E+00 4.683232417E-10 1.565474453E+05 1.588490756E-04 3.728255722E-01 1.580897581E-04 7.327412269E-01 4.318769796E-05 3.007528980E-01 1.435994889E-04 1.634830584E-02 
0L19 31320 304.06 38.131 3.180540182E+00 3.226724884E-01 8.653900157E-06 6.257513719E+19 2.446305798E-04 3.726546356E-01 1.581974966E-04 7.295555625E-01 4.300951130E-05 2.998990110E-01 1.434152964E-04 2.578998891E+00 
