fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_310 001_310.dat 310 37.401 1.000000000E+00 0.000000000E+00 3.840783371E-15 1.000000000E+20 1.259896453E+00 6.077643734E-16 1.821755862E-04 
001_310_SRH 001_310_srh.dat 310 37.401 1.000000000E+00 0.000000000E+00 3.672897859E-16 1.000000000E+20 1.316078809E+00 5.727693708E-16 1.767809684E-03 
002_310 002_310.dat 310 37.401 1.000000000E+00 0.000000000E+00 3.996343902E-15 1.000000000E+20 1.272033596E+00 8.707700519E-16 2.690031775E-04 
002_310_SRH 002_310_srh.dat 310 37.401 1.000000000E+00 0.000000000E+00 5.361715918E-16 1.000000000E+20 1.316191941E+00 8.407479205E-16 1.775394998E-03 
003_310 003_310.dat 310 37.401 1.000000000E+00 0.000000000E+00 4.221547957E-15 1.000000000E+20 1.281493299E+00 1.258121496E-15 3.824487082E-04 
003_310_SRH 003_310_srh.dat 310 37.401 1.000000000E+00 0.000000000E+00 7.807657334E-16 1.000000000E+20 1.316356652E+00 1.234130214E-15 1.786469781E-03 
004_310 004_310.dat 310 37.401 1.000000000E+00 0.000000000E+00 4.546017281E-15 1.000000000E+20 1.288985698E+00 1.828281560E-15 5.241522463E-04 
004_310_SRH 004_310_srh.dat 310 37.401 1.000000000E+00 0.000000000E+00 1.132896899E-15 1.000000000E+20 1.316595707E+00 1.811631400E-15 1.802599819E-03 
005_310 005_310.dat 310 37.401 1.000000000E+00 0.000000000E+00 5.009837380E-15 1.000000000E+20 1.295096188E+00 2.667369538E-15 6.926814837E-04 
005_310_SRH 005_310_srh.dat 310 37.401 1.000000000E+00 0.000000000E+00 1.635540936E-15 1.000000000E+20 1.316940925E+00 2.659494661E-15 1.826009545E-03 
006_310 006_310.dat 310 37.401 1.000000000E+00 0.000000000E+00 5.665207350E-15 1.000000000E+20 1.300251867E+00 3.902121043E-15 8.833784508E-04 
006_310_SRH 006_310_srh.dat 310 37.401 1.000000000E+00 0.000000000E+00 2.344515797E-15 1.000000000E+20 1.317435968E+00 3.904442532E-15 1.859812034E-03 
