Ew Nt
4.4720501E-1 -4.4488785E+14
4.4448409E-1 -4.0768851E+14
4.4176316E-1 -2.5618905E+14
4.3904222E-1 -7.1306267E+13
4.3632128E-1 7.4028926E+13
4.3360035E-1 1.4858355E+14
4.3087942E-1 1.6516129E+14
4.2815849E-1 1.5632122E+14
4.2543756E-1 1.4636682E+14
4.2271663E-1 1.3995247E+14
4.1999569E-1 1.2970717E+14
4.1727476E-1 1.0984299E+14
4.1455383E-1 8.2208362E+13
4.1183290E-1 5.2653681E+13
4.0911197E-1 2.5517444E+13
4.0639103E-1 2.9831069E+12
4.0367011E-1 -1.2143560E+13
4.0094917E-1 -1.5676624E+13
3.9822824E-1 -4.7962508E+12
3.9550731E-1 1.9071021E+13
3.9278638E-1 5.0303326E+13
3.9006544E-1 8.1734718E+13
3.8734451E-1 1.0769731E+14
3.8462358E-1 1.2574810E+14
3.8190265E-1 1.3657112E+14
3.7918172E-1 1.4255658E+14
3.7646078E-1 1.4627302E+14
3.7373985E-1 1.4993403E+14
3.7101892E-1 1.5580881E+14
3.6829799E-1 1.6647119E+14
3.6557706E-1 1.8408546E+14
3.6285612E-1 2.0918610E+14
3.6013519E-1 2.4012848E+14
3.5741426E-1 2.7387915E+14
3.5469333E-1 3.0770347E+14
3.5197240E-1 3.4060213E+14
3.4925147E-1 3.7356774E+14
3.4653053E-1 4.0864522E+14
3.4380960E-1 4.4761635E+14
3.4108867E-1 4.9125410E+14
3.3836774E-1 5.3952935E+14
3.3564681E-1 5.9241218E+14
3.3292587E-1 6.5049180E+14
3.3020494E-1 7.1480825E+14
3.2748401E-1 7.8597975E+14
3.2476308E-1 8.6335853E+14
3.2204215E-1 9.4494091E+14
3.1932121E-1 1.0280380E+15
3.1660028E-1 1.1100479E+15
3.1387935E-1 1.1887232E+15
3.1115842E-1 1.2619377E+15
3.0843749E-1 1.3274432E+15
3.0571656E-1 1.3829794E+15
3.0299562E-1 1.4266522E+15
3.0027469E-1 1.4572249E+15
2.9755376E-1 1.4740649E+15
2.9483283E-1 1.4766815E+15
2.9211190E-1 1.4637505E+15
2.8939096E-1 1.4314185E+15
2.8667003E-1 1.3710741E+15
2.8394910E-1 1.2679330E+15
2.8122817E-1 1.1029816E+15
2.7850724E-1 8.6022556E+14
2.7578630E-1 5.3762114E+14
2.7306537E-1 3.5315826E+14
