N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 5.623E+15 315 3.800E-4 3.814084E+1 1.778180E+1 5.759280E-1 8.095000E+1
1.468000E+10 5.623E+15 315 3.800E-4 3.809923E+1 1.774640E+1 5.757960E-1 8.089550E+1
2.154000E+10 5.623E+15 315 3.800E-4 3.803909E+1 1.769520E+1 5.756020E-1 8.081710E+1
3.162000E+10 5.623E+15 315 3.800E-4 3.795275E+1 1.762190E+1 5.753150E-1 8.070540E+1
4.642000E+10 5.623E+15 315 3.800E-4 3.783008E+1 1.751790E+1 5.748930E-1 8.054840E+1
6.813000E+10 5.623E+15 315 3.800E-4 3.765834E+1 1.737280E+1 5.742690E-1 8.033280E+1
1.000000E+11 5.623E+15 315 3.800E-4 3.742297E+1 1.717500E+1 5.733440E-1 8.004650E+1
1.468000E+11 5.623E+15 315 3.800E-4 3.710980E+1 1.690890E+1 5.719660E-1 7.966320E+1
2.154000E+11 5.623E+15 315 3.800E-4 3.670945E+1 1.658430E+1 5.698980E-1 7.927240E+1
3.162000E+11 5.623E+15 315 3.800E-4 3.622292E+1 1.619530E+1 5.667010E-1 7.889560E+1
4.642000E+11 5.623E+15 315 3.800E-4 3.566476E+1 1.577210E+1 5.620210E-1 7.868600E+1
6.813000E+11 5.623E+15 315 3.800E-4 3.505901E+1 1.532420E+1 5.554970E-1 7.868580E+1
1.000000E+12 5.623E+15 315 3.800E-4 3.442807E+1 1.487940E+1 5.481170E-1 7.884960E+1
1.468000E+12 5.623E+15 315 3.800E-4 3.378297E+1 1.443030E+1 5.414010E-1 7.889650E+1
2.154000E+12 5.623E+15 315 3.800E-4 3.312258E+1 1.398660E+1 5.353540E-1 7.887620E+1
3.162000E+12 5.623E+15 315 3.800E-4 3.243975E+1 1.353090E+1 5.294780E-1 7.877710E+1
4.642000E+12 5.623E+15 315 3.800E-4 3.172731E+1 1.307200E+1 5.234590E-1 7.870960E+1
6.813000E+12 5.623E+15 315 3.800E-4 3.098056E+1 1.259620E+1 5.173090E-1 7.859610E+1
1.000000E+13 5.623E+15 315 3.800E-4 3.019715E+1 1.211580E+1 5.110570E-1 7.850830E+1
1.468000E+13 5.623E+15 315 3.800E-4 2.937629E+1 1.161860E+1 5.046820E-1 7.836830E+1
2.154000E+13 5.623E+15 315 3.800E-4 2.851848E+1 1.111850E+1 4.982580E-1 7.824650E+1
3.162000E+13 5.623E+15 315 3.800E-4 2.762492E+1 1.060410E+1 4.917690E-1 7.805670E+1
4.642000E+13 5.623E+15 315 3.800E-4 2.669795E+1 1.008900E+1 4.851870E-1 7.788640E+1
6.813000E+13 5.623E+15 315 3.800E-4 2.574123E+1 9.563900E+0 4.785510E-1 7.763880E+1
1.000000E+14 5.623E+15 315 3.800E-4 2.475913E+1 9.036300E+0 4.718030E-1 7.735640E+1
