Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.096245934E+00 1.141800017E+00 -4.555408300E-02 1.095348216E+00 1.139653143E+00 -4.430492700E-02
1.468000E+10 1.096657587E+00 1.141806427E+00 -4.514884000E-02 1.096038753E+00 1.140724039E+00 -4.468528600E-02
2.154000E+10 1.097189633E+00 1.141816305E+00 -4.462667200E-02 1.096778564E+00 1.141076548E+00 -4.429798400E-02
3.162000E+10 1.097960106E+00 1.141830077E+00 -4.386997100E-02 1.097674973E+00 1.141324785E+00 -4.364981200E-02
4.642000E+10 1.099073754E+00 1.141850344E+00 -4.277659000E-02 1.098874597E+00 1.141505226E+00 -4.263062900E-02
6.813000E+10 1.100312508E+00 1.141879880E+00 -4.156737200E-02 1.100192295E+00 1.141644095E+00 -4.145180000E-02
1.000000E+11 1.101335901E+00 1.141922671E+00 -4.058677000E-02 1.101252058E+00 1.141761465E+00 -4.050940700E-02
1.468000E+11 1.102756111E+00 1.141984561E+00 -3.922845000E-02 1.102697132E+00 1.141874243E+00 -3.917711100E-02
2.154000E+11 1.104777162E+00 1.142073373E+00 -3.729621100E-02 1.104733614E+00 1.141997796E+00 -3.726418200E-02
3.162000E+11 1.105290730E+00 1.142199086E+00 -3.690835600E-02 1.105264990E+00 1.142147153E+00 -3.688216300E-02
4.642000E+11 1.105865151E+00 1.142374551E+00 -3.650940000E-02 1.105847446E+00 1.142338746E+00 -3.649130000E-02
6.813000E+11 1.107851593E+00 1.142614723E+00 -3.476313000E-02 1.107834576E+00 1.142589917E+00 -3.475534100E-02
1.000000E+12 1.116178931E+00 1.142934146E+00 -2.675521500E-02 1.116157549E+00 1.142916877E+00 -2.675932800E-02
1.468000E+12 1.123450762E+00 1.143343914E+00 -1.989315200E-02 1.123439580E+00 1.143331816E+00 -1.989223600E-02
2.154000E+12 1.125380650E+00 1.143845591E+00 -1.846494100E-02 1.125375418E+00 1.143837053E+00 -1.846163500E-02
3.162000E+12 1.131725866E+00 1.144439835E+00 -1.271396900E-02 1.131709721E+00 1.144433725E+00 -1.272400400E-02
4.642000E+12 1.137625192E+00 1.144884796E+00 -7.259604000E-03 1.137618326E+00 1.144880466E+00 -7.262140000E-03
6.813000E+12 1.142318152E+00 1.145253245E+00 -2.935093000E-03 1.142315832E+00 1.145250107E+00 -2.934275000E-03
1.000000E+13 1.143009556E+00 1.145702444E+00 -2.692888000E-03 1.143007875E+00 1.145700158E+00 -2.692283000E-03
