T d154 d184 d214 d244
d 150 180 210 240
290 1.204664000E-03 9.799770000E-04 8.137730000E-04 7.054500000E-04
295 1.123332000E-03 9.311950000E-04 7.770890000E-04 6.807290000E-04
300 1.047093000E-03 8.852050000E-04 7.731790000E-04 6.739730000E-04
305 1.026428000E-03 8.718620000E-04 8.302110000E-04 6.992400000E-04
310 1.038572000E-03 9.052570000E-04 8.200450000E-04 7.613610000E-04
315 1.072007000E-03 9.597870000E-04 8.874870000E-04 8.357870000E-04
320 1.143520000E-03 1.046031000E-03 9.800110000E-04 9.318080000E-04
325 1.219065000E-03 1.127655000E-03 1.061970000E-03 1.013463000E-03
330 1.241505000E-03 1.144360000E-03 1.069725000E-03 1.008683000E-03
335 1.101144000E-03 9.768000000E-04 8.763120000E-04 7.886170000E-04
340 5.771250000E-04 4.064450000E-04 2.656980000E-04 1.458690000E-04
