d Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.000000000E+01 1.034819746E+00 1.016603365E+00 1.821638100E-02 1.031039896E+00 1.014105224E+00 1.693467200E-02 3.779850000E-03 2.498141000E-03
150 1.016672606E+01 1.034761568E+00 1.016602759E+00 1.815880900E-02 1.032090773E+00 1.014808851E+00 1.728192200E-02 2.670795000E-03 1.793908000E-03
150 1.033324570E+01 1.034676667E+00 1.016601897E+00 1.807477000E-02 1.032811304E+00 1.015332701E+00 1.747860300E-02 1.865363000E-03 1.269196000E-03
150 1.049996187E+01 1.034553101E+00 1.016600691E+00 1.795241000E-02 1.033261652E+00 1.015712401E+00 1.754925100E-02 1.291449000E-03 8.882900000E-04
150 1.066670514E+01 1.034373973E+00 1.016599048E+00 1.777492500E-02 1.033485911E+00 1.015982069E+00 1.750384200E-02 8.880620000E-04 6.169790000E-04
150 1.083333839E+01 1.034115797E+00 1.016596909E+00 1.751888800E-02 1.033508521E+00 1.016170570E+00 1.733795100E-02 6.072760000E-04 4.263390000E-04
150 1.100000000E+01 1.033746829E+00 1.016594344E+00 1.715248500E-02 1.033333650E+00 1.016300683E+00 1.703296700E-02 4.131790000E-04 2.936610000E-04
150 1.116672606E+01 1.033226009E+00 1.016591791E+00 1.663421800E-02 1.032946325E+00 1.016389851E+00 1.655647400E-02 2.796840000E-04 2.019400000E-04
150 1.133324570E+01 1.032503990E+00 1.016590564E+00 1.591342600E-02 1.032315753E+00 1.016451732E+00 1.586402100E-02 1.882370000E-04 1.388320000E-04
150 1.149996187E+01 1.031529012E+00 1.016593927E+00 1.493508500E-02 1.031403175E+00 1.016498367E+00 1.490480800E-02 1.258370000E-04 9.556000000E-05
150 1.166670514E+01 1.030261850E+00 1.016609197E+00 1.365265300E-02 1.030178393E+00 1.016543230E+00 1.363516300E-02 8.345700000E-05 6.596700000E-05
150 1.183333839E+01 1.028704284E+00 1.016651615E+00 1.205266900E-02 1.028649401E+00 1.016605837E+00 1.204356400E-02 5.488300000E-05 4.577800000E-05
150 1.200000000E+01 1.026940830E+00 1.016750769E+00 1.019006100E-02 1.026904984E+00 1.016718724E+00 1.018626000E-02 3.584600000E-05 3.204500000E-05
150 1.216672606E+01 1.025179590E+00 1.016959918E+00 8.219672000E-03 1.025156182E+00 1.016937178E+00 8.219004000E-03 2.340800000E-05 2.274000000E-05
150 1.233324570E+01 1.023756227E+00 1.017366230E+00 6.389997000E-03 1.023740714E+00 1.017349757E+00 6.390957000E-03 1.551300000E-05 1.647300000E-05
150 1.249996187E+01 1.023059775E+00 1.018096519E+00 4.963256000E-03 1.023049090E+00 1.018084227E+00 4.964863000E-03 1.068500000E-05 1.229200000E-05
150 1.266670514E+01 1.023389455E+00 1.031718642E+00 -8.329187000E-03 1.023381619E+00 1.031720276E+00 -8.338657000E-03 7.836000000E-06 -1.634000000E-06
150 1.283333839E+01 1.024842205E+00 1.056620420E+00 -3.177821500E-02 1.024836030E+00 1.056616888E+00 -3.178085800E-02 6.175000000E-06 3.532000000E-06
150 1.300000000E+01 1.027336932E+00 1.075907792E+00 -4.857086000E-02 1.027331754E+00 1.075901447E+00 -4.856969300E-02 5.178000000E-06 6.345000000E-06
180 1.000000000E+01 1.033932029E+00 1.015154463E+00 1.877756600E-02 1.030740033E+00 1.013173228E+00 1.756680500E-02 3.191996000E-03 1.981235000E-03
180 1.016672606E+01 1.033846575E+00 1.015152139E+00 1.869443600E-02 1.031604010E+00 1.013738990E+00 1.786502000E-02 2.242565000E-03 1.413149000E-03
180 1.033324570E+01 1.033722167E+00 1.015148788E+00 1.857337900E-02 1.032163050E+00 1.014153937E+00 1.800911300E-02 1.559117000E-03 9.948510000E-04
180 1.049996187E+01 1.033541738E+00 1.015143995E+00 1.839774300E-02 1.032466508E+00 1.014450176E+00 1.801633200E-02 1.075230000E-03 6.938190000E-04
180 1.066670514E+01 1.033281519E+00 1.015137230E+00 1.814428900E-02 1.032544839E+00 1.014656496E+00 1.788834300E-02 7.366800000E-04 4.807340000E-04
180 1.083333839E+01 1.032909274E+00 1.015127875E+00 1.778139900E-02 1.032407461E+00 1.014796206E+00 1.761125500E-02 5.018130000E-04 3.316690000E-04
180 1.100000000E+01 1.032383080E+00 1.015115351E+00 1.726772900E-02 1.032043205E+00 1.014887100E+00 1.715610500E-02 3.398750000E-04 2.282510000E-04
