fname time Tem kT_1 n Rs Io Rsh Fb dev 
UT010 10:39:22 302.7 38.3 1.744E+000 5.529E-002 2.895E-007 4.169E+002 7.242E-001 4.144E-003 
UT011 10:41:10 302.7 38.3 1.732E+000 1.408E-001 2.751E-007 4.159E+002 7.255E-001 4.124E-003 
UT020 11:04:46 305.7 37.93 1.685E+000 3.125E-001 2.883E-007 4.178E+002 7.320E-001 4.264E-003 
UT030 11:30:04 308.7 37.56 1.663E+000 3.857E-001 3.419E-007 4.207E+002 7.352E-001 3.705E-003 
UT040 11:54:00 312.6 37.09 1.717E+000 3.377E-001 6.196E-007 4.333E+002 7.291E-001 3.581E-003 
UT050 12:16:56 316.4 36.64 1.701E+000 7.714E-001 7.788E-007 4.344E+002 7.324E-001 3.653E-003 
UT060 12:40:16 320.1 36.22 1.699E+000 8.274E-001 1.041E-006 4.397E+002 7.336E-001 3.305E-003 
UT070 13:02:44 323.6 35.83 1.691E+000 7.689E-001 1.352E-006 4.428E+002 7.349E-001 3.711E-003 
UT080 13:33:14 327.5 35.4 1.655E+000 6.380E-001 1.621E-006 4.451E+002 7.393E-001 3.269E-003 
UT090 13:56:08 331 35.03 1.633E+000 1.082E+000 1.931E-006 4.399E+002 7.428E-001 3.580E-003 
UT100 14:18:18 334.9 34.62 1.610E+000 1.425E+000 2.398E-006 4.374E+002 7.460E-001 3.143E-003 
UT110 14:42:06 338.2 34.28 1.599E+000 1.689E+000 2.927E-006 4.368E+002 7.481E-001 3.171E-003 
UT120 15:03:40 341.8 33.92 1.593E+000 1.316E+000 3.784E-006 4.369E+002 7.491E-001 3.044E-003 
