T nFsrh nFBsrh dnsrh nF nFB dn
290 1.200918413E+00 1.200511948E+0 4.064650000E-04 1.200918413E+00 1.200511948E+0 4.064650000E-04
295 1.202685743E+00 1.203579445E+0 -8.937020000E-04 1.202685743E+00 1.203579445E+0 -8.937020000E-04
300 1.208143111E+00 1.206501797E+0 1.641314000E-03 1.208143111E+00 1.206501797E+0 1.641314000E-03
305 1.209862663E+00 1.209235712E+0 6.269510000E-04 1.209862663E+00 1.209235712E+0 6.269510000E-04
310 1.218663608E+00 1.211728036E+0 6.935572000E-03 1.218663608E+00 1.211728036E+0 6.935572000E-03
315 1.218223163E+00 1.213914626E+0 4.308537000E-03 1.218223163E+00 1.213914626E+0 4.308537000E-03
320 1.220816312E+00 1.215719567E+0 5.096745000E-03 1.220816312E+00 1.215719567E+0 5.096745000E-03
325 1.228450739E+00 1.217055008E+0 1.139573100E-02 1.228450739E+00 1.217055008E+0 1.139573100E-02
330 1.231057621E+00 1.217821933E+0 1.323568800E-02 1.231057621E+00 1.217821933E+0 1.323568800E-02
335 1.238410663E+00 1.217912264E+0 2.049839900E-02 1.238410663E+00 1.217912264E+0 2.049839900E-02
340 1.245941739E+00 1.217212648E+0 2.872909100E-02 1.245941739E+00 1.217212648E+0 2.872909100E-02
