N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -6.671104200E-02 -6.717558800E-02 -6.592142400E-02 -6.462205200E-02
1.600000000E+01 3.117129000E-02 3.097023000E-02 3.031992000E-02 2.988321000E-02
1.700000000E+01 6.029540900E-02 5.857215300E-02 5.627307000E-02 5.628788200E-02
1.549996187E+01 1.658216300E-02 1.570661700E-02 1.674044200E-02 1.700211500E-02
1.649996187E+01 5.213414700E-02 5.069646400E-02 4.983598600E-02 4.925107100E-02
1.674996808E+01 5.929768800E-02 5.645090000E-02 5.596417900E-02 5.538753900E-02
1.624993176E+01 4.073452700E-02 4.018386900E-02 3.971446400E-02 3.928567900E-02
1.574996808E+01 2.491715300E-02 2.496762700E-02 2.432655000E-02 2.496985300E-02
1.524993176E+01 -6.254796000E-03 -6.469110000E-03 -5.676795000E-03 -4.761389000E-03
