N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 5.949700000E-05 4.531000000E-05 3.574600000E-05 2.916600000E-05
1.600000000E+01 1.216210000E-04 1.223160000E-04 1.244510000E-04 1.283230000E-04
1.700000000E+01 1.572734000E-03 1.528704000E-03 1.499359000E-03 1.482659000E-03
1.549996187E+01 2.694600000E-05 2.250300000E-05 1.984200000E-05 1.816400000E-05
1.649996187E+01 4.876360000E-04 4.725440000E-04 4.618150000E-04 4.550630000E-04
1.674996808E+01 8.672610000E-04 8.387590000E-04 8.219930000E-04 8.087150000E-04
1.624993176E+01 2.693120000E-04 2.619800000E-04 2.577050000E-04 2.550070000E-04
1.574996808E+01 -5.286000000E-06 5.285000000E-06 1.722600000E-05 2.802500000E-05
1.524993176E+01 2.990600000E-05 2.370200000E-05 1.989500000E-05 1.738500000E-05
