N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+15 300 2.100E-4 1.211764671E+00 1.213858055E+00
1.468000E+10 1.000E+15 300 2.100E-4 1.212454894E+00 1.213890115E+00
2.154000E+10 1.000E+15 300 2.100E-4 1.212939169E+00 1.213934028E+00
3.162000E+10 1.000E+15 300 2.100E-4 1.213298114E+00 1.213985539E+00
4.642000E+10 1.000E+15 300 2.100E-4 1.213593464E+00 1.214067170E+00
6.813000E+10 1.000E+15 300 2.100E-4 1.213853614E+00 1.214179852E+00
1.000000E+11 1.000E+15 300 2.100E-4 1.214112462E+00 1.214337325E+00
1.468000E+11 1.000E+15 300 2.100E-4 1.214403461E+00 1.214558824E+00
2.154000E+11 1.000E+15 300 2.100E-4 1.214737918E+00 1.214845678E+00
3.162000E+11 1.000E+15 300 2.100E-4 1.215203185E+00 1.215278434E+00
4.642000E+11 1.000E+15 300 2.100E-4 1.215825308E+00 1.215878382E+00
6.813000E+11 1.000E+15 300 2.100E-4 1.216656788E+00 1.216694733E+00
1.000000E+12 1.000E+15 300 2.100E-4 1.217756270E+00 1.217783904E+00
1.468000E+12 1.000E+15 300 2.100E-4 1.219149626E+00 1.219170212E+00
2.154000E+12 1.000E+15 300 2.100E-4 1.220940979E+00 1.220956751E+00
3.162000E+12 1.000E+15 300 2.100E-4 1.223139613E+00 1.223152077E+00
4.642000E+12 1.000E+15 300 2.100E-4 1.225799718E+00 1.225809860E+00
6.813000E+12 1.000E+15 300 2.100E-4 1.228935787E+00 1.228944253E+00
1.000000E+13 1.000E+15 300 2.100E-4 1.232280921E+00 1.232288121E+00
