fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
00L1 8:25:22 293.4 39.52 1.000E+000 8.423E-001 2.826E-006 4.095E+002 2.546E+000 3.744E-008 1.818E-004 7.283E-002 1.814E-004 3.322E-006 2.514E-001 3.650E-002 9.077E-005 4.793E-004 
00L2 8:48:24 296.2 39.14 1.000E+000 8.597E-001 2.973E-006 4.169E+002 2.521E+000 4.233E-008 1.840E-004 7.475E-002 1.836E-004 3.454E-006 2.517E-001 3.750E-002 9.185E-005 6.498E-004 
00L3 9:09:18 299.3 38.74 1.000E+000 8.791E-001 3.068E-006 4.258E+002 2.494E+000 4.869E-008 1.843E-004 7.616E-002 1.839E-004 3.529E-006 2.520E-001 3.830E-002 9.190E-005 5.671E-004 
00L4 9:29:10 302.5 38.33 1.000E+000 8.990E-001 3.108E-006 4.348E+002 2.466E+000 5.525E-008 1.853E-004 7.777E-002 1.849E-004 3.629E-006 2.524E-001 3.910E-002 9.258E-005 7.048E-004 
00L5 9:46:44 305.6 37.94 1.000E+000 9.183E-001 3.100E-006 4.428E+002 2.440E+000 6.321E-008 1.764E-004 7.507E-002 1.760E-004 3.337E-006 2.526E-001 3.780E-002 8.804E-005 5.132E-004 
00L6 10:06:50 309 37.52 1.000E+000 9.395E-001 3.174E-006 4.521E+002 2.412E+000 7.184E-008 1.879E-004 8.096E-002 1.875E-004 3.847E-006 2.534E-001 4.080E-002 9.406E-005 6.182E-004 
00L7 10:29:12 312.8 37.07 1.000E+000 9.632E-001 3.274E-006 4.617E+002 2.382E+000 8.261E-008 1.878E-004 8.185E-002 1.874E-004 3.897E-006 2.541E-001 4.130E-002 9.414E-005 6.587E-004 
00L8 10:48:22 315.2 36.78 1.000E+000 9.782E-001 3.224E-006 4.675E+002 2.363E+000 8.964E-008 1.865E-004 8.178E-002 1.861E-004 3.874E-006 2.545E-001 4.130E-002 9.356E-005 6.902E-004 
00L9 11:07:40 318.9 36.36 1.000E+000 1.001E+000 3.394E-006 4.769E+002 2.334E+000 1.008E-007 1.913E-004 8.437E-002 1.908E-004 4.115E-006 2.556E-001 4.270E-002 9.615E-005 7.891E-004 
0L10 11:25:54 323.3 35.86 1.000E+000 1.029E+000 3.510E-006 4.860E+002 2.301E+000 1.156E-007 1.835E-004 8.133E-002 1.831E-004 3.816E-006 2.563E-001 4.130E-002 9.217E-005 7.263E-004 
0L11 11:45:50 326.5 35.51 1.000E+000 1.049E+000 3.721E-006 4.936E+002 2.278E+000 1.278E-007 1.831E-004 8.135E-002 1.827E-004 3.823E-006 2.572E-001 4.140E-002 9.213E-005 6.622E-004 
0L12 12:05:06 330.1 35.12 1.000E+000 1.071E+000 3.758E-006 4.997E+002 2.252E+000 1.424E-007 1.906E-004 8.407E-002 1.902E-004 4.137E-006 2.588E-001 4.290E-002 9.622E-005 5.088E-004 
0L13 12:26:08 333.1 34.81 1.000E+000 1.090E+000 3.981E-006 5.047E+002 2.230E+000 1.549E-007 1.958E-004 8.567E-002 1.953E-004 4.354E-006 2.602E-001 4.380E-002 9.917E-005 7.201E-004 
0L14 12:46:20 335.7 34.54 1.000E+000 1.106E+000 4.165E-006 5.070E+002 2.212E+000 1.665E-007 1.953E-004 8.468E-002 1.949E-004 4.306E-006 2.610E-001 4.340E-002 9.899E-005 6.334E-004 
0L15 13:10:14 339.9 34.11 1.000E+000 1.132E+000 4.445E-006 5.129E+002 2.184E+000 1.837E-007 1.973E-004 8.404E-002 1.968E-004 4.346E-006 2.628E-001 4.320E-002 1.004E-004 8.800E-004 
