X GeBow200 GeBow300 GeBow400 OrBow200 OrBow300 OrBow400 OrBow500 OrBow600 OrBow700 OrBow750 OsBow200 OsBow300 OsBow400 OsBow500 OsBow600 OsBow700
4.64000E+2 2.84249E+10 6.22402E+11 1.28408E+12 0.00000E+0 0.00000E+0 3.05000E+11 1.02131E+12 1.80478E+12 2.52481E+12 2.88361E+12 5.86086E+10 2.27318E+11 4.00557E+11 1.08011E+12 1.83268E+12 2.52860E+12
4.65000E+2 6.60948E+10 6.41533E+11 1.28030E+12 0.00000E+0 0.00000E+0 3.63732E+11 1.08424E+12 1.87081E+12 2.63913E+12 3.02196E+12 7.27379E+10 2.70776E+11 4.74068E+11 1.13969E+12 1.87425E+12 2.59111E+12
4.66000E+2 9.44949E+10 6.81893E+11 1.33236E+12 0.00000E+0 0.00000E+0 4.02760E+11 1.13215E+12 1.92750E+12 2.71783E+12 3.11163E+12 5.03726E+10 2.43088E+11 4.41248E+11 1.15284E+12 1.94020E+12 2.77062E+12
4.67000E+2 1.59525E+11 7.40085E+11 1.37912E+12 0.00000E+0 0.00000E+0 4.34085E+11 1.18805E+12 2.00974E+12 2.79512E+12 3.18649E+12 7.61826E+10 2.85653E+11 5.00694E+11 1.22076E+12 2.01579E+12 2.81136E+12
4.68000E+2 1.57681E+11 7.99378E+11 1.50680E+12 0.00000E+0 0.00000E+0 4.71899E+11 1.24487E+12 2.08658E+12 2.86698E+12 3.25592E+12 9.63045E+10 3.26413E+11 5.62436E+11 1.29535E+12 2.10291E+12 2.92144E+12
4.69000E+2 1.92492E+11 8.60111E+11 1.59445E+12 0.00000E+0 0.00000E+0 5.19112E+11 1.30235E+12 2.15417E+12 2.97295E+12 3.38100E+12 1.20829E+11 3.66163E+11 6.17508E+11 1.37668E+12 2.21206E+12 3.03416E+12
4.70000E+2 2.22041E+11 9.34096E+11 1.71633E+12 0.00000E+0 0.00000E+0 5.61797E+11 1.36602E+12 2.23989E+12 3.09119E+12 3.51545E+12 1.37616E+11 4.10832E+11 6.90691E+11 1.45670E+12 2.29748E+12 3.15235E+12
4.71000E+2 2.54983E+11 9.91225E+11 1.79855E+12 0.00000E+0 0.00000E+0 6.09220E+11 1.44401E+12 2.35041E+12 3.20233E+12 3.62694E+12 1.66460E+11 4.56713E+11 7.53695E+11 1.54192E+12 2.40572E+12 3.26867E+12
4.72000E+2 2.94821E+11 1.04732E+12 1.87048E+12 0.00000E+0 0.00000E+0 6.59413E+11 1.50744E+12 2.42715E+12 3.28049E+12 3.70585E+12 1.88565E+11 4.98732E+11 8.15917E+11 1.62676E+12 2.51407E+12 3.39799E+12
4.73000E+2 3.25913E+11 1.10868E+12 1.96383E+12 0.00000E+0 0.00000E+0 6.99536E+11 1.56269E+12 2.49807E+12 3.37483E+12 3.81186E+12 2.18543E+11 5.47941E+11 8.84493E+11 1.71258E+12 2.61715E+12 3.52644E+12
4.74000E+2 3.70433E+11 1.16163E+12 2.02358E+12 0.00000E+0 0.00000E+0 7.40460E+11 1.63081E+12 2.59515E+12 3.48818E+12 3.93335E+12 2.31959E+11 5.81384E+11 9.38395E+11 1.78989E+12 2.71912E+12 3.66716E+12
4.75000E+2 4.28549E+11 1.22229E+12 2.08368E+12 0.00000E+0 0.00000E+0 7.81286E+11 1.68946E+12 2.67243E+12 3.58404E+12 4.03849E+12 2.58496E+11 6.27065E+11 1.00341E+12 1.88202E+12 2.83973E+12 3.80341E+12
4.76000E+2 4.56758E+11 1.29761E+12 2.20998E+12 0.00000E+0 3.75383E+10 8.40215E+11 1.76105E+12 2.75646E+12 3.66278E+12 4.11464E+12 2.89023E+11 6.76302E+11 1.07147E+12 1.99880E+12 3.00923E+12 3.93232E+12
4.77000E+2 4.95981E+11 1.36754E+12 2.31192E+12 0.00000E+0 7.23721E+10 8.86309E+11 1.81833E+12 2.82491E+12 3.77001E+12 4.24118E+12 3.25357E+11 7.27302E+11 1.13702E+12 2.08848E+12 3.12401E+12 4.10178E+12
4.78000E+2 5.37273E+11 1.43125E+12 2.39824E+12 0.00000E+0 6.51187E+10 9.03026E+11 1.86297E+12 2.89996E+12 3.87129E+12 4.35553E+12 3.53274E+11 7.77813E+11 1.21041E+12 2.17903E+12 3.23158E+12 4.25454E+12
4.79000E+2 5.78414E+11 1.50590E+12 2.50792E+12 0.00000E+0 1.41151E+11 9.83899E+11 1.94559E+12 2.98238E+12 3.95883E+12 4.44565E+12 3.78563E+11 8.33725E+11 1.29753E+12 2.28077E+12 3.34703E+12 4.40556E+12
4.80000E+2 6.22063E+11 1.57019E+12 2.59272E+12 0.00000E+0 1.75945E+11 1.03057E+12 2.00417E+12 3.05290E+12 4.06129E+12 4.56402E+12 3.97702E+11 8.74292E+11 1.35991E+12 2.36967E+12 3.46384E+12 4.55735E+12
4.81000E+2 6.63543E+11 1.63063E+12 2.67190E+12 0.00000E+0 2.19313E+11 1.08352E+12 2.06594E+12 3.12303E+12 4.16272E+12 4.68105E+12 4.10271E+11 9.02949E+11 1.40497E+12 2.44076E+12 3.56281E+12 4.68357E+12
