X GeBow200 GeBow300 GeBow400 OrBow200 OrBow300 OrBow400 OrBow500 OrBow600 OrBow700 OrBow750 OsBow200 OsBow300 OsBow400 OsBow500 OsBow600 OsBow700
4.64000E+2 2.84249E+10 6.22402E+11 1.28408E+12 0.00000E+0 0.00000E+0 3.12821E+11 1.04750E+12 1.85106E+12 2.58955E+12 2.95755E+12 5.86086E+10 2.27318E+11 4.00557E+11 1.08011E+12 1.83268E+12 2.52860E+12
4.65000E+2 6.60948E+10 6.41533E+11 1.28030E+12 0.00000E+0 0.00000E+0 3.73059E+11 1.11204E+12 1.91878E+12 2.70680E+12 3.09945E+12 7.27379E+10 2.70776E+11 4.74068E+11 1.13969E+12 1.87425E+12 2.59111E+12
4.66000E+2 9.44949E+10 6.81893E+11 1.33236E+12 0.00000E+0 0.00000E+0 4.13087E+11 1.16118E+12 1.97693E+12 2.78752E+12 3.19142E+12 5.03726E+10 2.43088E+11 4.41248E+11 1.15284E+12 1.94020E+12 2.77062E+12
4.67000E+2 1.59525E+11 7.40085E+11 1.37912E+12 0.00000E+0 0.00000E+0 4.45216E+11 1.21851E+12 2.06127E+12 2.86678E+12 3.26819E+12 7.61826E+10 2.85653E+11 5.00694E+11 1.22076E+12 2.01579E+12 2.81136E+12
4.68000E+2 1.57681E+11 7.99378E+11 1.50680E+12 0.00000E+0 0.00000E+0 4.83999E+11 1.27679E+12 2.14008E+12 2.94049E+12 3.33940E+12 9.63045E+10 3.26413E+11 5.62436E+11 1.29535E+12 2.10291E+12 2.92144E+12
4.69000E+2 1.92492E+11 8.60111E+11 1.59445E+12 0.00000E+0 0.00000E+0 5.32422E+11 1.33575E+12 2.20940E+12 3.04918E+12 3.46769E+12 1.20829E+11 3.66163E+11 6.17508E+11 1.37668E+12 2.21206E+12 3.03416E+12
4.70000E+2 2.22041E+11 9.34096E+11 1.71633E+12 0.00000E+0 0.00000E+0 5.76202E+11 1.40104E+12 2.29732E+12 3.17045E+12 3.60559E+12 1.37616E+11 4.10832E+11 6.90691E+11 1.45670E+12 2.29748E+12 3.15235E+12
4.71000E+2 2.54983E+11 9.91225E+11 1.79855E+12 0.00000E+0 0.00000E+0 6.24841E+11 1.48104E+12 2.41068E+12 3.28444E+12 3.71994E+12 1.66460E+11 4.56713E+11 7.53695E+11 1.54192E+12 2.40572E+12 3.26867E+12
4.72000E+2 2.94821E+11 1.04732E+12 1.87048E+12 0.00000E+0 0.00000E+0 6.76321E+11 1.54609E+12 2.48938E+12 3.36461E+12 3.80088E+12 1.88565E+11 4.98732E+11 8.15917E+11 1.62676E+12 2.51407E+12 3.39799E+12
4.73000E+2 3.25913E+11 1.10868E+12 1.96383E+12 0.00000E+0 0.00000E+0 7.17473E+11 1.60276E+12 2.56213E+12 3.46136E+12 3.90960E+12 2.18543E+11 5.47941E+11 8.84493E+11 1.71258E+12 2.61715E+12 3.52644E+12
