fname time Tem kT_1 Ncl Ed Et Eb N0 dev 
00NS 1353069355 0 555 1.116737662E+25 1.400000000E-02 1.261816782E-01 -7.934549364E-02 6.910000000E+22 2.370814893E-03 
00NS 1353069355 0 555 1.116740264E+25 1.400000000E-02 1.261817182E-01 -7.934553956E-02 6.910000000E+22 2.370808605E-03 
00NS 1353069355 0 555 1.116747261E+25 1.400000000E-02 1.261817232E-01 -7.934560838E-02 6.910000000E+22 2.370814460E-03 
00NZ 1353069380 0 555 9.749825115E+24 1.400000000E-02 1.345759890E-01 -8.211411043E-02 6.910000000E+22 3.095538276E-03 
00NZ 1353069380 0 555 9.749800300E+24 1.400000000E-02 1.345759689E-01 -8.211407023E-02 6.910000000E+22 3.095541533E-03 
00NZ 1353069380 0 555 9.749863899E+24 1.400000000E-02 1.345760187E-01 -8.211417280E-02 6.910000000E+22 3.095533284E-03 
NSUS 1353073607 0 555 9.097191019E+23 1.400000000E-02 6.263117634E-01 -3.388152494E-02 6.910000000E+22 8.180713298E-03 
NSUS 1353073607 0 555 9.097191151E+23 1.400000000E-02 8.515958187E-01 -3.388152529E-02 6.910000000E+22 8.180713433E-03 
NSUS 1353073607 0 555 9.097191157E+23 1.400000000E-02 8.118238178E-01 -3.388152531E-02 6.910000000E+22 8.180713440E-03 
NZUS 1353073583 0 555 5.442574464E+23 1.400000000E-02 9.414272516E-01 -1.808823516E-02 6.910000000E+22 1.035542006E-02 
NZUS 1353073583 0 555 5.442574440E+23 1.400000000E-02 7.528486609E-01 -1.808823502E-02 6.910000000E+22 1.035541999E-02 
NZUS 1353073583 0 555 5.442574398E+23 1.400000000E-02 8.201131395E-01 -1.808823487E-02 6.910000000E+22 1.035541992E-02 
