T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD
300 001_300 38.647 5.763560E-1 3.269038E+1 8.191720E+1 1.543430E+1 4.971970E-1 3.104257E+1 1.000000E+2 1.000000E+10
300 002_300 38.647 5.763510E-1 3.268896E+1 8.191430E+1 1.543290E+1 4.971970E-1 3.103979E+1 1.000000E+2 1.198000E+10
300 003_300 38.647 5.763440E-1 3.268725E+1 8.191070E+1 1.543120E+1 4.971580E-1 3.103890E+1 1.000000E+2 1.435000E+10
300 004_300 38.647 5.763360E-1 3.268520E+1 8.190650E+1 1.542930E+1 4.971390E-1 3.103614E+1 1.000000E+2 1.719000E+10
300 005_300 38.647 5.763270E-1 3.268275E+1 8.190140E+1 1.542690E+1 4.971190E-1 3.103260E+1 1.000000E+2 2.059000E+10
300 006_300 38.647 5.763150E-1 3.267982E+1 8.189540E+1 1.542410E+1 4.970800E-1 3.102934E+1 1.000000E+2 2.467000E+10
300 007_300 38.647 5.763010E-1 3.267631E+1 8.188810E+1 1.542070E+1 4.970410E-1 3.102496E+1 1.000000E+2 2.955000E+10
300 008_300 38.647 5.762850E-1 3.267212E+1 8.187940E+1 1.541660E+1 4.969820E-1 3.102047E+1 1.000000E+2 3.540000E+10
300 009_300 38.647 5.762650E-1 3.266710E+1 8.186910E+1 1.541180E+1 4.969240E-1 3.101437E+1 1.000000E+2 4.241000E+10
300 010_300 38.647 5.762410E-1 3.266109E+1 8.185670E+1 1.540600E+1 4.968460E-1 3.100760E+1 1.000000E+2 5.080000E+10
300 011_300 38.647 5.762130E-1 3.265392E+1 8.184200E+1 1.539910E+1 4.967480E-1 3.099977E+1 1.000000E+2 6.086000E+10
300 012_300 38.647 5.761790E-1 3.264534E+1 8.182440E+1 1.539080E+1 4.966500E-1 3.098923E+1 1.000000E+2 7.290000E+10
300 013_300 38.647 5.761390E-1 3.263510E+1 8.180350E+1 1.538100E+1 4.965330E-1 3.097671E+1 1.000000E+2 8.733000E+10
300 014_300 38.647 5.760900E-1 3.262287E+1 8.177850E+1 1.536920E+1 4.963770E-1 3.096280E+1 1.000000E+2 1.046000E+11
300 015_300 38.647 5.760310E-1 3.260829E+1 8.174890E+1 1.535520E+1 4.962010E-1 3.094557E+1 1.000000E+2 1.253000E+11
300 016_300 38.647 5.759610E-1 3.259092E+1 8.171380E+1 1.533860E+1 4.959670E-1 3.092665E+1 1.000000E+2 1.501000E+11
300 017_300 38.647 5.758770E-1 3.257023E+1 8.167230E+1 1.531880E+1 4.957130E-1 3.090261E+1 1.000000E+2 1.798000E+11
300 018_300 38.647 5.757770E-1 3.254564E+1 8.162320E+1 1.529540E+1 4.954200E-1 3.087356E+1 1.000000E+2 2.154000E+11
300 019_300 38.647 5.756560E-1 3.251643E+1 8.156590E+1 1.526770E+1 4.950490E-1 3.084085E+1 1.000000E+2 2.581000E+11
300 020_300 38.647 5.755110E-1 3.248181E+1 8.149820E+1 1.523500E+1 4.946190E-1 3.080141E+1 1.000000E+2 3.092000E+11
300 021_300 38.647 5.753370E-1 3.244085E+1 8.141910E+1 1.519640E+1 4.941110E-1 3.075499E+1 1.000000E+2 3.704000E+11
300 022_300 38.647 5.751280E-1 3.239252E+1 8.132710E+1 1.515110E+1 4.935060E-1 3.070094E+1 1.000000E+2 4.437000E+11
300 023_300 38.647 5.748770E-1 3.233564E+1 8.122080E+1 1.509810E+1 4.927830E-1 3.063848E+1 1.000000E+2 5.315000E+11
300 024_300 38.647 5.745750E-1 3.226892E+1 8.109880E+1 1.503650E+1 4.919430E-1 3.056545E+1 1.000000E+2 6.367000E+11
300 025_300 38.647 5.742120E-1 3.219096E+1 8.096030E+1 1.496510E+1 4.909670E-1 3.048080E+1 1.000000E+2 7.627000E+11
300 026_300 38.647 5.737760E-1 3.210028E+1 8.080440E+1 1.488290E+1 4.898340E-1 3.038350E+1 1.000000E+2 9.137000E+11
300 027_300 38.647 5.732510E-1 3.199536E+1 8.063150E+1 1.478890E+1 4.885250E-1 3.027259E+1 1.000000E+2 1.094000E+12
300 028_300 38.647 5.726190E-1 3.187467E+1 8.044260E+1 1.468240E+1 4.870210E-1 3.014738E+1 1.000000E+2 1.311000E+12
300 029_300 38.647 5.718580E-1 3.173680E+1 8.024020E+1 1.456270E+1 4.853220E-1 3.000632E+1 1.000000E+2 1.571000E+12
300 030_300 38.647 5.709400E-1 3.158051E+1 8.003040E+1 1.442990E+1 4.834670E-1 2.984678E+1 1.000000E+2 1.882000E+12
300 031_300 38.647 5.698250E-1 3.140482E+1 7.981560E+1 1.428320E+1 4.814160E-1 2.966917E+1 1.000000E+2 2.254000E+12
300 032_300 38.647 5.684400E-1 3.120916E+1 7.961050E+1 1.412330E+1 4.791890E-1 2.947336E+1 1.000000E+2 2.700000E+12
300 033_300 38.647 5.667970E-1 3.099339E+1 7.941620E+1 1.395100E+1 4.768070E-1 2.925929E+1 1.000000E+2 3.234000E+12
300 034_300 38.647 5.648670E-1 3.075788E+1 7.924360E+1 1.376790E+1 4.742870E-1 2.902853E+1 1.000000E+2 3.875000E+12
