Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.009596639E+00 1.085443880E+00 -7.584724100E-02 1.009990719E+00 1.083464303E+00 -7.347358400E-02
1.468000E+10 1.009695325E+00 1.085490658E+00 -7.579533300E-02 1.009909628E+00 1.084087706E+00 -7.417807800E-02
2.154000E+10 1.010164809E+00 1.085547760E+00 -7.538295100E-02 1.009292248E+00 1.084589510E+00 -7.529726200E-02
3.162000E+10 1.010040145E+00 1.085683362E+00 -7.564321700E-02 1.009735133E+00 1.085017841E+00 -7.528270800E-02
4.642000E+10 1.009925265E+00 1.085889034E+00 -7.596376900E-02 1.010393290E+00 1.085424381E+00 -7.503109100E-02
6.813000E+10 1.010026272E+00 1.086185400E+00 -7.615912800E-02 1.009871857E+00 1.085858408E+00 -7.598655100E-02
1.000000E+11 1.009644626E+00 1.086602272E+00 -7.695764600E-02 1.010046002E+00 1.086369320E+00 -7.632331800E-02
1.468000E+11 1.010192799E+00 1.087192224E+00 -7.699942500E-02 1.006986234E+00 1.087023579E+00 -8.003734500E-02
2.154000E+11 1.009979140E+00 1.088014355E+00 -7.803521500E-02 1.010302408E+00 1.087889692E+00 -7.758728400E-02
3.162000E+11 1.011419044E+00 1.089726465E+00 -7.830742100E-02 1.011833237E+00 1.089596171E+00 -7.776293400E-02
4.642000E+11 1.013330186E+00 1.093095490E+00 -7.976530400E-02 1.007515141E+00 1.092994839E+00 -8.547969800E-02
6.813000E+11 1.014665055E+00 1.096913432E+00 -8.224837700E-02 1.014809440E+00 1.096849854E+00 -8.204041400E-02
1.000000E+12 1.018908262E+00 1.099335219E+00 -8.042695700E-02 1.018895501E+00 1.099284191E+00 -8.038869000E-02
1.468000E+12 1.038148887E+00 1.101728337E+00 -6.357945000E-02 1.038120806E+00 1.101684382E+00 -6.356357600E-02
2.154000E+12 1.053920700E+00 1.106214750E+00 -5.229405000E-02 1.053894694E+00 1.106137429E+00 -5.224273500E-02
3.162000E+12 1.067875596E+00 1.111442615E+00 -4.356701900E-02 1.067851153E+00 1.111373540E+00 -4.352238700E-02
4.642000E+12 1.079686894E+00 1.113626620E+00 -3.393972600E-02 1.079664580E+00 1.113595854E+00 -3.393127400E-02
6.813000E+12 1.087288002E+00 1.115533319E+00 -2.824531700E-02 1.087276417E+00 1.115507364E+00 -2.823094700E-02
1.000000E+13 1.093934102E+00 1.116989344E+00 -2.305524200E-02 1.093923242E+00 1.116967539E+00 -2.304429700E-02
