Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.203448852E+00 1.168067547E+00 3.538130500E-02 1.180277640E+00 1.147943112E+00 3.233452800E-02
1.468000E+10 1.203498095E+00 1.168180901E+00 3.531719400E-02 1.187087904E+00 1.153892209E+00 3.319569500E-02
2.154000E+10 1.203571205E+00 1.168345762E+00 3.522544300E-02 1.192077945E+00 1.158313594E+00 3.376435100E-02
3.162000E+10 1.203677074E+00 1.168584288E+00 3.509278600E-02 1.195690861E+00 1.161594752E+00 3.409610900E-02
4.642000E+10 1.203829438E+00 1.168928476E+00 3.490096200E-02 1.198310274E+00 1.164082454E+00 3.422782000E-02
6.813000E+10 1.204049167E+00 1.169418643E+00 3.463052400E-02 1.200248400E+00 1.166067658E+00 3.418074200E-02
1.000000E+11 1.204362654E+00 1.170112078E+00 3.425057600E-02 1.201750834E+00 1.167796617E+00 3.395421700E-02
1.468000E+11 1.204804275E+00 1.170846385E+00 3.395789000E-02 1.203011064E+00 1.169472868E+00 3.353819600E-02
2.154000E+11 1.205416347E+00 1.171460674E+00 3.395567300E-02 1.204185177E+00 1.170965856E+00 3.321932100E-02
3.162000E+11 1.206243789E+00 1.172334466E+00 3.390932300E-02 1.205397836E+00 1.171952597E+00 3.344523900E-02
4.642000E+11 1.207327651E+00 1.173561891E+00 3.376576000E-02 1.206745613E+00 1.173257237E+00 3.348837600E-02
6.813000E+11 1.208691763E+00 1.175257761E+00 3.343400200E-02 1.208290574E+00 1.175005139E+00 3.328543500E-02
1.000000E+12 1.210326909E+00 1.177794697E+00 3.253221200E-02 1.210049840E+00 1.177538362E+00 3.251147800E-02
1.468000E+12 1.212320406E+00 1.180736966E+00 3.158344000E-02 1.212128905E+00 1.180540249E+00 3.158865600E-02
2.154000E+12 1.214109956E+00 1.184668453E+00 2.944150300E-02 1.213977535E+00 1.184486673E+00 2.949086200E-02
3.162000E+12 1.215968606E+00 1.189139617E+00 2.682898900E-02 1.215878808E+00 1.189030558E+00 2.684825000E-02
4.642000E+12 1.218518711E+00 1.193017948E+00 2.550076300E-02 1.218183245E+00 1.192912025E+00 2.527122000E-02
6.813000E+12 1.223843737E+00 1.195991027E+00 2.785271000E-02 1.223798341E+00 1.195945446E+00 2.785289500E-02
1.000000E+13 1.224754595E+00 1.197958015E+00 2.679658000E-02 1.224723309E+00 1.197926939E+00 2.679637000E-02
