fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
00D1 34190 292.31 39.664 1.000000000E+00 7.280722691E-01 8.992047874E-12 2.566518997E+06 1.550069561E+00 4.766937472E-10 4.756632556E-02 
00D2 34336 293.5 39.503 1.000000000E+00 7.457344811E-01 1.157471282E-11 3.781123282E+06 1.619305612E+00 8.438689619E-10 2.794384667E-02 
00D3 34458 294.54 39.364 1.000000000E+00 5.668106906E-01 1.551624826E-26 1.891814719E+06 1.084757133E+00 5.904402023E-11 8.004713028E-02 
00D4 34578 299.12 38.761 1.000000000E+00 7.777311935E-01 3.471259725E-11 6.825211198E+06 1.817097319E+00 3.005434422E-09 3.822799511E-02 
00D5 34730 300.97 38.523 1.000000000E+00 6.921565345E-01 3.535522974E-11 9.975118975E+19 1.195840832E+00 1.846006503E-10 4.887773581E-02 
00D6 34848 300.5 38.583 1.000000000E+00 7.152525109E-01 3.234220800E-11 1.968041898E+07 1.189591456E+00 1.658182232E-10 9.222202816E-03 
00D7 34956 300.09 38.636 1.000000000E+00 6.876878994E-01 2.806354052E-11 1.259291721E+07 1.163491125E+00 1.277169132E-10 3.102216692E-02 
00D8 35064 299.89 38.662 1.000000000E+00 6.666016846E-01 2.664224082E-11 9.986830938E+19 1.165743062E+00 1.324994246E-10 3.455124914E-02 
00D9 35184 299.92 38.658 1.000000000E+00 7.202837378E-01 3.108066050E-11 9.974420651E+19 1.219763387E+00 1.695147845E-10 2.363990655E-02 
0D10 35320 299.98 38.65 1.000000000E+00 7.138772485E-01 3.094004204E-11 2.065052020E+08 1.214553377E+00 1.651408891E-10 3.108665360E-02 
0D11 35436 300 38.647 1.000000000E+00 7.044013151E-01 2.717211818E-11 1.417659400E+08 1.141600314E+00 1.056166838E-10 4.290034860E-02 
0D12 35542 300.01 38.646 1.000000000E+00 6.376037765E-01 2.694106532E-12 9.994803254E+19 1.056214408E+00 9.156403727E-11 6.690186048E-02 
0D13 35668 300.02 38.645 1.000000000E+00 7.068243021E-01 2.875215352E-11 1.273810557E+08 1.177711046E+00 1.374162979E-10 2.295454890E-02 
0D14 35792 300.01 38.646 1.000000000E+00 5.702786971E-01 3.357190624E-25 9.963473350E+19 1.062592556E+00 1.059971741E-10 3.091079085E-02 
0D15 35900 300.02 38.645 1.000000000E+00 6.549864534E-01 1.788785719E-11 9.982542800E+19 1.094295324E+00 9.316747696E-11 4.826372116E-02 
0D16 36044 300.02 38.645 1.000000000E+00 6.131054207E-01 6.182752948E-27 9.970434573E+19 1.058828355E+00 1.018145851E-10 3.633726254E-02 
0D17 36164 300.02 38.645 1.000000000E+00 6.866118307E-01 2.312613861E-11 1.074254462E+07 1.114853035E+00 9.421210345E-11 3.744655669E-02 
0D18 36266 300.02 38.645 1.000000000E+00 6.442353066E-01 1.565387346E-11 9.997950373E+19 1.087193865E+00 9.356756164E-11 3.354088394E-02 
0D19 36382 300.02 38.645 1.000000000E+00 6.890024886E-01 2.719572419E-11 9.890425191E+19 1.158514408E+00 1.258188271E-10 1.527533969E-02 
0D20 36506 300.01 38.646 1.000000000E+00 6.981864990E-01 2.632124352E-11 9.910722710E+19 1.149342242E+00 1.210630047E-10 1.323178111E-02 
0D21 36622 300.02 38.645 1.000000000E+00 7.058762412E-01 2.945337069E-11 9.947307391E+19 1.179852134E+00 1.324444535E-10 3.006163103E-02 
0D22 36740 300.02 38.645 1.000000000E+00 6.419719575E-01 6.172248093E-27 9.983099097E+19 1.054149986E+00 9.536761821E-11 4.152874871E-02 
0D23 36866 300.01 38.646 1.000000000E+00 6.650103394E-01 2.348572081E-11 9.932019503E+19 1.130215951E+00 1.124431822E-10 1.696056103E-02 
0D24 36980 300.02 38.645 1.000000000E+00 6.646588308E-01 6.019990902E-27 9.991285303E+19 1.052068477E+00 9.366559962E-11 4.496626937E-02 
0D25 37108 300.02 38.645 1.000000000E+00 7.121347267E-01 2.633702311E-11 9.996549818E+19 1.140550720E+00 1.097501638E-10 1.785769600E-02 
0D26 37226 300.01 38.646 1.000000000E+00 6.839057737E-01 2.379344175E-11 9.944874757E+19 1.123394458E+00 1.039888866E-10 1.810608990E-02 
0D27 37342 300.01 38.646 1.000000000E+00 6.515087046E-01 5.983198023E-27 9.953868712E+19 1.050712761E+00 9.051943629E-11 5.224088201E-02 
0D28 37464 300.02 38.645 1.000000000E+00 6.694089264E-01 2.628291496E-11 9.905731067E+19 1.149233423E+00 1.184924066E-10 2.569015405E-02 
0D29 37580 300.02 38.645 1.000000000E+00 7.057467204E-01 2.743260429E-11 9.977500658E+19 1.149275457E+00 1.093574872E-10 4.169887456E-02 
0D30 37736 300.02 38.645 1.000000000E+00 7.226519439E-01 5.937990402E-27 9.980634576E+19 1.042779771E+00 8.185939022E-11 7.904864507E-02 
0D44 39414 299.82 38.671 1.000000000E+00 6.687275670E-01 2.176673342E-11 9.942706473E+19 1.112941015E+00 9.124356890E-11 3.550259814E-02 
0D45 39588 300 38.647 1.000000000E+00 6.891349892E-01 2.348479771E-11 9.969760666E+19 1.114052640E+00 9.217741717E-11 3.928474444E-02 
0D46 39694 300.1 38.634 1.000000000E+00 6.405164770E-01 1.451401432E-11 9.966270678E+19 1.081340158E+00 9.291777158E-11 2.966578823E-02 
