fname time Tem kT_1 Voc Isc Pm Vm Im FF rmsre 
00L1 26536 299.78 38.676 2.260849438E-01 1.458128713E-04 1.317798508E-05 1.334375153E-01 9.917274283E-05 3.997435899E-01 0.000000000E+00 
00L2 26666 300.14 38.629 2.257972332E-01 1.455950495E-04 1.312351843E-05 1.329281769E-01 9.917135818E-05 3.991949706E-01 0.000000000E+00 
00L3 26764 300.23 38.618 2.257422997E-01 1.459034483E-04 1.315034016E-05 1.316507178E-01 1.003742675E-04 3.992624669E-01 0.000000000E+00 
00L4 26868 300.28 38.611 2.256908791E-01 1.455049261E-04 1.312028790E-05 1.328455596E-01 9.921664837E-05 3.995320837E-01 0.000000000E+00 
00L5 26966 300.21 38.62 2.257555115E-01 1.454303030E-04 1.309673269E-05 1.327224021E-01 9.912492347E-05 3.989051954E-01 0.000000000E+00 
00L6 27064 300.2 38.622 2.257021038E-01 1.456169811E-04 1.305879905E-05 1.322124578E-01 9.924475567E-05 3.973338894E-01 0.000000000E+00 
00L7 27158 300.15 38.628 2.252607628E-01 1.450320000E-04 1.309923923E-05 1.334994871E-01 9.854124774E-05 4.009559729E-01 0.000000000E+00 
00L8 27258 300.12 38.632 2.256731140E-01 1.453391960E-04 1.310900189E-05 1.326824513E-01 9.924506649E-05 3.996750619E-01 0.000000000E+00 
00L9 27358 300.09 38.636 2.257146179E-01 1.452257576E-04 1.309044094E-05 1.332123853E-01 9.869998896E-05 3.993474714E-01 0.000000000E+00 
0L10 27456 300.03 38.643 2.255291878E-01 1.449139303E-04 1.305665707E-05 1.331251251E-01 9.850193816E-05 3.995021366E-01 0.000000000E+00 
0L11 27558 300.05 38.641 2.258450378E-01 1.450638889E-04 1.305461550E-05 1.332577240E-01 9.841341670E-05 3.984687029E-01 0.000000000E+00 
0L12 27718 300.1 38.634 1.962185730E-01 1.073585859E-04 6.935305793E-06 1.161984958E-01 6.017696453E-05 3.292219020E-01 0.000000000E+00 
0L13 27854 299.83 38.669 1.963251770E-01 1.074348066E-04 8.471802867E-06 1.163447296E-01 7.303889575E-05 4.016565349E-01 0.000000000E+00 
0L14 27954 299.82 38.671 1.962640110E-01 1.072425000E-04 8.466630231E-06 1.166133569E-01 7.278897338E-05 4.022564284E-01 0.000000000E+00 
0L15 28052 299.85 38.667 1.966191360E-01 1.074266332E-04 8.470755749E-06 1.165546584E-01 7.285584470E-05 4.010369706E-01 0.000000000E+00 
0L16 28154 299.89 38.662 1.967652184E-01 1.076128079E-04 8.526774385E-06 1.165185855E-01 7.337982704E-05 4.026915130E-01 0.000000000E+00 
0L17 28252 299.94 38.655 1.964702183E-01 1.076500000E-04 8.523352273E-06 1.168247711E-01 7.312449560E-05 4.029950173E-01 0.000000000E+00 
0L18 28356 299.96 38.652 1.968809555E-01 1.077147059E-04 8.531535539E-06 1.170574424E-01 7.303831626E-05 4.022985765E-01 0.000000000E+00 
0L19 28450 299.98 38.65 1.969154568E-01 1.079960976E-04 8.531224342E-06 1.165432162E-01 7.338342584E-05 4.011654224E-01 0.000000000E+00 
0L20 28554 299.97 38.651 1.970090614E-01 1.081232673E-04 8.593076645E-06 1.174543003E-01 7.327403724E-05 4.034069002E-01 0.000000000E+00 
0L21 28646 299.98 38.65 1.973348373E-01 1.082774194E-04 8.572687271E-06 1.162791293E-01 7.394957553E-05 4.012133013E-01 0.000000000E+00 
0L22 28744 300 38.647 1.972762363E-01 1.082621212E-04 8.582000933E-06 1.167316163E-01 7.371772320E-05 4.018252759E-01 0.000000000E+00 
0L23 28846 300 38.647 1.979843960E-01 1.087491620E-04 8.626238812E-06 1.170280308E-01 7.388585427E-05 4.006494908E-01 0.000000000E+00 
0L24 28944 300 38.647 1.985141228E-01 1.086282828E-04 8.659464124E-06 1.176192519E-01 7.373958037E-05 4.015657775E-01 0.000000000E+00 
0L25 29042 299.99 38.649 1.983083057E-01 1.088461538E-04 8.650415546E-06 1.172987303E-01 7.390815049E-05 4.007587181E-01 0.000000000E+00 
0L26 29146 299.98 38.65 1.981786064E-01 1.087045000E-04 8.642525786E-06 1.172469689E-01 7.387734589E-05 4.011773369E-01 0.000000000E+00 
0L27 29242 299.99 38.649 1.985648079E-01 1.093358696E-04 8.699896709E-06 1.173614516E-01 7.429397971E-05 4.007275057E-01 0.000000000E+00 
0L28 29338 300 38.647 1.989023819E-01 1.092157635E-04 8.740126510E-06 1.179963900E-01 7.418957282E-05 4.023392561E-01 0.000000000E+00 
0L29 29438 300 38.647 1.990994732E-01 1.096385542E-04 8.755671164E-06 1.182579201E-01 7.414227861E-05 4.011031121E-01 0.000000000E+00 
0L30 29536 300 38.647 1.991971149E-01 1.094486188E-04 8.766037731E-06 1.184024788E-01 7.413580131E-05 4.020777179E-01 0.000000000E+00 
0L31 29634 300 38.647 1.994661327E-01 1.095232673E-04 8.801941775E-06 1.184368263E-01 7.440579842E-05 4.029052556E-01 0.000000000E+00 
0L32 29738 299.99 38.649 1.998143650E-01 1.098157635E-04 8.816774693E-06 1.181835698E-01 7.472187157E-05 4.018077879E-01 0.000000000E+00 
0L33 29836 300 38.647 2.004266617E-01 1.099461538E-04 8.826617302E-06 1.181414447E-01 7.484469799E-05 4.005518693E-01 0.000000000E+00 
0L34 29932 300 38.647 2.003287052E-01 1.097960591E-04 8.818361693E-06 1.185829206E-01 7.445802337E-05 4.009202306E-01 2.952962308E-17 
0L35 30032 300 38.647 1.990805790E-01 1.099049261E-04 8.818643818E-06 1.181209929E-01 7.473839705E-05 4.030470513E-01 0.000000000E+00 
0L36 30130 299.99 38.649 1.995887374E-01 1.106403614E-04 8.861564114E-06 1.179959516E-01 7.521127955E-05 4.012922452E-01 0.000000000E+00 
0L37 30232 299.99 38.649 1.995414677E-01 1.101316832E-04 8.848206865E-06 1.183220690E-01 7.486229884E-05 4.026334279E-01 0.000000000E+00 
0L38 30328 300 38.647 1.997566845E-01 1.101241379E-04 8.848401172E-06 1.182156862E-01 7.494022635E-05 4.022360228E-01 2.452116740E-17 
0L39 30428 299.98 38.65 1.997836441E-01 1.106486188E-04 8.885167460E-06 1.183635767E-01 7.515357585E-05 4.019385763E-01 9.619842594E-17 
0L40 30528 300.01 38.646 1.999902409E-01 1.106232673E-04 8.928840353E-06 1.186735010E-01 7.528782555E-05 4.035894201E-01 2.602662929E-17 
0L41 30624 300 38.647 1.999941635E-01 1.106241379E-04 8.923932964E-06 1.183889425E-01 7.545363435E-05 4.033565170E-01 0.000000000E+00 
