N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 3.705200000E-05 3.299500000E-05 2.936800000E-05 2.632100000E-05 2.351100000E-05 1.919400000E-05 1.002200000E-05 -8.591000000E-06 2.274000000E-05 2.526700000E-05 3.221000000E-05
1.600000000E+01 1.468740000E-04 1.359500000E-04 1.272420000E-04 1.186300000E-04 1.161810000E-04 1.169000000E-04 1.209000000E-04 1.313940000E-04 1.468900000E-04 1.656280000E-04 1.903920000E-04
1.700000000E+01 5.650910000E-04 5.158190000E-04 4.746110000E-04 4.264650000E-04 4.033240000E-04 3.967400000E-04 3.935290000E-04 4.173180000E-04 4.580250000E-04 5.108550000E-04 5.890490000E-04
1.549996187E+01 7.876300000E-05 7.179200000E-05 6.501300000E-05 6.122600000E-05 5.926500000E-05 5.860100000E-05 6.055200000E-05 6.383500000E-05 6.674000000E-05 6.584700000E-05 5.247500000E-05
1.649996187E+01 2.815340000E-04 2.578930000E-04 2.322560000E-04 2.188890000E-04 2.119780000E-04 2.084080000E-04 2.180490000E-04 2.363720000E-04 2.606560000E-04 2.987100000E-04 3.471880000E-04
1.674996808E+01 4.012470000E-04 3.668150000E-04 3.285930000E-04 3.071230000E-04 2.930980000E-04 2.840740000E-04 2.974750000E-04 3.182550000E-04 3.433630000E-04 3.915540000E-04 4.536630000E-04
1.624993176E+01 1.988750000E-04 1.833030000E-04 1.712250000E-04 1.596520000E-04 1.547110000E-04 1.584960000E-04 1.622770000E-04 1.771250000E-04 1.989050000E-04 2.249610000E-04 2.610230000E-04
1.574996808E+01 1.107370000E-04 9.979200000E-05 9.272000000E-05 8.766300000E-05 8.499000000E-05 8.422400000E-05 8.788800000E-05 9.476300000E-05 1.036830000E-04 1.157450000E-04 1.296860000E-04
1.524993176E+01 5.422900000E-05 4.830900000E-05 4.421600000E-05 4.126400000E-05 3.948000000E-05 3.824300000E-05 3.734400000E-05 3.379500000E-05 2.246100000E-05 -4.429000000E-06 2.585600000E-05
