fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
UDL0 8:49 299.9 38.66 2.117E+000 4.432E-006 4.202E-010 3.08 1.087 4.435E+002 1.750E-004 0.07458 1.742E-004 3.262E-006 0.2511 
UDL1 8:52 299.9 38.66 2.117E+000 4.897E-006 5.286E-010 3.164 1.102 4.435E+002 1.784E-004 0.07581 1.775E-004 3.388E-006 0.2517 
UDL2 8:55 299.9 38.66 2.117E+000 5.383E-006 6.069E-010 3.253 1.11 4.435E+002 1.750E-004 0.07426 1.742E-004 3.247E-006 0.251 
UDL3 8:57 300 38.65 2.117E+000 6.283E-006 6.674E-010 3.384 1.115 4.435E+002 1.784E-004 0.07532 1.775E-004 3.366E-006 0.2517 
UDL4 9:0 300 38.65 2.117E+000 4.947E-006 6.124E-010 3.179 1.111 4.435E+002 1.756E-004 0.07464 1.747E-004 3.276E-006 0.2512 
UDL5 9:3 300.1 38.63 2.117E+000 4.968E-006 5.394E-010 3.172 1.102 4.435E+002 1.755E-004 0.07456 1.746E-004 3.271E-006 0.2512 
UDL6 9:6 300.1 38.63 2.117E+000 4.702E-006 5.227E-010 3.129 1.1 4.435E+002 1.764E-004 0.07503 1.755E-004 3.310E-006 0.2514 
UDL7 9:8 300.1 38.63 2.117E+000 8.263E-006 1.045E-009 3.681 1.144 4.435E+002 1.782E-004 0.07465 1.773E-004 3.330E-006 0.2516 
UDL8 9:11 300.1 38.63 2.117E+000 4.770E-006 5.314E-010 3.14 1.1 4.435E+002 1.778E-004 0.07563 1.770E-004 3.368E-006 0.2516 
UDL9 9:14 300.1 38.63 2.117E+000 4.810E-006 5.481E-010 3.151 1.102 4.435E+002 1.765E-004 0.07508 1.757E-004 3.316E-006 0.2514 
