T d154 d184 d214 d244
d 150 180 210 240
290 1.279492314E+00 1.275039407E+00 1.271787130E+00 1.268937468E+00
295 1.279918108E+00 1.275740605E+00 1.272888076E+00 1.270328786E+00
300 1.281375474E+00 1.277410406E+00 1.274895746E+00 1.272512363E+00
305 1.283701333E+00 1.279786829E+00 1.277350040E+00 1.275223277E+00
310 1.285533278E+00 1.282718278E+00 1.280247924E+00 1.278126954E+00
315 1.288629846E+00 1.285836136E+00 1.283233762E+00 1.281055014E+00
320 1.291752768E+00 1.289083089E+00 1.285950790E+00 1.283589138E+00
325 1.294410038E+00 1.291482292E+00 1.287933644E+00 1.285030559E+00
330 1.296272757E+00 1.292770119E+00 1.288741625E+00 1.285062806E+00
335 1.296616884E+00 1.292228794E+00 1.287339637E+00 1.282714098E+00
340 1.294408203E+00 1.288753598E+00 1.282656457E+00 1.276869015E+00
