N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 1.526263000E-02 1.136232800E-02 2.996923000E-03 -1.440335800E-02 -4.839125900E-02 -1.099681380E-01 -1.758291970E-01 -1.504463450E-01 -9.390124800E-02 8.516583000E-03 1.370201900E-02
1.016672606E+01 1.463859700E-02 1.080794500E-02 2.481342000E-03 -1.491231300E-02 -4.897409400E-02 -1.107913060E-01 -1.766906560E-01 -1.511669370E-01 -9.403074100E-02 8.703449000E-03 1.422481400E-02
1.033324570E+01 1.416102100E-02 1.039739200E-02 2.129416000E-03 -1.519961900E-02 -4.920530800E-02 -1.110221110E-01 -1.773107770E-01 -1.514919000E-01 -9.422782700E-02 8.797412000E-03 1.456400000E-02
1.049996187E+01 1.381988700E-02 1.012405300E-02 1.938759000E-03 -1.526195600E-02 -4.907482800E-02 -1.106482370E-01 -1.777795460E-01 -1.520807370E-01 -9.441885500E-02 8.817065000E-03 1.474868700E-02
1.066670514E+01 1.359846900E-02 9.977146000E-03 1.907296000E-03 -1.508662600E-02 -4.854613600E-02 -1.096010140E-01 -1.781643070E-01 -1.526149410E-01 -9.503648500E-02 8.770346000E-03 1.479738700E-02
1.083333839E+01 1.348101800E-02 9.948830000E-03 2.040277000E-03 -1.464430900E-02 -4.754751400E-02 -1.077438510E-01 -1.785192340E-01 -1.532017200E-01 -9.592651800E-02 8.656880000E-03 1.471548700E-02
1.100000000E+01 1.345691200E-02 1.003801200E-02 2.354063000E-03 -1.388498700E-02 -4.596719100E-02 -1.048644780E-01 -1.788920670E-01 -1.539206610E-01 -9.721247100E-02 7.507123000E-03 1.449466300E-02
1.116672606E+01 1.352202400E-02 1.025141400E-02 2.876482000E-03 -1.273880400E-02 -4.365550800E-02 -1.006770670E-01 -1.793285900E-01 -1.548719930E-01 -9.906512800E-02 4.475943000E-03 1.411347700E-02
1.133324570E+01 1.367806100E-02 1.060179800E-02 3.642821000E-03 -1.112459700E-02 -4.044143800E-02 -9.484738300E-02 -1.798745630E-01 -1.561433210E-01 -1.016765690E-01 4.126800000E-05 1.353975200E-02
1.149996187E+01 1.392999300E-02 1.110300000E-02 4.685504000E-03 -8.971169000E-03 -3.617358100E-02 -8.706208700E-02 -1.678135270E-01 -1.578699340E-01 -1.053093410E-01 -6.253615000E-03 1.273678300E-02
1.166670514E+01 1.428131500E-02 1.176100800E-02 6.015880000E-03 -6.254796000E-03 -3.079476200E-02 -7.716366900E-02 -1.518882220E-01 -1.601217730E-01 -1.101986460E-01 -1.490261400E-02 1.167641300E-02
1.183333839E+01 1.472720200E-02 1.256193000E-02 7.600559000E-03 -3.047777000E-03 -2.444139600E-02 -6.534563100E-02 -1.323925090E-01 -1.630002250E-01 -1.165260260E-01 -2.635609000E-02 1.036142000E-02
1.200000000E+01 1.524725900E-02 1.346144500E-02 9.343120000E-03 4.456990000E-04 -1.752027700E-02 -5.232675400E-02 -1.103116310E-01 -1.664453510E-01 -1.242910060E-01 -4.080822600E-02 8.854298000E-03
1.216672606E+01 1.580102400E-02 1.438351600E-02 1.108919300E-02 3.906508000E-03 -1.067635200E-02 -3.932886900E-02 -8.765841500E-02 -1.608517970E-01 -1.331681280E-01 -5.789711700E-02 7.297188000E-03
1.233324570E+01 1.632959200E-02 1.523376100E-02 1.266509800E-02 6.992193000E-03 -4.598412000E-03 -2.771320700E-02 -6.694940800E-02 -1.284446830E-01 -1.424249570E-01 -7.644651900E-02 5.893895000E-03
1.249996187E+01 1.676369100E-02 1.592194500E-02 1.393213200E-02 9.460132000E-03 2.497280000E-04 -1.841664600E-02 -5.011163200E-02 -1.010832510E-01 -1.510324960E-01 -9.450419900E-02 3.498326000E-03
1.266670514E+01 1.703607100E-02 1.638042900E-02 1.481924500E-02 1.123256800E-02 3.769724000E-03 -1.024941300E-02 -3.766656100E-02 -8.033816300E-02 -1.408061860E-01 -1.099626870E-01 -2.378472500E-02
1.283333839E+01 1.709686100E-02 1.657252200E-02 1.531797700E-02 1.236376100E-02 6.143200000E-03 -5.550382000E-03 -2.892219000E-02 -6.546646900E-02 -1.189186000E-01 -1.214460350E-01 -4.530682300E-02
1.300000000E+01 1.692890200E-02 1.649532200E-02 1.545975600E-02 1.296287000E-02 7.641219000E-03 -2.366184000E-03 -2.278719500E-02 -5.474666900E-02 -1.026084790E-01 -1.287831020E-01 -6.010877500E-02
