N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.201340382E+00 1.202293346E+00 1.202305478E+00 1.200774383E+00
1.600000000E+01 1.267780916E+00 1.267663694E+00 1.267644714E+00 1.266529277E+00
1.700000000E+01 1.345134960E+00 1.344554265E+00 1.343573506E+00 1.344192653E+00
1.549996187E+01 1.240125270E+00 1.238911242E+00 1.239469696E+00 1.239247692E+00
1.649996187E+01 1.301375397E+00 1.300884649E+00 1.301219270E+00 1.301227300E+00
1.674996808E+01 1.322222979E+00 1.320554543E+00 1.321273045E+00 1.321559071E+00
1.624993176E+01 1.283122160E+00 1.283253805E+00 1.283259078E+00 1.283348236E+00
1.574996808E+01 1.253703913E+00 1.253470424E+00 1.252524936E+00 1.252793612E+00
1.524993176E+01 1.224814532E+00 1.224483275E+00 1.224564284E+00 1.224333320E+00
