T nFsrh nFBsrh dnsrh nF nFB dn
290 1.166545034E+00 1.199248739E+0 -3.270370500E-02 1.166545034E+00 1.199248739E+0 -3.270370500E-02
295 1.169033666E+00 1.201846792E+0 -3.281312600E-02 1.169033666E+00 1.201846792E+0 -3.281312600E-02
300 1.170253978E+00 1.204154152E+0 -3.390017400E-02 1.170253978E+00 1.204154152E+0 -3.390017400E-02
305 1.175886073E+00 1.206093529E+0 -3.020745600E-02 1.175886073E+00 1.206093529E+0 -3.020745600E-02
310 1.180815378E+00 1.207574238E+0 -2.675886000E-02 1.180815378E+00 1.207574238E+0 -2.675886000E-02
315 1.184823280E+00 1.208492733E+0 -2.366945300E-02 1.184823280E+00 1.208492733E+0 -2.366945300E-02
320 1.187597270E+00 1.208734602E+0 -2.113733200E-02 1.187597270E+00 1.208734602E+0 -2.113733200E-02
325 1.189459608E+00 1.208178502E+0 -1.871889400E-02 1.189459608E+00 1.208178502E+0 -1.871889400E-02
330 1.189691928E+00 1.206702420E+0 -1.701049200E-02 1.189691928E+00 1.206702420E+0 -1.701049200E-02
335 1.188875097E+00 1.204192395E+0 -1.531729800E-02 1.188875097E+00 1.204192395E+0 -1.531729800E-02
340 1.186367593E+00 1.200553401E+0 -1.418580800E-02 1.186367593E+00 1.200553401E+0 -1.418580800E-02
